SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PRT1

Rank	Gene	Common	Score
Q	YOR361C	PRT1	
1	YDR091C	RLI1	4.7
2	YOR310C	NOP58	4.7
3	YMR309C	NIP1	4.7
4	YOL097C	WRS1	4.6
5	YPR110C	RPC40	4.6
6	YPR010C	RPA135	4.6
7	YLR060W	FRS1	4.6
8	YLR197W	NOP56	4.6
9	YBR079C	RPG1	4.5
10	YMR146C	TIF34	4.5
11	YNL132W	KRE33	4.5
12	YGR162W	TIF4631	4.5
13	YOR272W	YTM1	4.5
14	YLR175W	CBF5	4.5
15	YNL061W	NOP2	4.5
16	YGR264C	MES1	4.4
17	YMR049C	ERB1	4.4
18	YMR131C	RRB1	4.4
19	YMR290C	HAS1	4.4
20	YBL039C	URA7	4.4
21	YOR341W	RPA190	4.4
22	YOR168W	GLN4	4.4
23	YOR206W	NOC2	4.4
24	YPL226W	NEW1	4.4
25	YBL024W	NCL1	4.3
26	YNL248C	RPA49	4.3
27	YMR217W	GUA1	4.3
28	YPL086C	ELP3	4.3
29	YLR409C	UTP21	4.3
30	YBR084W	MIS1	4.3
31	YHR170W	NMD3	4.3
32	YGL099W	LSG1	4.3
33	YDL014W	NOP1	4.3
34	YOR340C	RPA43	4.3
35	YGR123C	PPT1	4.3
36	YPR163C	TIF3	4.3
37	YBR121C	GRS1	4.3
38	YGR128C	UTP8	4.2
39	YER025W	GCD11	4.2
40	YMR308C	PSE1	4.2
41	YER006W	NUG1	4.2
42	YPR041W	TIF5	4.2
43	YLR196W	PWP1	4.2
44	YOR243C	PUS7	4.2
45	YDR395W	SXM1	4.2
46	YNL175C	NOP13	4.2
47	YLR276C	DBP9	4.2
48	YOR335C	ALA1	4.2
49	YMR229C	RRP5	4.2
50	YNL096C	RPS7B	4.2
51	YLR129W	DIP2	4.2
52	YJL050W	MTR4	4.2
53	YGR103W	NOP7	4.2
54	YPL126W	NAN1	4.1
55	YML056C	IMD4	4.1
56	YHR064C	SSZ1	4.1
57	YPL160W	CDC60	4.1
58	YGR200C	ELP2	4.1
59	YHR197W	RIX1	4.1
60	YGL120C	PRP43	4.1
61	YDL082W	RPL13A	4.1
62	YPL211W	NIP7	4.1
63	YDR165W	TRM82	4.1
64	YPL012W	RRP12	4.1
65	YKL081W	TEF4	4.1
66	YAL035W	FUN12	4.1
67	YDR023W	SES1	4.1
68	YKL181W	PRS1	4.1
69	YJR070C	LIA1	4.1
70	YGL078C	DBP3	4.1
71	YCR057C	PWP2	4.1
72	YPL263C	KEL3	4.0
73	YHR089C	GAR1	4.0
74	YDR101C	ARX1	4.0
75	YDR087C	RRP1	4.0
76	YMR093W	UTP15	4.0
77	YLR449W	FPR4	4.0
78	YOL077C	BRX1	4.0
79	YDL051W	LHP1	4.0
80	YOR260W	GCD1	4.0
81	YER126C	NSA2	4.0
82	YBR143C	SUP45	4.0
83	YPR144C	NOC4	4.0
84	YKL009W	MRT4	4.0
85	YBL076C	ILS1	4.0
86	YIR026C	YVH1	4.0
87	YPL093W	NOG1	4.0
88	YHL011C	PRS3	4.0
89	YLR249W	YEF3	4.0
90	YLR222C	UTP13	4.0
