SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PRE10

Rank	Gene	Common	Score
Q	YOR362C	PRE10	
1	YPR103W	PRE2	4.4
2	YMR314W	PRE5	4.3
3	YER094C	PUP3	4.2
4	YGL048C	RPT6	4.2
5	YER012W	PRE1	4.2
6	YOL038W	PRE6	4.2
7	YFR050C	PRE4	4.1
8	YOR117W	RPT5	4.1
9	YOR157C	PUP1	4.1
10	YGL011C	SCL1	4.0
11	YBL041W	PRE7	4.0
12	YJL001W	PRE3	4.0
13	YGR135W	PRE9	4.0
14	YML092C	PRE8	4.0
15	YDR394W	RPT3	4.0
16	YDL007W	RPT2	4.0
17	YGR253C	PUP2	3.9
18	YFR052W	RPN12	3.9
19	YPR108W	RPN7	3.9
20	YKL145W	RPT1	3.7
21	YOR259C	RPT4	3.7
22	YHR200W	RPN10	3.7
23	YDL097C	RPN6	3.7
24	YER021W	RPN3	3.6
25	YBL058W	SHP1	3.6
26	YGR231C	PHB2	3.6
27	YOR007C	SGT2	3.5
28	YKL117W	SBA1	3.5
29	YFR004W	RPN11	3.5
30	YDL147W	RPN5	3.4
31	YOR261C	RPN8	3.4
32	YHR027C	RPN1	3.3
33	YGR048W	UFD1	3.3
34	YDR427W	RPN9	3.3
35	YLR421C	RPN13	3.2
36	YBR173C	UMP1	3.2
37	YMR276W	DSK2	3.2
38	YKL007W	CAP1	3.2
39	YCL057W	PRD1	3.1
40	YOL129W	VPS68	3.1
41	YFR010W	UBP6	3.1
42	YNR035C	ARC35	3.1
43	YFR024C-A	LSB3	3.1
44	YER143W	DDI1	3.0
45	YLR387C	REH1	3.0
46	YDL126C	CDC48	3.0
47	YLR216C	CPR6	3.0
48	YKL196C	YKT6	3.0
49	YDL100C	GET3	3.0
50	YIL075C	RPN2	3.0
51	YDL029W	ARP2	2.9
52	YER142C	MAG1	2.9
53	YML004C	GLO1	2.9
54	YJR065C	ARP3	2.9
55	YFR003C	YPI1	2.9
56	YGR132C	PHB1	2.9
57	YDL132W	CDC53	2.9
58	YOL133W	HRT1	2.9
59	YJL031C	BET4	2.9
60	YBR170C	NPL4	2.9
61	YOR042W	CUE5	2.8
62	YHL030W	ECM29	2.8
63	YKL013C	ARC19	2.8
64	YHR012W	VPS29	2.8
65	YKL210W	UBA1	2.8
66	YIL124W	AYR1	2.8
67	YNL156C	NSG2	2.8
68	YDL072C	YET3	2.8
69	YER004W	FMP52	2.8
70	YIL062C	ARC15	2.8
71	YMR152W	YIM1	2.8
72	YDR099W	BMH2	2.8
73	YMR067C	UBX4	2.8
74	YPL091W	GLR1	2.8
75	YLR370C	ARC18	2.8
76	YCR036W	RBK1	2.7
77	YMR092C	AIP1	2.7
78	YOL049W	GSH2	2.7
79	YBR234C	ARC40	2.7
80	YKL213C	DOA1	2.7
81	YBL022C	PIM1	2.7
82	YKL195W	MIA40	2.7
83	YKL065C	YET1	2.7
84	YBR149W	ARA1	2.7
85	YDR368W	YPR1	2.7
86	YGL047W	ALG13	2.7
87	YBL050W	SEC17	2.7
88	YJL036W	SNX4	2.7
89	YOR142W	LSC1	2.7
90	YGL091C	NBP35	2.7
91	YFL038C	YPT1	2.7
92	YGR232W	NAS6	2.7
93	YKR014C	YPT52	2.7
94	YBL064C	PRX1	2.7
95	YKL126W	YPK1	2.7
96	YKL190W	CNB1	2.7
97	YER177W	BMH1	2.7
98	YLR270W	DCS1	2.7
99	YDR177W	UBC1	2.7
100	YIL041W	GVP36	2.7
101	YCR082W	AHC2	2.7
102	YGL161C	YIP5	2.6
103	YDR486C	VPS60	2.6
104	YAR007C	RFA1	2.6
105	YPL206C	PGC1	2.6
106	YDR328C	SKP1	2.6
107	YNL312W	RFA2	2.6
108	YML032C	RAD52	2.6
109	YIR037W	HYR1	2.6
110	YKL142W	MRP8	2.6
111	YHL034C	SBP1	2.6
112	YGR209C	TRX2	2.6
113	YFL044C	OTU1	2.6
114	YBR052C	RFS1	2.6
115	YML007W	YAP1	2.6
116	YIL034C	CAP2	2.6
117	YPL154C	PEP4	2.6
118	YKL094W	YJU3	2.6
119	YBR111C	YSA1	2.6
120	YBR035C	PDX3	2.6
121	YDR513W	GRX2	2.6
122	YGR167W	CLC1	2.6
123	YIL010W	DOT5	2.6
124	YPR023C	EAF3	2.6
125	YGR136W	LSB1	2.6
126	YHR104W	GRE3	2.6
127	YDR092W	UBC13	2.6
128	YMR197C	VTI1	2.6
129	YDR129C	SAC6	2.6
130	YBR273C	UBX7	2.6
131	YGL037C	PNC1	2.6
132	YOL071W	SDH5	2.6
133	YMR022W	UBC7	2.6
134	YCL052C	PBN1	2.5
135	YOR089C	VPS21	2.5
136	YLR250W	SSP120	2.5
137	YDL078C	MDH3	2.5
138	YER048C	CAJ1	2.5
139	YCL043C	PDI1	2.5
140	YPL031C	PHO85	2.5
141	YPL196W	OXR1	2.5
142	YML110C	COQ5	2.5
143	YOR122C	PFY1	2.5
144	YMR311C	GLC8	2.5
