SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SCP1

Rank	Gene	Common	Score
Q	YOR367W	SCP1	
1	YOR357C	SNX3	2.6
2	YMR197C	VTI1	2.6
3	YNL084C	END3	2.6
4	YOR265W	RBL2	2.5
5	YHR110W	ERP5	2.5
6	YKL007W	CAP1	2.5
7	YMR022W	UBC7	2.5
8	YOL088C	MPD2	2.5
9	YDL103C	QRI1	2.5
10	YLR370C	ARC18	2.4
11	YJL003W	COX16	2.4
12	YKL190W	CNB1	2.4
13	YNL081C	SWS2	2.4
14	YMR184W	ADD37	2.4
15	YFR003C	YPI1	2.4
16	YDR513W	GRX2	2.4
17	YGR167W	CLC1	2.4
18	YOL133W	HRT1	2.4
19	YOR125C	CAT5	2.4
20	YIL124W	AYR1	2.4
21	YPL010W	RET3	2.4
22	YML001W	YPT7	2.4
23	YPR188C	MLC2	2.4
24	YKL142W	MRP8	2.4
25	YKL013C	ARC19	2.3
26	YNR035C	ARC35	2.3
27	YOL129W	VPS68	2.3
28	YGR135W	PRE9	2.3
29	YBR111C	YSA1	2.3
30	YIL062C	ARC15	2.3
31	YPR180W	AOS1	2.3
32	YOR362C	PRE10	2.3
33	YJR102C	VPS25	2.3
34	YCR002C	CDC10	2.3
35	YER012W	PRE1	2.3
36	YOR261C	RPN8	2.3
37	YOR280C	FSH3	2.3
38	YMR097C	MTG1	2.3
39	YMR072W	ABF2	2.3
40	YLR250W	SSP120	2.3
41	YER050C	RSM18	2.3
42	YDR373W	FRQ1	2.3
43	YJR099W	YUH1	2.3
44	YCL035C	GRX1	2.3
45	YOR163W	DDP1	2.3
46	YDR272W	GLO2	2.3
47	YMR152W	YIM1	2.3
48	YJR125C	ENT3	2.3
49	YFR049W	KGD4	2.3
50	YOR036W	PEP12	2.3
51	YOR124C	UBP2	2.3
52	YKL065C	YET1	2.3
53	YDL135C	RDI1	2.3
54	YAL030W	SNC1	2.3
55	YOR189W	IES4	2.2
56	YBR264C	YPT10	2.2
57	YKL016C	ATP7	2.2
58	YKR014C	YPT52	2.2
59	YOL082W	ATG19	2.2
60	YOR157C	PUP1	2.2
61	YOR278W	HEM4	2.2
62	YJL030W	MAD2	2.2
63	YPR107C	YTH1	2.2
64	YJR058C	APS2	2.2
65	YLR102C	APC9	2.2
66	YBR052C	RFS1	2.2
67	YNL015W	PBI2	2.2
68	YBR109C	CMD1	2.2
69	YCL052C	PBN1	2.2
70	YOL096C	COQ3	2.2
71	YBR014C	GRX7	2.2
72	YIL010W	DOT5	2.2
73	YDL018C	ERP3	2.2
74	YGR232W	NAS6	2.2
75	YMR092C	AIP1	2.2
76	YPL178W	CBC2	2.2
77	YPR073C	LTP1	2.2
78	YMR150C	IMP1	2.2
79	YKL196C	YKT6	2.2
80	YMR298W	LIP1	2.2
81	YJR044C	VPS55	2.2
82	YKL167C	MRP49	2.2
83	YKL002W	DID4	2.2
84	YGL011C	SCL1	2.2
85	YDR100W	TVP15	2.2
86	YOR327C	SNC2	2.2
87	YDL200C	MGT1	2.2
88	YCR004C	YCP4	2.2
89	YJR034W	PET191	2.2
