SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GPB1

Rank	Gene	Common	Score
Q	YOR371C	GPB1	
1	YOR370C	MRS6	2.6
2	YOL138C	RTC1	2.5
3	YOR322C	LDB19	2.4
4	YJL047C	RTT101	2.4
5	YOR363C	PIP2	2.3
6	YLR454W	FMP27	2.3
7	YDR104C	SPO71	2.3
8	YNL103W	MET4	2.3
9	YOR336W	KRE5	2.3
10	YLR371W	ROM2	2.3
11	YGL073W	HSF1	2.3
12	YOR141C	ARP8	2.3
13	YOL051W	GAL11	2.3
14	YPL180W	TCO89	2.3
15	YOR043W	WHI2	2.3
16	YDR273W	DON1	2.3
17	YGL216W	KIP3	2.3
18	YNL091W	NST1	2.3
19	YKR050W	TRK2	2.3
20	YDR128W	MTC5	2.3
21	YKL203C	TOR2	2.3
22	YKL022C	CDC16	2.3
23	YOL063C	CRT10	2.3
24	YOR023C	AHC1	2.3
25	YPR032W	SRO7	2.3
26	YER176W	ECM32	2.3
27	YMR019W	STB4	2.3
28	YLR305C	STT4	2.2
29	YOR172W	YRM1	2.2
30	YDR457W	TOM1	2.2
31	YOR290C	SNF2	2.2
32	YNR039C	ZRG17	2.2
33	YNL116W	DMA2	2.2
34	YDL013W	SLX5	2.2
35	YOR048C	RAT1	2.2
36	YFR029W	PTR3	2.2
37	YGL023C	PIB2	2.2
38	YMR275C	BUL1	2.2
39	YPR049C	ATG11	2.2
40	YCR033W	SNT1	2.2
41	YML076C	WAR1	2.2
42	YNL240C	NAR1	2.2
43	YGR170W	PSD2	2.2
44	YER114C	BOI2	2.2
45	YGR270W	YTA7	2.2
46	YDR150W	NUM1	2.2
47	YBR237W	PRP5	2.2
48	YLR071C	RGR1	2.2
49	YGR184C	UBR1	2.2
50	YNL054W	VAC7	2.2
51	YIL046W	MET30	2.2
52	YGR070W	ROM1	2.2
53	YDR422C	SIP1	2.2
54	YER040W	GLN3	2.2
55	YDL231C	BRE4	2.2
56	YKL010C	UFD4	2.2
57	YKR089C	TGL4	2.2
58	YKL020C	SPT23	2.2
59	YLR207W	HRD3	2.2
60	YOL068C	HST1	2.2
61	YJR140C	HIR3	2.2
62	YPR019W	MCM4	2.2
63	YLR096W	KIN2	2.2
64	YOL060C	MAM3	2.2
65	YBL105C	PKC1	2.2
66	YML117W	NAB6	2.2
67	YOR256C	TRE2	2.2
68	YPL023C	MET12	2.1
69	YJR150C	DAN1	2.1
70	YKR021W	ALY1	2.1
71	YLR240W	VPS34	2.1
72	YER166W	DNF1	2.1
73	YOL025W	LAG2	2.1
74	YNL183C	NPR1	2.1
75	YOR337W	TEA1	2.1
76	YDR227W	SIR4	2.1
77	YHR186C	KOG1	2.1
78	YOL081W	IRA2	2.1
79	YNL271C	BNI1	2.1
80	YNL076W	MKS1	2.1
81	YLL040C	VPS13	2.1
82	YLL043W	FPS1	2.1
83	YGL014W	PUF4	2.1
84	YKL176C	LST4	2.1
85	YIL146C	ATG32	2.1
86	YDR006C	SOK1	2.1
87	YOR328W	PDR10	2.1
88	YLR189C	ATG26	2.1
89	YJL041W	NSP1	2.1
90	YKL038W	RGT1	2.1
91	YOR191W	ULS1	2.1
92	YMR216C	SKY1	2.1
93	YHR102W	KIC1	2.1
94	YLR430W	SEN1	2.1
95	YGL056C	SDS23	2.1
96	YDR320C	SWA2	2.1
97	YJL084C	ALY2	2.1
98	YNL161W	CBK1	2.1
99	YHR150W	PEX28	2.1
100	YJR089W	BIR1	2.1
101	YOR034C	AKR2	2.1
102	YMR172W	HOT1	2.1
103	YNL049C	SFB2	2.1
104	YJR138W	IML1	2.1
105	YHL027W	RIM101	2.1
106	YGL197W	MDS3	2.1
107	YLR425W	TUS1	2.1
108	YPL270W	MDL2	2.1
109	YIL143C	SSL2	2.1
110	YNL221C	POP1	2.1
111	YOL089C	HAL9	2.1
112	YHR006W	STP2	2.1
113	YMR207C	HFA1	2.1
114	YMR213W	CEF1	2.1
115	YBR059C	AKL1	2.1
116	YKL034W	TUL1	2.1
117	YLR398C	SKI2	2.1
118	YLR451W	LEU3	2.1
119	YDR283C	GCN2	2.1
120	YPL055C	LGE1	2.1
121	YMR214W	SCJ1	2.1
122	YHR099W	TRA1	2.1
123	YLR362W	STE11	2.1
124	YKR031C	SPO14	2.1
125	YLR410W	VIP1	2.1
126	YDR301W	CFT1	2.1
127	YMR165C	PAH1	2.1
128	YMR176W	ECM5	2.1
129	YKL068W	NUP100	2.1
130	YDR028C	REG1	2.1
131	YAL051W	OAF1	2.1
132	YOR275C	RIM20	2.1
133	YLR403W	SFP1	2.1
134	YLL015W	BPT1	2.1
135	YGR196C	FYV8	2.1
136	YMR190C	SGS1	2.1
137	YMR030W	RSF1	2.1
138	YDR169C	STB3	2.1
139	YDL035C	GPR1	2.1
140	YNR011C	PRP2	2.1
141	YBL103C	RTG3	2.1
142	YDR420W	HKR1	2.1
143	YOR349W	CIN1	2.1
144	YOR014W	RTS1	2.1
145	YNR047W	FPK1	2.1
146	YLR095C	IOC2	2.1
147	YBR102C	EXO84	2.1
148	YOR162C	YRR1	2.1
149	YOL078W	AVO1	2.1
150	YDL170W	UGA3	2.1
151	YKL033W	TTI1	2.1
152	YER167W	BCK2	2.1
153	YPR023C	EAF3	2.1
154	YOR324C	FRT1	2.1
155	YGL215W	CLG1	2.1
156	YIL047C	SYG1	2.1
157	YDR034C	LYS14	2.1
158	YNL139C	THO2	2.1
159	YNL297C	MON2	2.1
160	YOL045W	PSK2	2.1
161	YBR140C	IRA1	2.1
162	YLR427W	MAG2	2.1
163	YKL146W	AVT3	2.1
164	YPL105C	SYH1	2.1
165	YER024W	YAT2	2.1
166	YPL151C	PRP46	2.1
167	YOR329C	SCD5	2.0
168	YJR090C	GRR1	2.0
169	YIR028W	DAL4	2.0
170	YJL129C	TRK1	2.0
171	YOR311C	DGK1	2.0
172	YLR087C	CSF1	2.0
173	YPR111W	DBF20	2.0
174	YHR205W	SCH9	2.0
175	YOR109W	INP53	2.0
176	YHR079C	IRE1	2.0
177	YBR198C	TAF5	2.0
178	YOR353C	SOG2	2.0
179	YGR134W	CAF130	2.0
180	YNL094W	APP1	2.0
181	YCL039W	GID7	2.0
182	YLL003W	SFI1	2.0
183	YNL127W	FAR11	2.0
184	YBR081C	SPT7	2.0
185	YKL174C	TPO5	2.0
186	YER132C	PMD1	2.0
187	YMR064W	AEP1	2.0
188	YLR247C	IRC20	2.0
189	YOR308C	SNU66	2.0
190	YBR043C	QDR3	2.0
191	YJR046W	TAH11	2.0
192	YKL032C	IXR1	2.0
193	YOR035C	SHE4	2.0
194	YER093C	TSC11	2.0
195	YNL267W	PIK1	2.0
196	YJL071W	ARG2	2.0
197	YNL041C	COG6	2.0
198	YDR409W	SIZ1	2.0
199	YOL004W	SIN3	2.0
200	YKL072W	STB6	2.0
201	YPL085W	SEC16	2.0
202	YGR271W	SLH1	2.0
203	YML029W	USA1	2.0
204	YMR288W	HSH155	2.0
205	YML099C	ARG81	2.0
206	YLL051C	FRE6	2.0
207	YHR155W	LAM1	2.0
208	YOL043C	NTG2	2.0
209	YLL029W	FRA1	2.0
210	YLR138W	NHA1	2.0
211	YFR021W	ATG18	2.0
212	YGL066W	SGF73	2.0
213	YLR357W	RSC2	2.0
214	YHL023C	NPR3	2.0
215	YMR036C	MIH1	2.0
216	YGR003W	CUL3	2.0
217	YJL095W	BCK1	2.0
218	YKR019C	IRS4	2.0
219	YPL022W	RAD1	2.0
220	YOR138C	RUP1	2.0
221	YNL047C	SLM2	2.0
222	YGL071W	AFT1	2.0
223	YHL007C	STE20	2.0
224	YBR136W	MEC1	2.0
225	YKR064W	OAF3	2.0
226	YNL212W	VID27	2.0
227	YDR335W	MSN5	2.0
228	YBR131W	CCZ1	2.0
229	YNL014W	HEF3	2.0
230	YLR086W	SMC4	2.0
231	YDL224C	WHI4	2.0
232	YLR386W	VAC14	2.0
233	YDR490C	PKH1	2.0
234	YJL197W	UBP12	2.0
235	YPL204W	HRR25	2.0
236	YDR103W	STE5	2.0
237	YNR013C	PHO91	2.0
238	YOR113W	AZF1	2.0
239	YOR188W	MSB1	2.0
240	YER169W	RPH1	2.0
241	YGL219C	MDM34	2.0
242	YNL101W	AVT4	2.0
243	YOR171C	LCB4	2.0
244	YHR206W	SKN7	2.0
245	YPL110C	GDE1	2.0
246	YBL005W	PDR3	2.0
247	YOL027C	MDM38	2.0
248	YER147C	SCC4	2.0
249	YIL147C	SLN1	2.0
250	YER164W	CHD1	2.0
251	YDR206W	EBS1	2.0
252	YPL268W	PLC1	2.0
253	YMR227C	TAF7	2.0
254	YPL222W	FMP40	2.0
255	YOR231W	MKK1	2.0
256	YFR022W	ROG3	2.0
257	YDR159W	SAC3	2.0
258	YDR264C	AKR1	2.0
259	YMR129W	POM152	2.0
260	YOR112W	CEX1	2.0
261	YOR304W	ISW2	2.0
262	YLL019C	KNS1	2.0
263	YDR464W	SPP41	2.0
264	YMR140W	SIP5	2.0
265	YER017C	AFG3	2.0
266	YNL243W	SLA2	2.0
267	YBL101C	ECM21	2.0
268	YBL033C	RIB1	2.0
269	YMR089C	YTA12	2.0
270	YKR054C	DYN1	2.0
271	YPL089C	RLM1	2.0
272	YIL115C	NUP159	2.0
273	YCR032W	BPH1	2.0
274	YMR162C	DNF3	2.0
275	YIL129C	TAO3	2.0
276	YIL125W	KGD1	2.0
277	YLL048C	YBT1	2.0
278	YIR023W	DAL81	2.0
279	YJL056C	ZAP1	2.0
280	YDR081C	PDC2	2.0
281	YNL236W	SIN4	2.0
282	YOR303W	CPA1	2.0
283	YML031W	NDC1	2.0
284	YER144C	UBP5	2.0
285	YPL249C	GYP5	2.0
286	YBL047C	EDE1	2.0
287	YDR463W	STP1	2.0
288	YDL223C	HBT1	2.0
289	YER151C	UBP3	2.0
290	YOR307C	SLY41	2.0
291	YIL005W	EPS1	2.0
292	YOR030W	DFG16	2.0
293	YKR099W	BAS1	2.0
294	YHR165C	PRP8	2.0
295	YDR293C	SSD1	2.0
296	YPR086W	SUA7	2.0
297	YGR178C	PBP1	2.0
298	YOR373W	NUD1	2.0
299	YLR310C	CDC25	2.0
300	YMR231W	PEP5	2.0
301	YDL203C	ACK1	2.0
302	YMR037C	MSN2	2.0
303	YNL329C	PEX6	2.0
304	YKL124W	SSH4	2.0
305	YOR211C	MGM1	2.0
306	YOR031W	CRS5	2.0
307	YOR326W	MYO2	2.0
308	YMR047C	NUP116	2.0
309	YOR227W	HER1	2.0
310	YMR016C	SOK2	2.0
311	YPL138C	SPP1	2.0
312	YCR008W	SAT4	2.0
313	YOR267C	HRK1	2.0
314	YDR421W	ARO80	2.0
315	YBL051C	PIN4	2.0
316	YDR389W	SAC7	2.0
317	YJL073W	JEM1	2.0
318	YNL278W	CAF120	2.0
319	YPL202C	AFT2	1.9
320	YFR019W	FAB1	1.9
321	YBL075C	SSA3	1.9
322	YPL169C	MEX67	1.9
323	YIR025W	MND2	1.9
324	YLR335W	NUP2	1.9
325	YNL008C	ASI3	1.9
326	YLR106C	REA1	1.9
327	YBR179C	FZO1	1.9
328	YJL042W	MHP1	1.9
329	YNL242W	ATG2	1.9
330	YKL197C	PEX1	1.9
331	YGR077C	PEX8	1.9
332	YIL002C	INP51	1.9
333	YDR436W	PPZ2	1.9
334	YHR082C	KSP1	1.9
335	YPR164W	MMS1	1.9
336	YKL017C	HCS1	1.9
337	YOL119C	MCH4	1.9
338	YJL039C	NUP192	1.9
339	YOR086C	TCB1	1.9
340	YOL044W	PEX15	1.9
341	YNL074C	MLF3	1.9
342	YER088C	DOT6	1.9
343	YBL008W	HIR1	1.9
344	YGL228W	SHE10	1.9
345	YPL115C	BEM3	1.9
346	YNL186W	UBP10	1.9
347	YOR217W	RFC1	1.9
348	YGR258C	RAD2	1.9
349	YMR219W	ESC1	1.9
350	YER115C	SPR6	1.9
351	YJL128C	PBS2	1.9
352	YAL026C	DRS2	1.9
353	YER033C	ZRG8	1.9
354	YPR122W	AXL1	1.9
355	YPL125W	KAP120	1.9
356	YLR024C	UBR2	1.9
357	YNL023C	FAP1	1.9
358	YGR217W	CCH1	1.9
359	YBL079W	NUP170	1.9
360	YOL011W	PLB3	1.9
361	YLR384C	IKI3	1.9
362	YOR323C	PRO2	1.9
363	YJR130C	STR2	1.9
364	YKL028W	TFA1	1.9
365	YDR407C	TRS120	1.9
366	YNL106C	INP52	1.9
367	YML035C	AMD1	1.9
368	YER105C	NUP157	1.9
369	YAL041W	CDC24	1.9
370	YLR389C	STE23	1.9
371	YDR242W	AMD2	1.9
372	YNL118C	DCP2	1.9
373	YOR380W	RDR1	1.9
374	YOL013C	HRD1	1.9
375	YER162C	RAD4	1.9
376	YCR067C	SED4	1.9
377	YGR097W	ASK10	1.9
378	YCL044C	MGR1	1.9
379	YAL043C	PTA1	1.9
380	YDR520C	URC2	1.9
381	YPL269W	KAR9	1.9
382	YNL027W	CRZ1	1.9
383	YGL150C	INO80	1.9
384	YIL056W	VHR1	1.9
385	YKL173W	SNU114	1.9
386	YDR291W	HRQ1	1.9
387	YOR038C	HIR2	1.9
388	YML109W	ZDS2	1.9
389	YDR481C	PHO8	1.9
390	YIL112W	HOS4	1.9
391	YBR212W	NGR1	1.9
392	YNL164C	IBD2	1.9
393	YDR122W	KIN1	1.9
394	YPR189W	SKI3	1.9
395	YDR359C	EAF1	1.9
396	YPL176C	TRE1	1.9
397	YER106W	MAM1	1.9
398	YNL262W	POL2	1.9
399	YFL021W	GAT1	1.9
400	YOR219C	STE13	1.9
401	YGL173C	XRN1	1.9
402	YBL088C	TEL1	1.9
403	YML118W	NGL3	1.9
404	YOR335C	ALA1	1.9
405	YNL250W	RAD50	1.9
406	YIR002C	MPH1	1.9
407	YNR031C	SSK2	1.9
408	YML088W	UFO1	1.9
409	YMR313C	TGL3	1.9
410	YMR109W	MYO5	1.9
411	YPL164C	MLH3	1.9
412	YOR098C	NUP1	1.9
413	YDR093W	DNF2	1.9
414	YPR095C	SYT1	1.9
415	YLR023C	IZH3	1.9
416	YIL109C	SEC24	1.9
417	YML104C	MDM1	1.9
418	YGL133W	ITC1	1.9
419	YPR024W	YME1	1.9
420	YPL258C	THI21	1.9
421	YGL252C	RTG2	1.9
422	YDR349C	YPS7	1.9
423	YEL063C	CAN1	1.9
424	YDR147W	EKI1	1.9
425	YGR032W	GSC2	1.9
426	YPL074W	YTA6	1.9
427	YML116W	ATR1	1.9
428	YFL007W	BLM10	1.9
429	YLR028C	ADE16	1.9
430	YLR396C	VPS33	1.9
431	YOR383C	FIT3	1.9
432	YDR466W	PKH3	1.9
433	YHR119W	SET1	1.9
434	YBR276C	PPS1	1.9
435	YAR042W	SWH1	1.9
436	YLR219W	MSC3	1.9
437	YDR135C	YCF1	1.9
438	YNL059C	ARP5	1.9
439	YJR059W	PTK2	1.9
440	YPR085C	ASA1	1.9
441	YOR197W	MCA1	1.9
442	YDR395W	SXM1	1.9
443	YHR073W	OSH3	1.9
444	YGL122C	NAB2	1.9
445	YLR055C	SPT8	1.9
446	YPL133C	RDS2	1.9
447	YLR117C	CLF1	1.9
448	YPL040C	ISM1	1.9
449	YBR095C	RXT2	1.9
450	YLR187W	SKG3	1.9
451	YDR170C	SEC7	1.9
452	YKR072C	SIS2	1.9
453	YDR127W	ARO1	1.9
454	YOR011W	AUS1	1.9
455	YDR205W	MSC2	1.9
456	YKL046C	DCW1	1.9
457	YGL062W	PYC1	1.9
458	YJR151C	DAN4	1.9
459	YKL098W	MTC2	1.9
460	YKL204W	EAP1	1.9
461	YMR247C	RKR1	1.9
462	YMR108W	ILV2	1.9
463	YGL178W	MPT5	1.9
464	YDL215C	GDH2	1.9
465	YKR028W	SAP190	1.9
466	YLR094C	GIS3	1.9
467	YHR114W	BZZ1	1.9
468	YDR443C	SSN2	1.9
469	YML114C	TAF8	1.9
470	YGL186C	TPN1	1.9
471	YMR224C	MRE11	1.9
