SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SMA1

Rank	Gene	Common	Score
Q	YPL027W	SMA1	
1	YPL130W	SPO19	3.0
2	YPR054W	SMK1	3.0
3	YBR180W	DTR1	3.0
4	YOR255W	OSW1	3.0
5	YLR307W	CDA1	3.0
6	YPL021W	ECM23	2.9
7	YLR308W	CDA2	2.8
8	YOL015W	IRC10	2.8
9	YGR059W	SPR3	2.8
10	YOL132W	GAS4	2.7
11	YDR218C	SPR28	2.7
12	YFR023W	PES4	2.7
13	YOR183W	FYV12	2.7
14	YLR013W	GAT3	2.7
15	YJL038C	LOH1	2.7
16	YMR017W	SPO20	2.7
17	YAL067C	SEO1	2.7
18	YPL033C	SRL4	2.6
19	YLR341W	SPO77	2.6
20	YML066C	SMA2	2.6
21	YER106W	MAM1	2.5
22	YNL318C	HXT14	2.5
23	YPR201W	ARR3	2.5
24	YGL170C	SPO74	2.5
25	YHR021W-A	ECM12	2.5
26	YNL128W	TEP1	2.5
27	YDR446W	ECM11	2.5
28	YDR522C	SPS2	2.5
29	YBR076W	ECM8	2.5
30	YHR185C	PFS1	2.5
31	YJL037W	IRC18	2.5
32	YCL048W	SPS22	2.5
33	YDR523C	SPS1	2.5
34	YCR105W	ADH7	2.4
35	YOR190W	SPR1	2.4
36	YHR015W	MIP6	2.4
37	YHL043W	ECM34	2.4
38	YCL026C-A	FRM2	2.4
39	YGL158W	RCK1	2.4
40	YGR224W	AZR1	2.4
41	YGL249W	ZIP2	2.4
42	YBR250W	SPO23	2.3
43	YNR074C	AIF1	2.3
44	YFL011W	HXT10	2.3
45	YNR072W	HXT17	2.3
46	YDR402C	DIT2	2.3
47	YDR317W	HIM1	2.3
48	YOR351C	MEK1	2.3
49	YBR040W	FIG1	2.3
50	YBR045C	GIP1	2.3
51	YOR177C	MPC54	2.2
52	YLR054C	OSW2	2.2
53	YBR148W	YSW1	2.2
54	YBL097W	BRN1	2.2
55	YHR014W	SPO13	2.2
56	YDR403W	DIT1	2.2
57	YGR225W	AMA1	2.2
58	YKL221W	MCH2	2.2
59	YOR068C	VAM10	2.2
60	YNL328C	MDJ2	2.2
61	YDL024C	DIA3	2.2
62	YCL058C	FYV5	2.2
63	YLL005C	SPO75	2.1
64	YDR273W	DON1	2.1
65	YLL046C	RNP1	2.1
66	YNL196C	SLZ1	2.1
67	YML047C	PRM6	2.1
68	YPL165C	SET6	2.1
69	YOR237W	HES1	2.1
70	YOL091W	SPO21	2.1
71	YLR343W	GAS2	2.1
72	YJR078W	BNA2	2.1
73	YNL210W	MER1	2.1
74	YER014C-A	BUD25	2.1
75	YOR298W	MUM3	2.1
76	YHR048W	YHK8	2.1
77	YNL204C	SPS18	2.1
78	YLR213C	CRR1	2.1
79	YIR027C	DAL1	2.0
80	YNL130C-A	DGR1	2.0
81	YKR034W	DAL80	2.0
82	YHL047C	ARN2	2.0
83	YLR329W	REC102	2.0
84	YLL063C	AYT1	2.0
