SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PHO85

Rank	Gene	Common	Score
Q	YPL031C	PHO85	
1	YPL196W	OXR1	3.0
2	YIL034C	CAP2	2.9
3	YOR042W	CUE5	2.9
4	YIR036C	IRC24	2.9
5	YDR517W	GRH1	2.9
6	YPL098C	MGR2	2.8
7	YPR036W	VMA13	2.8
8	YPL262W	FUM1	2.8
9	YCL034W	LSB5	2.8
10	YJR125C	ENT3	2.8
11	YBR149W	ARA1	2.8
12	YHR200W	RPN10	2.8
13	YOR125C	CAT5	2.8
14	YIL033C	BCY1	2.8
15	YIL124W	AYR1	2.8
16	YDR204W	COQ4	2.8
17	YBR052C	RFS1	2.7
18	YPR023C	EAF3	2.7
19	YOL111C	MDY2	2.7
20	YOR157C	PUP1	2.7
21	YHR016C	YSC84	2.7
22	YNR035C	ARC35	2.7
23	YNL168C	FMP41	2.7
24	YNR036C	MRPS12	2.7
25	YGL198W	YIP4	2.7
26	YIL154C	IMP21	2.7
27	YJL066C	MPM1	2.7
28	YCR073W-A	SOL2	2.7
29	YPL203W	TPK2	2.7
30	YFR024C-A	LSB3	2.7
31	YGR080W	TWF1	2.6
32	YOR142W	LSC1	2.6
33	YKL019W	RAM2	2.6
34	YPL087W	YDC1	2.6
35	YBR234C	ARC40	2.6
36	YPR067W	ISA2	2.6
37	YML092C	PRE8	2.6
38	YGL161C	YIP5	2.6
39	YPL123C	RNY1	2.6
40	YGR194C	XKS1	2.6
41	YDR411C	DFM1	2.6
42	YDR388W	RVS167	2.6
43	YLR201C	COQ9	2.6
44	YBR269C	SDH8	2.6
45	YJL001W	PRE3	2.6
46	YKL007W	CAP1	2.6
47	YJR065C	ARP3	2.6
48	YPL206C	PGC1	2.6
49	YIL062C	ARC15	2.6
50	YPL152W	RRD2	2.6
51	YKL142W	MRP8	2.6
52	YDR231C	COX20	2.6
53	YDL078C	MDH3	2.5
54	YOR362C	PRE10	2.5
55	YLR370C	ARC18	2.5
56	YHR104W	GRE3	2.5
57	YMR152W	YIM1	2.5
58	YNL071W	LAT1	2.5
59	YPL091W	GLR1	2.5
60	YGL208W	SIP2	2.5
61	YIR037W	HYR1	2.5
62	YLR209C	PNP1	2.5
63	YDL230W	PTP1	2.5
64	YOR132W	VPS17	2.5
65	YOR230W	WTM1	2.5
66	YCR004C	YCP4	2.5
67	YCL028W	RNQ1	2.5
68	YPL004C	LSP1	2.5
69	YIL157C	COA1	2.5
70	YER119C	AVT6	2.5
71	YKL034W	TUL1	2.5
72	YPR103W	PRE2	2.5
73	YCR030C	SYP1	2.5
74	YGR231C	PHB2	2.5
75	YML057W	CMP2	2.5
76	YLR299W	ECM38	2.5
77	YFR049W	KGD4	2.5
78	YNL239W	LAP3	2.5
79	YMR092C	AIP1	2.5
80	YAL030W	SNC1	2.5
81	YDL029W	ARP2	2.5
82	YPL084W	BRO1	2.5
83	YPL059W	GRX5	2.5
84	YMR139W	RIM11	2.5
85	YDR423C	CAD1	2.5
86	YDR368W	YPR1	2.5
87	YBR035C	PDX3	2.5
88	YLR351C	NIT3	2.5
89	YOL071W	SDH5	2.5
90	YOR155C	ISN1	2.5
91	YFR052W	RPN12	2.5
92	YOL082W	ATG19	2.5
93	YKL013C	ARC19	2.5
94	YAL060W	BDH1	2.5
95	YHR074W	QNS1	2.5
96	YFR050C	PRE4	2.5
97	YFL018C	LPD1	2.5
98	YBL058W	SHP1	2.5
