SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ARL3

Rank	Gene	Common	Score
Q	YPL051W	ARL3	
1	YPR101W	SNT309	2.9
2	YLR275W	SMD2	2.8
3	YPR046W	MCM16	2.8
4	YPL213W	LEA1	2.7
5	YMR077C	VPS20	2.7
6	YNR024W	MPP6	2.7
7	YPR051W	MAK3	2.7
8	YDR183W	PLP1	2.6
9	YLR298C	YHC1	2.6
10	YPR057W	BRR1	2.6
11	YGR275W	RTT102	2.6
12	YLR051C	FCF2	2.6
13	YLR200W	YKE2	2.5
14	YPL038W	MET31	2.5
15	YPL178W	CBC2	2.5
16	YGL058W	RAD6	2.5
17	YOR075W	UFE1	2.5
18	YPL052W	OAZ1	2.5
19	YML062C	MFT1	2.5
20	YPR025C	CCL1	2.5
21	YNL164C	IBD2	2.5
22	YJL179W	PFD1	2.5
23	YHR081W	LRP1	2.5
24	YNL107W	YAF9	2.5
25	YEL018W	EAF5	2.5
26	YLR147C	SMD3	2.5
27	YDL166C	FAP7	2.5
28	YPR094W	RDS3	2.5
29	YKL122C	SRP21	2.5
30	YFR001W	LOC1	2.4
31	YBR257W	POP4	2.4
32	YBR164C	ARL1	2.4
33	YDR152W	GIR2	2.4
34	YPR143W	RRP15	2.4
35	YER002W	NOP16	2.4
36	YDL098C	SNU23	2.4
37	YNL153C	GIM3	2.4
38	YOR094W	ARF3	2.4
39	YPL047W	SGF11	2.4
40	YHR090C	YNG2	2.4
41	YOR078W	BUD21	2.4
42	YPL239W	YAR1	2.4
43	YOR189W	IES4	2.4
44	YML011C	RAD33	2.4
45	YDR163W	CWC15	2.4
46	YPR188C	MLC2	2.4
47	YLR323C	CWC24	2.4
48	YOR194C	TOA1	2.4
49	YKR022C	NTR2	2.4
50	YPL064C	CWC27	2.4
51	YPR086W	SUA7	2.4
52	YDL002C	NHP10	2.3
53	YDR339C	FCF1	2.3
54	YLR221C	RSA3	2.3
55	YLR145W	RMP1	2.3
56	YKL049C	CSE4	2.3
57	YML041C	VPS71	2.3
58	YOL149W	DCP1	2.3
59	YER029C	SMB1	2.3
60	YOR106W	VAM3	2.3
61	YDR162C	NBP2	2.3
62	YPR073C	LTP1	2.3
63	YGL029W	CGR1	2.3
64	YPL053C	KTR6	2.3
65	YLR262C	YPT6	2.3
66	YNL149C	PGA2	2.3
67	YDR088C	SLU7	2.3
68	YER112W	LSM4	2.3
69	YNL113W	RPC19	2.3
70	YOR357C	SNX3	2.3
71	YBR095C	RXT2	2.3
72	YML094W	GIM5	2.3
73	YMR028W	TAP42	2.3
74	YPL020C	ULP1	2.3
75	YNL110C	NOP15	2.3
76	YOR257W	CDC31	2.3
77	YOR281C	PLP2	2.3
78	YOR252W	TMA16	2.3
79	YJR144W	MGM101	2.3
80	YJR067C	YAE1	2.3
81	YBR290W	BSD2	2.3
82	YJR082C	EAF6	2.3
83	YPR180W	AOS1	2.3
84	YPR060C	ARO7	2.3
85	YPR056W	TFB4	2.3
86	YIR009W	MSL1	2.3
87	YBR155W	CNS1	2.3
88	YGR072W	UPF3	2.3
89	YCL031C	RRP7	2.3
90	YIR004W	DJP1	2.3
91	YKR060W	UTP30	2.3
92	YNL166C	BNI5	2.3
93	YEL003W	GIM4	2.3
94	YOR174W	MED4	2.3
95	YOL018C	TLG2	2.3
96	YPR107C	YTH1	2.3
97	YGL174W	BUD13	2.3
98	YER012W	PRE1	2.3
99	YOR115C	TRS33	2.3
100	YDR412W	RRP17	2.3
101	YML069W	POB3	2.3
102	YKL154W	SRP102	2.3
103	YKL074C	MUD2	2.3
104	YNL188W	KAR1	2.3
105	YLR119W	SRN2	2.3
106	YBR091C	TIM12	2.3
107	YOL133W	HRT1	2.3
108	YCL055W	KAR4	2.2
109	YJR050W	ISY1	2.2
110	YDR460W	TFB3	2.2
111	YOR089C	VPS21	2.2
112	YPL001W	HAT1	2.2
113	YMR263W	SAP30	2.2
114	YLR421C	RPN13	2.2
115	YKL082C	RRP14	2.2
116	YBR167C	POP7	2.2
117	YJL031C	BET4	2.2
118	YGR135W	PRE9	2.2
119	YIL008W	URM1	2.2
120	YFL046W	FMP32	2.2
121	YBR002C	RER2	2.2
122	YHR060W	VMA22	2.2
123	YER127W	LCP5	2.2
124	YHL013C	OTU2	2.2
125	YJL203W	PRP21	2.2
126	YOR079C	ATX2	2.2
127	YJL006C	CTK2	2.2
128	YBR282W	MRPL27	2.2
129	YLR215C	CDC123	2.2
130	YHR069C	RRP4	2.2
131	YKL099C	UTP11	2.2
132	YOR265W	RBL2	2.2
133	YDR373W	FRQ1	2.2
134	YHR167W	THP2	2.2
135	YJL140W	RPB4	2.2
136	YMR233W	TRI1	2.2
137	YMR294W	JNM1	2.2
138	YGR005C	TFG2	2.2
139	YGR152C	RSR1	2.2
140	YPL050C	MNN9	2.2
141	YDL135C	RDI1	2.2
142	YPL069C	BTS1	2.2
143	YKL041W	VPS24	2.2
144	YIL098C	FMC1	2.2
145	YPL243W	SRP68	2.2
146	YPL151C	PRP46	2.2
147	YOR148C	SPP2	2.2
148	YBR264C	YPT10	2.2
