SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ELP3

Rank	Gene	Common	Score
Q	YPL086C	ELP3	
1	YHR170W	NMD3	4.9
2	YNL061W	NOP2	4.9
3	YOR206W	NOC2	4.9
4	YPR110C	RPC40	4.9
5	YMR131C	RRB1	4.9
6	YPL126W	NAN1	4.9
7	YJL050W	MTR4	4.8
8	YPL211W	NIP7	4.8
9	YOR340C	RPA43	4.8
10	YOR272W	YTM1	4.8
11	YMR049C	ERB1	4.8
12	YGL099W	LSG1	4.7
13	YER006W	NUG1	4.7
14	YGR145W	ENP2	4.7
15	YLR276C	DBP9	4.7
16	YLR409C	UTP21	4.7
17	YGR200C	ELP2	4.7
18	YNL132W	KRE33	4.7
19	YNL175C	NOP13	4.7
20	YPL012W	RRP12	4.7
21	YGR128C	UTP8	4.7
22	YMR290C	HAS1	4.7
23	YPL043W	NOP4	4.6
24	YKR081C	RPF2	4.6
25	YDR087C	RRP1	4.6
26	YPR112C	MRD1	4.6
27	YLR196W	PWP1	4.6
28	YDL060W	TSR1	4.6
29	YGL111W	NSA1	4.6
30	YJR002W	MPP10	4.5
31	YPR010C	RPA135	4.5
32	YBL039C	URA7	4.5
33	YPL266W	DIM1	4.5
34	YBR247C	ENP1	4.5
35	YGL078C	DBP3	4.5
36	YHR197W	RIX1	4.5
37	YML093W	UTP14	4.5
38	YCR057C	PWP2	4.5
39	YDR165W	TRM82	4.5
40	YLL008W	DRS1	4.5
41	YNL248C	RPA49	4.5
42	YKL021C	MAK11	4.4
43	YDR324C	UTP4	4.4
44	YJL033W	HCA4	4.4
45	YGR103W	NOP7	4.4
46	YOR243C	PUS7	4.4
47	YGR123C	PPT1	4.4
48	YDR496C	PUF6	4.4
49	YDR101C	ARX1	4.4
50	YHR052W	CIC1	4.4
51	YLR129W	DIP2	4.4
52	YDR465C	RMT2	4.4
53	YMR229C	RRP5	4.4
54	YCL059C	KRR1	4.4
55	YOR294W	RRS1	4.4
56	YGR173W	RBG2	4.4
57	YLR002C	NOC3	4.4
58	YBR142W	MAK5	4.4
59	YGL171W	ROK1	4.3
60	YNL182C	IPI3	4.3
61	YNL075W	IMP4	4.3
62	YPR144C	NOC4	4.3
63	YKL143W	LTV1	4.3
64	YER126C	NSA2	4.3
65	YDL148C	NOP14	4.3
66	YOL077C	BRX1	4.3
67	YAL036C	RBG1	4.3
68	YOR361C	PRT1	4.3
