SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CQD1

Rank	Gene	Common	Score
Q	YPL109C	CQD1	
1	YPR026W	ATH1	2.0
2	YPL123C	RNY1	2.0
3	YOR173W	DCS2	1.9
4	YBR280C	SAF1	1.9
5	YLR149C	GID11	1.9
6	YOL083W	ATG34	1.9
7	YPL113C	YPL113C	1.8
8	YPL203W	TPK2	1.8
9	YGL227W	VID30	1.8
10	YPL186C	UIP4	1.8
11	YMR304W	UBP15	1.8
12	YPR155C	NCA2	1.8
13	YOR289W	YOR289W	1.8
14	YLR270W	DCS1	1.8
15	YML128C	MSC1	1.8
16	YNL115C	YNL115C	1.8
17	YDL199C	YDL199C	1.8
18	YDR358W	GGA1	1.8
19	YNL274C	GOR1	1.8
20	YBR139W	ATG42	1.8
21	YBR026C	ETR1	1.8
22	YMR110C	HFD1	1.8
23	YNL200C	NNR1	1.8
24	YHR171W	ATG7	1.8
25	YGR194C	XKS1	1.8
26	YMR250W	GAD1	1.8
27	YEL011W	GLC3	1.8
28	YDL204W	RTN2	1.8
29	YFL030W	AGX1	1.8
30	YBL064C	PRX1	1.8
31	YPL230W	USV1	1.7
32	YJL164C	TPK1	1.7
33	YJL103C	GSM1	1.7
34	YHL021C	AIM17	1.7
35	YOR215C	AIM41	1.7
36	YLR345W	YLR345W	1.7
37	YIL107C	PFK26	1.7
38	YNR007C	ATG3	1.7
39	YMR302C	YME2	1.7
40	YIL097W	FYV10	1.7
41	YIL155C	GUT2	1.7
42	YBR053C	YBR053C	1.7
43	YPR184W	GDB1	1.7
44	YOL048C	RRT8	1.7
45	YML120C	NDI1	1.7
46	YJL163C	YJL163C	1.7
47	YMR139W	RIM11	1.7
48	YIL017C	VID28	1.7
49	YLR312C	ATG39	1.7
50	YKL091C	YKL091C	1.7
51	YKR076W	ECM4	1.7
52	YJL161W	FMP33	1.7
53	YMR152W	YIM1	1.7
54	YLR080W	EMP46	1.7
55	YPL004C	LSP1	1.7
56	YIL136W	OM45	1.7
57	YDR070C	FMP16	1.7
58	YLR258W	GSY2	1.7
59	YOR227W	HER1	1.7
60	YMR053C	STB2	1.7
61	YPL119C	DBP1	1.7
62	YHR198C	AIM18	1.7
63	YPL196W	OXR1	1.7
64	YBR169C	SSE2	1.7
65	YDL027C	MRX9	1.7
66	YPL219W	PCL8	1.7
67	YOL117W	RRI2	1.7
68	YNL194C	YNL194C	1.7
69	YIL101C	XBP1	1.7
70	YDL169C	UGX2	1.7
71	YIL087C	AIM19	1.7
72	YGR127W	YGR127W	1.7
73	YKR058W	GLG1	1.7
74	YLR251W	SYM1	1.7
75	YMR181C	YMR181C	1.7
76	YOR386W	PHR1	1.7
77	YNL195C	YNL195C	1.7
78	YGR248W	SOL4	1.7
79	YKL150W	MCR1	1.7
80	YPL087W	YDC1	1.7
81	YGR110W	CLD1	1.7
82	YPL222W	FMP40	1.7
83	YGR088W	CTT1	1.7
