SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPL5

Rank	Gene	Common	Score
Q	YPL131W	RPL5	
1	YOL040C	RPS15	5.4
2	YGL123W	RPS2	5.4
3	YNL069C	RPL16B	5.3
4	YJR123W	RPS5	5.3
5	YNL178W	RPS3	5.3
6	YOR063W	RPL3	5.2
7	YLL045C	RPL8B	5.1
8	YJL177W	RPL17B	5.1
9	YFR031C-A	RPL2A	5.0
10	YLR048W	RPS0B	5.0
11	YKL180W	RPL17A	5.0
12	YOL120C	RPL18A	5.0
13	YMR116C	ASC1	5.0
14	YHL033C	RPL8A	5.0
15	YIL133C	RPL16A	5.0
16	YJL190C	RPS22A	5.0
17	YBR189W	RPS9B	5.0
18	YOR096W	RPS7A	4.9
19	YLR340W	RPP0	4.9
20	YML073C	RPL6A	4.9
21	YGR214W	RPS0A	4.9
22	YPL079W	RPL21B	4.9
23	YJR145C	RPS4A	4.9
24	YDR418W	RPL12B	4.9
25	YOL039W	RPP2A	4.9
26	YEL054C	RPL12A	4.9
27	YDR064W	RPS13	4.8
28	YGL076C	RPL7A	4.8
29	YMR142C	RPL13B	4.8
30	YDL083C	RPS16B	4.8
31	YBL072C	RPS8A	4.8
32	YPL143W	RPL33A	4.7
33	YBR191W	RPL21A	4.7
34	YDR382W	RPP2B	4.7
35	YGL030W	RPL30	4.7
36	YKL006W	RPL14A	4.7
37	YMR242C	RPL20A	4.7
38	YPR132W	RPS23B	4.7
39	YNL302C	RPS19B	4.7
40	YPR102C	RPL11A	4.7
41	YGL031C	RPL24A	4.7
42	YIL018W	RPL2B	4.7
43	YPL220W	RPL1A	4.7
44	YLR448W	RPL6B	4.7
45	YLR061W	RPL22A	4.7
46	YBR048W	RPS11B	4.7
47	YHR203C	RPS4B	4.7
48	YLR441C	RPS1A	4.6
49	YDL082W	RPL13A	4.6
50	YOR369C	RPS12	4.6
51	YGR085C	RPL11B	4.6
52	YGL103W	RPL28	4.6
53	YER102W	RPS8B	4.6
54	YNL067W	RPL9B	4.6
55	YNL209W	SSB2	4.6
56	YDR012W	RPL4B	4.6
57	YBR031W	RPL4A	4.6
58	YER131W	RPS26B	4.6
59	YHL015W	RPS20	4.5
60	YML063W	RPS1B	4.5
61	YLR167W	RPS31	4.5
62	YGL147C	RPL9A	4.5
63	YGR148C	RPL24B	4.5
64	YPL090C	RPS6A	4.5
65	YGL189C	RPS26A	4.5
66	YBL092W	RPL32	4.5
67	YHR010W	RPL27A	4.5
68	YDR025W	RPS11A	4.4
69	YLR150W	STM1	4.4
70	YLR344W	RPL26A	4.4
71	YPR043W	RPL43A	4.4
72	YLR185W	RPL37A	4.4
73	YLR029C	RPL15A	4.4
74	YOR293W	RPS10A	4.4
75	YNL301C	RPL18B	4.4
76	YML026C	RPS18B	4.4
77	YOL127W	RPL25	4.4
78	YBL027W	RPL19B	4.4
79	YDL130W	RPP1B	4.4
80	YDL081C	RPP1A	4.4
81	YML024W	RPS17A	4.4
82	YBL087C	RPL23A	4.3
83	YOR312C	RPL20B	4.3
84	YMR143W	RPS16A	4.3
85	YLR075W	RPL10	4.3
86	YIL069C	RPS24B	4.3
87	YDL075W	RPL31A	4.3
88	YER074W	RPS24A	4.3
89	YGL135W	RPL1B	4.3
90	YLR388W	RPS29A	4.3
91	YDR471W	RPL27B	4.3
92	YNL162W	RPL42A	4.3
93	YDL061C	RPS29B	4.3
94	YER056C-A	RPL34A	4.3
95	YNL096C	RPS7B	4.3
96	YIL052C	RPL34B	4.2
97	YJL136C	RPS21B	4.2
98	YOR234C	RPL33B	4.2
99	YGR118W	RPS23A	4.2
100	YHL001W	RPL14B	4.2
101	YHR021C	RPS27B	4.2
102	YKL056C	TMA19	4.2
103	YCR031C	RPS14A	4.2
104	YIL148W	RPL40A	4.1
105	YLR249W	YEF3	4.1
106	YGR027C	RPS25A	4.1
107	YER117W	RPL23B	4.1
108	YPL198W	RPL7B	4.1
109	YBR181C	RPS6B	4.1
110	YKR057W	RPS21A	4.1
111	YGR034W	RPL26B	4.1
112	YLR325C	RPL38	4.1
113	YLR333C	RPS25B	4.1
114	YKR094C	RPL40B	4.1
115	YDR450W	RPS18A	4.0
116	YKL081W	TEF4	4.0
117	YDR447C	RPS17B	4.0
118	YMR194W	RPL36A	4.0
119	YBR084C-A	RPL19A	3.9
120	YDR500C	RPL37B	3.9
121	YOR167C	RPS28A	3.9
122	YLR264W	RPS28B	3.9
123	YHR019C	DED81	3.9
124	YPL081W	RPS9A	3.9
125	YDL191W	RPL35A	3.9
126	YDL229W	SSB1	3.8
127	YLR367W	RPS22B	3.8
128	YAL003W	EFB1	3.8
129	YMR217W	GUA1	3.7
130	YPL037C	EGD1	3.7
131	YLR293C	GSP1	3.7
132	YMR230W	RPS10B	3.7
133	YJL191W	RPS14B	3.7
134	YJL189W	RPL39	3.7
135	YOL121C	RPS19A	3.7
136	YHR141C	RPL42B	3.7
137	YBR121C	GRS1	3.7
