SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MKK2

Rank	Gene	Common	Score
Q	YPL140C	MKK2	
1	YPL138C	SPP1	2.9
2	YPL133C	RDS2	2.5
3	YPL100W	ATG21	2.4
4	YPR023C	EAF3	2.4
5	YPL152W	RRD2	2.4
6	YPL120W	VPS30	2.4
7	YPL164C	MLH3	2.3
8	YPL074W	YTA6	2.3
9	YBR270C	BIT2	2.3
10	YDR173C	ARG82	2.3
11	YOR245C	DGA1	2.3
12	YJL112W	MDV1	2.3
13	YOL100W	PKH2	2.3
14	YDR329C	PEX3	2.3
15	YPR049C	ATG11	2.3
16	YDR460W	TFB3	2.3
17	YPL176C	TRE1	2.2
18	YLR189C	ATG26	2.2
19	YPL202C	AFT2	2.2
20	YPL139C	UME1	2.2
21	YPR025C	CCL1	2.2
22	YPR155C	NCA2	2.2
23	YPL151C	PRP46	2.2
24	YDL115C	IWR1	2.2
25	YIL146C	ATG32	2.2
26	YKL010C	UFD4	2.2
27	YMR100W	MUB1	2.2
28	YLR362W	STE11	2.2
29	YKL005C	BYE1	2.2
30	YOL025W	LAG2	2.2
31	YJR052W	RAD7	2.2
32	YPR178W	PRP4	2.2
33	YGR002C	SWC4	2.2
34	YPL181W	CTI6	2.2
35	YOR244W	ESA1	2.2
36	YNL215W	IES2	2.2
37	YPR122W	AXL1	2.2
38	YPR026W	ATH1	2.2
39	YNL223W	ATG4	2.2
40	YLR288C	MEC3	2.2
41	YNL097C	PHO23	2.2
42	YNR007C	ATG3	2.2
43	YBR001C	NTH2	2.2
44	YPR085C	ASA1	2.2
45	YOL043C	NTG2	2.2
46	YIL107C	PFK26	2.2
47	YDR082W	STN1	2.2
48	YER101C	AST2	2.2
49	YPL097W	MSY1	2.2
50	YPL132W	COX11	2.2
51	YOR353C	SOG2	2.1
52	YPL214C	THI6	2.1
53	YBR255W	MTC4	2.1
54	YDL028C	MPS1	2.1
55	YJL155C	FBP26	2.1
56	YPL180W	TCO89	2.1
57	YLR102C	APC9	2.1
58	YPL188W	POS5	2.1
59	YPR081C	GRS2	2.1
60	YLR368W	MDM30	2.1
61	YKL124W	SSH4	2.1
62	YJL023C	PET130	2.1
63	YDR313C	PIB1	2.1
64	YMR097C	MTG1	2.1
65	YPR057W	BRR1	2.1
66	YNL009W	IDP3	2.1
67	YOR138C	RUP1	2.1
68	YOR054C	VHS3	2.1
69	YPL224C	MMT2	2.1
70	YDR118W	APC4	2.1
71	YOL049W	GSH2	2.1
72	YPL134C	ODC1	2.1
73	YPR032W	SRO7	2.1
74	YER116C	SLX8	2.1
75	YDL020C	RPN4	2.1
76	YNL012W	SPO1	2.1
77	YPL196W	OXR1	2.1
78	YLR247C	IRC20	2.1
79	YKL064W	MNR2	2.1
80	YPL070W	MUK1	2.1
81	YIL017C	VID28	2.1
82	YJL103C	GSM1	2.1
83	YMR201C	RAD14	2.1
84	YNL077W	APJ1	2.1
85	YPL204W	HRR25	2.1
86	YOR380W	RDR1	2.1
87	YER051W	JHD1	2.1
88	YLR248W	RCK2	2.1
89	YNL212W	VID27	2.1
90	YPR086W	SUA7	2.1
91	YOL113W	SKM1	2.1
92	YMR191W	SPG5	2.1
93	YLR246W	ERF2	2.1
94	YNL083W	SAL1	2.1
95	YOR329C	SCD5	2.1
96	YLR427W	MAG2	2.1
97	YPR024W	YME1	2.1
98	YGR046W	TAM41	2.1
99	YDL134C	PPH21	2.1
100	YKR101W	SIR1	2.1
101	YPL008W	CHL1	2.1
102	YPL003W	ULA1	2.1
103	YGL093W	SPC105	2.1
104	YLR307W	CDA1	2.1
105	YPL040C	ISM1	2.1
106	YCL052C	PBN1	2.1
107	YLR174W	IDP2	2.1
108	YOR031W	CRS5	2.1
109	YOR023C	AHC1	2.1
110	YJL036W	SNX4	2.1
111	YGR223C	HSV2	2.1
112	YNL127W	FAR11	2.1
113	YJR049C	UTR1	2.1
114	YCL039W	GID7	2.1
115	YPL005W	AEP3	2.1
116	YOR118W	RTC5	2.1
117	YLR165C	PUS5	2.1
118	YLR240W	VPS34	2.1
119	YPR079W	MRL1	2.1
120	YER115C	SPR6	2.1
121	YPL064C	CWC27	2.1
122	YJL137C	GLG2	2.1
123	YPL116W	HOS3	2.1
124	YAL016W	TPD3	2.1
125	YNL293W	MSB3	2.1
126	YER162C	RAD4	2.1
127	YMR289W	ABZ2	2.1
128	YGL091C	NBP35	2.1
129	YKL168C	KKQ8	2.1
130	YDR490C	PKH1	2.1
131	YDR485C	VPS72	2.1
132	YBL060W	YEL1	2.1
133	YOR089C	VPS21	2.0
134	YMR068W	AVO2	2.0
135	YOR211C	MGM1	2.0
136	YML117W	NAB6	2.0
137	YPL203W	TPK2	2.0
138	YJL057C	IKS1	2.0
139	YDR028C	REG1	2.0
140	YLR082C	SRL2	2.0
141	YOR275C	RIM20	2.0
142	YPL194W	DDC1	2.0
143	YKL132C	RMA1	2.0
144	YPL232W	SSO1	2.0
145	YPL072W	UBP16	2.0
146	YKL090W	CUE2	2.0
147	YBR237W	PRP5	2.0
148	YPR031W	NTO1	2.0
149	YJR130C	STR2	2.0
150	YNL317W	PFS2	2.0
151	YFR040W	SAP155	2.0
152	YPR021C	AGC1	2.0
153	YJL099W	CHS6	2.0
154	YNL063W	MTQ1	2.0
155	YPL249C	GYP5	2.0
156	YMR302C	YME2	2.0
157	YOR231W	MKK1	2.0
158	YPL186C	UIP4	2.0
159	YPR075C	OPY2	2.0
160	YPL007C	TFC8	2.0
161	YBR290W	BSD2	2.0
162	YPL167C	REV3	2.0
163	YIL112W	HOS4	2.0
164	YMR180C	CTL1	2.0
165	YNR023W	SNF12	2.0
166	YPL258C	THI21	2.0
167	YNR045W	PET494	2.0
168	YDR228C	PCF11	2.0
169	YDR273W	DON1	2.0
170	YGL163C	RAD54	2.0
171	YMR115W	MGR3	2.0
172	YGL073W	HSF1	2.0
173	YNL167C	SKO1	2.0
174	YLR219W	MSC3	2.0
175	YKL094W	YJU3	2.0
176	YOR034C	AKR2	2.0
177	YKL121W	DGR2	2.0
178	YJR126C	VPS70	2.0
179	YCR036W	RBK1	2.0
180	YJR050W	ISY1	2.0
181	YOR249C	APC5	2.0
182	YMR171C	EAR1	2.0
183	YGR258C	RAD2	2.0
184	YLL015W	BPT1	2.0
185	YNL199C	GCR2	2.0
