SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PXA1

Rank	Gene	Common	Score
Q	YPL147W	PXA1	
1	YKR009C	FOX2	3.8
2	YNL009W	IDP3	3.6
3	YLR284C	ECI1	3.5
4	YKL188C	PXA2	3.5
5	YGL205W	POX1	3.4
6	YML042W	CAT2	3.4
7	YAL054C	ACS1	3.3
8	YPR026W	ATH1	3.3
9	YDR256C	CTA1	3.3
10	YER015W	FAA2	3.3
11	YCR010C	ADY2	3.2
12	YPL201C	YIG1	3.2
13	YPR001W	CIT3	3.2
14	YDL085W	NDE2	3.2
15	YNL202W	SPS19	3.1
16	YGR236C	SPG1	3.1
17	YMR107W	SPG4	3.0
18	YER054C	GIP2	3.0
19	YPR006C	ICL2	3.0
20	YKL217W	JEN1	3.0
21	YKL093W	MBR1	3.0
22	YOL084W	PHM7	3.0
23	YIL160C	POT1	2.9
24	YPR151C	SUE1	2.9
25	YLR174W	IDP2	2.9
26	YIL136W	OM45	2.9
27	YNR002C	ATO2	2.9
28	YHR096C	HXT5	2.9
29	YOR100C	CRC1	2.9
30	YPL186C	UIP4	2.9
31	YDL169C	UGX2	2.9
32	YKL026C	GPX1	2.9
33	YMR280C	CAT8	2.9
34	YPL054W	LEE1	2.9
35	YHR160C	PEX18	2.9
36	YBR280C	SAF1	2.9
37	YPL222W	FMP40	2.8
38	YPL119C	DBP1	2.8
39	YKR076W	ECM4	2.8
40	YGR043C	NQM1	2.8
41	YDR223W	CRF1	2.8
42	YOR374W	ALD4	2.8
43	YER024W	YAT2	2.8
44	YLR080W	EMP46	2.8
45	YIL107C	PFK26	2.8
46	YKR058W	GLG1	2.8
47	YBR050C	REG2	2.8
48	YMR053C	STB2	2.8
49	YNL012W	SPO1	2.8
50	YDL215C	GDH2	2.8
51	YOR173W	DCS2	2.8
52	YMR110C	HFD1	2.8
53	YDR070C	FMP16	2.7
54	YDL110C	TMA17	2.7
55	YNL014W	HEF3	2.7
56	YML054C	CYB2	2.7
57	YPR030W	CSR2	2.7
58	YIL101C	XBP1	2.7
59	YMR191W	SPG5	2.7
60	YML128C	MSC1	2.7
61	YJL057C	IKS1	2.7
62	YLR070C	XYL2	2.7
63	YDL223C	HBT1	2.7
64	YPL223C	GRE1	2.7
65	YJL089W	SIP4	2.7
66	YIL097W	FYV10	2.7
67	YBR230C	OM14	2.7
68	YIL045W	PIG2	2.7
69	YHL032C	GUT1	2.7
70	YDL204W	RTN2	2.7
71	YGR243W	MPC3	2.7
72	YGL156W	AMS1	2.7
73	YJL155C	FBP26	2.7
74	YBR001C	NTH2	2.7
75	YIL155C	GUT2	2.7
76	YEL011W	GLC3	2.7
77	YOR328W	PDR10	2.7
78	YOR040W	GLO4	2.7
