SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: UIP4

Rank	Gene	Common	Score
Q	YPL186C	UIP4	
1	YOR173W	DCS2	5.3
2	YIL136W	OM45	5.2
3	YML128C	MSC1	4.9
4	YGR248W	SOL4	4.9
5	YDL204W	RTN2	4.8
6	YDR070C	FMP16	4.7
7	YMR250W	GAD1	4.7
8	YER054C	GIP2	4.6
9	YLR178C	TFS1	4.6
10	YOR120W	GCY1	4.5
11	YEL011W	GLC3	4.4
12	YMR105C	PGM2	4.4
13	YKL026C	GPX1	4.4
14	YPL123C	RNY1	4.4
15	YGR008C	STF2	4.4
16	YGR043C	NQM1	4.4
17	YJL161W	FMP33	4.3
18	YMR174C	PAI3	4.3
19	YKR076W	ECM4	4.3
20	YOL052C-A	DDR2	4.3
21	YMR169C	ALD3	4.3
22	YPR184W	GDB1	4.2
23	YBR169C	SSE2	4.2
24	YPL230W	USV1	4.2
25	YLR251W	SYM1	4.2
26	YGR088W	CTT1	4.2
27	YPR026W	ATH1	4.2
28	YDL110C	TMA17	4.2
29	YDL169C	UGX2	4.2
30	YGL121C	GPG1	4.2
31	YLR258W	GSY2	4.2
32	YHR087W	RTC3	4.1
33	YBL064C	PRX1	4.1
34	YPR160W	GPH1	4.1
35	YOL084W	PHM7	4.1
36	YML100W	TSL1	4.1
37	YGL037C	PNC1	4.1
38	YNL274C	GOR1	4.1
39	YGR256W	GND2	4.0
40	YBR230C	OM14	4.0
41	YLR270W	DCS1	4.0
42	YDL085W	NDE2	4.0
43	YGL156W	AMS1	4.0
44	YBR072W	HSP26	4.0
45	YMR175W	SIP18	4.0
46	YJL164C	TPK1	3.9
47	YDL223C	HBT1	3.9
48	YHR104W	GRE3	3.9
49	YOR178C	GAC1	3.9
50	YDR171W	HSP42	3.9
51	YKR049C	FMP46	3.9
52	YMR110C	HFD1	3.9
53	YMR107W	SPG4	3.9
54	YLL026W	HSP104	3.9
55	YFL014W	HSP12	3.9
56	YHR096C	HXT5	3.9
57	YCL040W	GLK1	3.9
58	YIL101C	XBP1	3.9
59	YBR117C	TKL2	3.9
60	YDR358W	GGA1	3.9
61	YKL142W	MRP8	3.8
62	YIR038C	GTT1	3.8
63	YML054C	CYB2	3.8
64	YEL039C	CYC7	3.8
65	YKR058W	GLG1	3.8
66	YDR074W	TPS2	3.8
67	YKL150W	MCR1	3.8
68	YKL093W	MBR1	3.8
69	YLR080W	EMP46	3.8
70	YDL021W	GPM2	3.8
71	YJL066C	MPM1	3.8
72	YPL223C	GRE1	3.8
73	YAL061W	BDH2	3.7
74	YBR214W	SDS24	3.7
75	YBR026C	ETR1	3.7
76	YBL078C	ATG8	3.7
77	YOR374W	ALD4	3.7
78	YIL107C	PFK26	3.7
79	YPL203W	TPK2	3.7
80	YGR070W	ROM1	3.7
81	YMR271C	URA10	3.7
82	YIL097W	FYV10	3.7
83	YML042W	CAT2	3.7
84	YBR126C	TPS1	3.7
85	YPL004C	LSP1	3.7
86	YDL222C	FMP45	3.7
87	YNR002C	ATO2	3.7
88	YER053C	PIC2	3.7
89	YNL015W	PBI2	3.6
90	YIL155C	GUT2	3.6
91	YIL045W	PIG2	3.6
92	YPL222W	FMP40	3.6
93	YER150W	SPI1	3.6
94	YJL155C	FBP26	3.6
95	YDR001C	NTH1	3.6
96	YLR327C	TMA10	3.6
97	YNL160W	YGP1	3.6
98	YDR453C	TSA2	3.6
99	YOL082W	ATG19	3.6
100	YBR149W	ARA1	3.6
101	YCR091W	KIN82	3.6
102	YDR513W	GRX2	3.5
103	YDL130W-A	STF1	3.5
104	YPR151C	SUE1	3.5
105	YOL071W	SDH5	3.5
106	YGR236C	SPG1	3.5
107	YOR185C	GSP2	3.5
108	YGL227W	VID30	3.5
109	YBL049W	MOH1	3.5
110	YPR149W	NCE102	3.5
111	YMR081C	ISF1	3.5
112	YFL030W	AGX1	3.5
113	YPL054W	LEE1	3.5
114	YDR085C	AFR1	3.5
115	YJL057C	IKS1	3.5
116	YAL034C	FUN19	3.5
117	YBR269C	SDH8	3.5
118	YBR280C	SAF1	3.5
119	YEL012W	UBC8	3.5
120	YGR174C	CBP4	3.5
121	YKL035W	UGP1	3.5
122	YDR258C	HSP78	3.5
123	YPL196W	OXR1	3.5
124	YDR231C	COX20	3.4
125	YPL087W	YDC1	3.4
126	YGR194C	XKS1	3.4
127	YAL008W	FUN14	3.4
128	YHR016C	YSC84	3.4
129	YIL124W	AYR1	3.4
130	YIL113W	SDP1	3.4
131	YJL141C	YAK1	3.4
132	YFR053C	HXK1	3.4
133	YML004C	GLO1	3.4
134	YBR006W	UGA2	3.4
135	YKL091C	YKL091C	3.4
136	YGR019W	UGA1	3.4
137	YNR007C	ATG3	3.4
138	YNL173C	MDG1	3.4
139	YEL060C	PRB1	3.4
140	YNL093W	YPT53	3.4
141	YKR009C	FOX2	3.4
142	YMR170C	ALD2	3.4
143	YBR183W	YPC1	3.4
144	YMR053C	STB2	3.3
145	YCL035C	GRX1	3.3
146	YER035W	EDC2	3.3
147	YPR030W	CSR2	3.3
148	YDR059C	UBC5	3.3
149	YIL160C	POT1	3.3
150	YGL104C	VPS73	3.3
151	YOR031W	CRS5	3.3
152	YIR039C	YPS6	3.3
153	YBR001C	NTH2	3.3
154	YJL103C	GSM1	3.3
155	YDR178W	SDH4	3.3
156	YPL154C	PEP4	3.3
157	YBR046C	ZTA1	3.3
158	YDR272W	GLO2	3.3
159	YGL096W	TOS8	3.3
160	YHR171W	ATG7	3.3
161	YIL033C	BCY1	3.3
162	YIL017C	VID28	3.3
163	YER103W	SSA4	3.3
164	YCR083W	TRX3	3.2
165	YDR148C	KGD2	3.2
166	YER037W	PHM8	3.2
167	YKL085W	MDH1	3.2
168	YLL041C	SDH2	3.2
169	YIL099W	SGA1	3.2
170	YNL237W	YTP1	3.2
171	YGL006W	PMC1	3.2
172	YFR049W	KGD4	3.2
173	YLL019C	KNS1	3.2
174	YDR516C	EMI2	3.2
175	YOR386W	PHR1	3.2
176	YHR160C	PEX18	3.2
177	YHR008C	SOD2	3.2
178	YLR070C	XYL2	3.2
179	YGL208W	SIP2	3.2
180	YAL054C	ACS1	3.2
181	YLR151C	PCD1	3.2
182	YJL048C	UBX6	3.2
183	YDR533C	HSP31	3.2
184	YDR204W	COQ4	3.2
185	YHR195W	NVJ1	3.2
186	YKL065C	YET1	3.2
187	YFR015C	GSY1	3.2
188	YKL067W	YNK1	3.2
189	YGR244C	LSC2	3.2
190	YOR036W	PEP12	3.2
191	YLR174W	IDP2	3.2
192	YKL193C	SDS22	3.2
193	YKL188C	PXA2	3.2
194	YML120C	NDI1	3.2
195	YDL091C	UBX3	3.2
196	YDR313C	PIB1	3.2
197	YBR024W	SCO2	3.2
198	YDR003W	RCR2	3.2
199	YBL015W	ACH1	3.2
200	YBR052C	RFS1	3.1
201	YDR032C	PST2	3.1
202	YOL032W	OPI10	3.1
203	YOR054C	VHS3	3.1
204	YNL202W	SPS19	3.1
205	YIL111W	COX5B	3.1
206	YKL103C	APE1	3.1
207	YLR284C	ECI1	3.1
208	YDR436W	PPZ2	3.1
209	YMR280C	CAT8	3.1
210	YOR100C	CRC1	3.1
211	YLL039C	UBI4	3.1
212	YKL163W	PIR3	3.1
213	YOR161C	PNS1	3.1
214	YHL021C	AIM17	3.1
215	YHL024W	RIM4	3.1
216	YKR067W	GPT2	3.1
217	YNL009W	IDP3	3.1
218	YMR139W	RIM11	3.1
219	YKR046C	PLN1	3.1
220	YKL217W	JEN1	3.1
221	YMR322C	SNO4	3.1
222	YDR255C	RMD5	3.1
223	YLR219W	MSC3	3.1
224	YAL060W	BDH1	3.1
225	YBR147W	RTC2	3.1
226	YDR096W	GIS1	3.1
227	YER162C	RAD4	3.1
228	YOL126C	MDH2	3.1
229	YMR297W	PRC1	3.1
230	YGR243W	MPC3	3.1
231	YMR311C	GLC8	3.1
232	YPL017C	IRC15	3.0
233	YGL205W	POX1	3.0
234	YNL223W	ATG4	3.0
235	YMR152W	YIM1	3.0
236	YPL119C	DBP1	3.0
