SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GUP2

Rank	Gene	Common	Score
Q	YPL189W	GUP2	
1	YMR017W	SPO20	2.1
2	YDR403W	DIT1	2.0
3	YLR461W	PAU4	2.0
4	YHR015W	MIP6	2.0
5	YOL091W	SPO21	2.0
6	YPL258C	THI21	2.0
7	YNL204C	SPS18	2.0
8	YKR102W	FLO10	2.0
9	YLR343W	GAS2	2.0
10	YPR121W	THI22	1.9
11	YGL251C	HFM1	1.9
12	YLR004C	THI73	1.9
13	YFR023W	PES4	1.9
14	YBR085W	AAC3	1.9
15	YOR237W	HES1	1.9
16	YIL011W	TIR3	1.9
17	YNL128W	TEP1	1.9
18	YBR040W	FIG1	1.9
19	YJL038C	LOH1	1.9
20	YMR177W	MMT1	1.9
21	YHR126C	ANS1	1.9
22	YBR250W	SPO23	1.9
23	YBR301W	PAU24	1.9
24	YHR184W	SSP1	1.9
25	YPL187W	MF(ALPHA)1	1.9
26	YOR298W	MUM3	1.9
27	YKL132C	RMA1	1.9
28	YPL058C	PDR12	1.9
29	YIR027C	DAL1	1.9
30	YDR317W	HIM1	1.9
31	YDR273W	DON1	1.9
32	YML104C	MDM1	1.9
33	YDL024C	DIA3	1.9
34	YNR058W	BIO3	1.9
35	YNR056C	BIO5	1.9
36	YGR144W	THI4	1.8
37	YPL214C	THI6	1.8
38	YHR014W	SPO13	1.8
39	YOR011W	AUS1	1.8
40	YMR065W	KAR5	1.8
41	YIL114C	POR2	1.8
42	YDR501W	PLM2	1.8
43	YNR057C	BIO4	1.8
44	YGL158W	RCK1	1.8
45	YOR009W	TIR4	1.8
46	YPL140C	MKK2	1.8
47	YLL012W	YEH1	1.8
48	YNL163C	RIA1	1.8
49	YDL039C	PRM7	1.8
50	YJL037W	IRC18	1.8
51	YHR048W	YHK8	1.8
52	YMR101C	SRT1	1.8
53	YLR318W	EST2	1.8
54	YPL254W	HFI1	1.8
55	YLR263W	RED1	1.8
56	YKL221W	MCH2	1.8
57	YIR013C	GAT4	1.8
58	YIL066C	RNR3	1.8
59	YPL171C	OYE3	1.8
60	YBR240C	THI2	1.8
61	YOR177C	MPC54	1.8
62	YPL122C	TFB2	1.8
63	YBR156C	SLI15	1.8
64	YOL105C	WSC3	1.8
65	YPR169W	JIP5	1.8
66	YJL025W	RRN7	1.8
67	YJR119C	JHD2	1.8
68	YPL130W	SPO19	1.8
69	YOL154W	ZPS1	1.8
70	YAL067C	SEO1	1.8
71	YPR070W	MED1	1.8
72	YOL132W	GAS4	1.8
73	YCR089W	FIG2	1.8
74	YDR009W	GAL3	1.8
75	YHR157W	REC104	1.8
76	YHR139C	SPS100	1.8
77	YER096W	SHC1	1.8
78	YCR020C	PET18	1.8
79	YER185W	PUG1	1.8
80	YKR053C	YSR3	1.8
81	YOR360C	PDE2	1.8
82	YOR032C	HMS1	1.8
83	YIR030C	DCG1	1.8
84	YPR006C	ICL2	1.8
85	YLR329W	REC102	1.8
86	YMR198W	CIK1	1.8
87	YFL003C	MSH4	1.8
88	YJL105W	SET4	1.8
89	YJL223C	PAU1	1.8
90	YDR078C	SHU2	1.8
91	YGR166W	TRS65	1.8
92	YER106W	MAM1	1.8
93	YOR306C	MCH5	1.8
94	YHR031C	RRM3	1.8
95	YGL032C	AGA2	1.8
96	YGR059W	SPR3	1.8
97	YLR313C	SPH1	1.8
98	YPL161C	BEM4	1.8
99	YPL183C	RTT10	1.8
100	YDL093W	PMT5	1.8
101	YPL069C	BTS1	1.8
102	YPL126W	NAN1	1.8
103	YLR242C	ARV1	1.8
104	YLR381W	CTF3	1.8
105	YLL004W	ORC3	1.8
106	YNR044W	AGA1	1.8
107	YNR060W	FRE4	1.8
108	YDR402C	DIT2	1.8
109	YIL099W	SGA1	1.8
110	YMR232W	FUS2	1.8
111	YPL124W	SPC29	1.8
112	YLR210W	CLB4	1.8
113	YDL154W	MSH5	1.8
114	YLL042C	ATG10	1.8
115	YIL073C	SPO22	1.8
116	YPR060C	ARO7	1.8
117	YPL253C	VIK1	1.8
118	YNL299W	TRF5	1.8
119	YGL144C	ROG1	1.8
120	YKL110C	KTI12	1.8
121	YFL026W	STE2	1.7
122	YCR057C	PWP2	1.7
123	YDR523C	SPS1	1.7
124	YLR176C	RFX1	1.7
125	YIL037C	PRM2	1.7
126	YDR021W	FAL1	1.7
127	YHL022C	SPO11	1.7
128	YGR225W	AMA1	1.7
129	YGL163C	RAD54	1.7
130	YLR227C	ADY4	1.7
131	YNL042W	BOP3	1.7
132	YDL247W	MPH2	1.7
133	YML047C	PRM6	1.7
134	YOL055C	THI20	1.7
135	YPR144C	NOC4	1.7
136	YJR155W	AAD10	1.7
137	YLL035W	GRC3	1.7
138	YDR438W	THI74	1.7
139	YKR101W	SIR1	1.7
140	YLL046C	RNP1	1.7
141	YOR339C	UBC11	1.7
142	YOR349W	CIN1	1.7
143	YBR148W	YSW1	1.7
144	YOR269W	PAC1	1.7
145	YFL020C	PAU5	1.7
146	YEL049W	PAU2	1.7
147	YOL015W	IRC10	1.7
148	YKL178C	STE3	1.7
149	YPR009W	SUT2	1.7
150	YGR039W	YGR039W	1.7
151	YGR213C	RTA1	1.7
152	YPR007C	REC8	1.7
153	YLL028W	TPO1	1.7
154	YIL015W	BAR1	1.7
155	YOL137W	BSC6	1.7
156	YPL239W	YAR1	1.7
157	YOR192C	THI72	1.7
158	YLR014C	PPR1	1.7
159	YEL016C	NPP2	1.7
160	YFR048W	RMD8	1.7
161	YNL126W	SPC98	1.7
162	YDL210W	UGA4	1.7
163	YNL012W	SPO1	1.7
164	YLR213C	CRR1	1.7
165	YER028C	MIG3	1.7
166	YGR177C	ATF2	1.7
167	YPR046W	MCM16	1.7
168	YDR082W	STN1	1.7
169	YLR307W	CDA1	1.7
170	YPR190C	RPC82	1.7
171	YGR198W	YPP1	1.7
172	YIL146C	ATG32	1.7
173	YOR242C	SSP2	1.7
174	YPL047W	SGF11	1.7
175	YMR182C	RGM1	1.7
176	YPR105C	COG4	1.7
177	YOR380W	RDR1	1.7
178	YPL207W	TYW1	1.7
179	YGR179C	OKP1	1.7
180	YJL026W	RNR2	1.7
181	YPR048W	TAH18	1.7
182	YOR313C	SPS4	1.7
183	YDL017W	CDC7	1.7
184	YHR196W	UTP9	1.7
185	YPL110C	GDE1	1.7
186	YBR091C	TIM12	1.7
187	YLR237W	THI7	1.7
188	YHR049W	FSH1	1.7
189	YDR259C	YAP6	1.7
190	YLR099C	ICT1	1.7
191	YJL170C	ASG7	1.7
192	YJL209W	CBP1	1.7
193	YKL089W	MIF2	1.7
194	YGR230W	BNS1	1.7
195	YHL028W	WSC4	1.7
196	YOR328W	PDR10	1.7
197	YPL188W	POS5	1.7
198	YOL045W	PSK2	1.7
199	YBR092C	PHO3	1.7
200	YPL167C	REV3	1.7
201	YHR160C	PEX18	1.7
202	YOR381W	FRE3	1.7
203	YMR127C	SAS2	1.7
204	YBR182C	SMP1	1.7
205	YLR341W	SPO77	1.7
206	YLR037C	PAU23	1.7
207	YMR069W	NAT4	1.7
208	YPL213W	LEA1	1.7
209	YOR229W	WTM2	1.7
210	YNL331C	AAD14	1.7
211	YIL020C	HIS6	1.7
212	YPL193W	RSA1	1.7
213	YGL067W	NPY1	1.7
214	YEL038W	UTR4	1.7
215	YHR153C	SPO16	1.7
216	YMR306W	FKS3	1.7
217	YIL159W	BNR1	1.7
218	YDR499W	LCD1	1.7
219	YNR011C	PRP2	1.7
220	YPL051W	ARL3	1.7
221	YOR190W	SPR1	1.7
222	YPL255W	BBP1	1.7
223	YIL013C	PDR11	1.7
224	YDR534C	FIT1	1.7
225	YPR017C	DSS4	1.7
226	YNR072W	HXT17	1.7
227	YPR141C	KAR3	1.7
228	YER168C	CCA1	1.7
229	YGR145W	ENP2	1.7
230	YPR199C	ARR1	1.7
231	YNR012W	URK1	1.7
232	YBR257W	POP4	1.7
233	YCR054C	CTR86	1.7
234	YPL192C	PRM3	1.7
235	YBR114W	RAD16	1.7
236	YJL125C	GCD14	1.7
237	YPL148C	PPT2	1.7
238	YML066C	SMA2	1.7
239	YBL014C	RRN6	1.7
240	YEL030W	ECM10	1.7
241	YJR047C	ANB1	1.7
242	YPL086C	ELP3	1.7
243	YIR028W	DAL4	1.7
244	YMR319C	FET4	1.7
245	YBL060W	YEL1	1.7
246	YFR022W	ROG3	1.7
247	YPL201C	YIG1	1.7
248	YBR023C	CHS3	1.7
249	YOR180C	DCI1	1.7
250	YPL209C	IPL1	1.7
251	YNL145W	MFA2	1.7
252	YOR003W	YSP3	1.7
253	YPR085C	ASA1	1.7
254	YBR270C	BIT2	1.7
255	YJR004C	SAG1	1.7
256	YMR293C	HER2	1.7
257	YPL137C	GIP3	1.7
258	YML023C	NSE5	1.7
259	YCR073C	SSK22	1.7
260	YBR293W	VBA2	1.7
261	YML058W-A	HUG1	1.7
262	YNR059W	MNT4	1.7
263	YKL014C	URB1	1.7
264	YLR022C	SDO1	1.7
265	YIL132C	CSM2	1.7
266	YNL132W	KRE33	1.7
267	YER045C	ACA1	1.7
268	YOR034C	AKR2	1.7
269	YLR457C	NBP1	1.7
270	YJL219W	HXT9	1.7
271	YIR021W	MRS1	1.7
272	YLR054C	OSW2	1.7
273	YKL017C	HCS1	1.7
274	YPL242C	IQG1	1.7
275	YFR036W	CDC26	1.7
276	YDR540C	IRC4	1.7
277	YHR040W	BCD1	1.7
278	YHR150W	PEX28	1.7
279	YDL112W	TRM3	1.7
280	YDR045C	RPC11	1.7
281	YGL179C	TOS3	1.7
282	YNL065W	AQR1	1.7
283	YPL043W	NOP4	1.7
284	YKR079C	TRZ1	1.7
285	YPL263C	KEL3	1.7
286	YNL270C	ALP1	1.7
287	YPL226W	NEW1	1.7
288	YLL025W	PAU17	1.7
289	YLL057C	JLP1	1.7
290	YBR076W	ECM8	1.7
291	YIL014W	MNT3	1.7
292	YBR055C	PRP6	1.7
293	YPL194W	DDC1	1.7
294	YKL220C	FRE2	1.6
295	YJL214W	HXT8	1.6
296	YCL048W	SPS22	1.6
297	YGR109C	CLB6	1.6
298	YPL174C	NIP100	1.6
299	YPR068C	HOS1	1.6
300	YNL261W	ORC5	1.6
301	YPL027W	SMA1	1.6
302	YDL243C	AAD4	1.6
303	YBR186W	PCH2	1.6
304	YJL106W	IME2	1.6
305	YDR488C	PAC11	1.6
306	YKL078W	DHR2	1.6
307	YPL227C	ALG5	1.6
308	YJL087C	TRL1	1.6
309	YML065W	ORC1	1.6
310	YFL025C	BST1	1.6
311	YNL029C	KTR5	1.6
312	YLR368W	MDM30	1.6
313	YHR167W	THP2	1.6
314	YNL188W	KAR1	1.6
315	YBL004W	UTP20	1.6
316	YPR057W	BRR1	1.6
317	YPR120C	CLB5	1.6
318	YDR410C	STE14	1.6
319	YJL139C	YUR1	1.6
320	YOR171C	LCB4	1.6
321	YBR180W	DTR1	1.6
322	YOR047C	STD1	1.6
323	YDR536W	STL1	1.6
324	YAR031W	PRM9	1.6
325	YOL043C	NTG2	1.6
326	YLR336C	SGD1	1.6
327	YOL136C	PFK27	1.6
328	YML080W	DUS1	1.6
329	YMR268C	PRP24	1.6
330	YJL108C	PRM10	1.6
331	YLL011W	SOF1	1.6
332	YGR072W	UPF3	1.6
333	YML036W	CGI121	1.6
334	YGR263C	SAY1	1.6
335	YAL029C	MYO4	1.6
336	YKL072W	STB6	1.6
337	YPR031W	NTO1	1.6
338	YLR145W	RMP1	1.6
339	YDL219W	DTD1	1.6
340	YPL033C	SRL4	1.6
341	YBR008C	FLR1	1.6
342	YOR129C	AFI1	1.6
343	YPL177C	CUP9	1.6
344	YLR011W	LOT6	1.6
345	YJR136C	TTI2	1.6
346	YBR183W	YPC1	1.6
347	YPR200C	ARR2	1.6
348	YDR446W	ECM11	1.6
349	YAL019W	FUN30	1.6
350	YHR101C	BIG1	1.6
351	YBR167C	POP7	1.6
352	YDL080C	THI3	1.6
353	YDR223W	CRF1	1.6
354	YPL178W	CBC2	1.6
355	YGL075C	MPS2	1.6
356	YDL139C	SCM3	1.6
357	YCR063W	BUD31	1.6
358	YJR097W	JJJ3	1.6
359	YPL151C	PRP46	1.6
360	YKR044W	UIP5	1.6
361	YOL080C	REX4	1.6
362	YBL098W	BNA4	1.6
363	YFL055W	AGP3	1.6
364	YBR163W	EXO5	1.6
365	YLR373C	VID22	1.6
366	YPL208W	RKM1	1.6
367	YPL089C	RLM1	1.6
368	YLR146C	SPE4	1.6
369	YGR156W	PTI1	1.6
370	YIR031C	DAL7	1.6
371	YGR180C	RNR4	1.6
372	YBR264C	YPT10	1.6
373	YGR238C	KEL2	1.6
374	YOL128C	YGK3	1.6
375	YDR179C	CSN9	1.6
376	YER180C	ISC10	1.6
377	YNL279W	PRM1	1.6
378	YPR106W	ISR1	1.6
379	YPL030W	TRM44	1.6
380	YGL174W	BUD13	1.6
381	YGR152C	RSR1	1.6
382	YNL119W	NCS2	1.6
383	YNL264C	PDR17	1.6
384	YNR076W	PAU6	1.6
385	YGL256W	ADH4	1.6
386	YLR103C	CDC45	1.6
387	YMR290C	HAS1	1.6
388	YGR289C	MAL11	1.6
389	YNL292W	PUS4	1.6
390	YNL269W	BSC4	1.6
391	YPL211W	NIP7	1.6
392	YDR191W	HST4	1.6
393	YPR061C	JID1	1.6
394	YDR263C	DIN7	1.6
395	YGL259W	YPS5	1.6
396	YLR246W	ERF2	1.6
397	YGR249W	MGA1	1.6
398	YHR036W	BRL1	1.6
399	YGR158C	MTR3	1.6
400	YER060W	FCY21	1.6
401	YFL053W	DAK2	1.6
402	YDR044W	HEM13	1.6
403	YPR025C	CCL1	1.6
404	YEL070W	DSF1	1.6
405	YDR441C	APT2	1.6
406	YHL016C	DUR3	1.6
407	YPR111W	DBF20	1.6
408	YNL283C	WSC2	1.6
409	YMR093W	UTP15	1.6
410	YHR185C	PFS1	1.6
411	YDL209C	CWC2	1.6
412	YHL006C	SHU1	1.6
413	YBR018C	GAL7	1.6
414	YKR099W	BAS1	1.6
415	YML056C	IMD4	1.6
416	YPL075W	GCR1	1.6
417	YOL115W	PAP2	1.6
418	YPL021W	ECM23	1.6
419	YLR443W	ECM7	1.6
420	YDR518W	EUG1	1.6
421	YDL111C	RRP42	1.6
422	YGL175C	SAE2	1.6
423	YDR043C	NRG1	1.6
424	YJR001W	AVT1	1.6
425	YDL231C	BRE4	1.6
426	YLR119W	SRN2	1.6
427	YEL064C	AVT2	1.6
428	YIR019C	FLO11	1.6
429	YPL105C	SYH1	1.6
430	YER115C	SPR6	1.6
431	YDL239C	ADY3	1.6
432	YNL225C	CNM67	1.6
433	YKR098C	UBP11	1.6
434	YFL050C	ALR2	1.6
435	YGR278W	CWC22	1.6
436	YPL012W	RRP12	1.6
437	YDR449C	UTP6	1.6
438	YPL164C	MLH3	1.6
439	YNL182C	IPI3	1.6
440	YOR028C	CIN5	1.6
441	YNL262W	POL2	1.6
442	YOR359W	VTS1	1.6
443	YMR013C	SEC59	1.6
444	YIL072W	HOP1	1.6
445	YOL017W	ESC8	1.6
446	YML109W	ZDS2	1.6
447	YER046W	SPO73	1.6
448	YIL079C	AIR1	1.6
449	YKR060W	UTP30	1.6
450	YGR128C	UTP8	1.6
451	YJL183W	MNN11	1.6
452	YGR123C	PPT1	1.6
453	YGL171W	ROK1	1.6
454	YGL258W	VEL1	1.6
455	YKL090W	CUE2	1.6
456	YCL055W	KAR4	1.6
457	YGL033W	HOP2	1.6
458	YMR113W	FOL3	1.6
459	YLR411W	CTR3	1.6
460	YNL298W	CLA4	1.6
461	YAL059W	ECM1	1.6
462	YIR009W	MSL1	1.6
463	YPL040C	ISM1	1.6
464	YHR002W	LEU5	1.6
465	YBL034C	STU1	1.6
466	YFL011W	HXT10	1.6
467	YBR252W	DUT1	1.6
468	YHR149C	SKG6	1.6
469	YHR069C	RRP4	1.6
470	YPL005W	AEP3	1.6
471	YPL180W	TCO89	1.6
472	YOR307C	SLY41	1.6
473	YNL124W	NAF1	1.6
474	YPL138C	SPP1	1.6
475	YKL033W	TTI1	1.6
476	YBR019C	GAL10	1.6
477	YPR122W	AXL1	1.6
478	YPL175W	SPT14	1.6
479	YMR274C	RCE1	1.6
480	YMR172W	HOT1	1.6
481	YGL170C	SPO74	1.6
482	YBR020W	GAL1	1.6
483	YAR020C	PAU7	1.6
484	YHR124W	NDT80	1.6
485	YER033C	ZRG8	1.6
486	YJR150C	DAN1	1.6
487	YML043C	RRN11	1.6
488	YOL084W	PHM7	1.6
489	YHR066W	SSF1	1.6
490	YNL227C	JJJ1	1.6
491	YOR033C	EXO1	1.6
492	YJL033W	HCA4	1.6
493	YLR266C	PDR8	1.6
494	YOL056W	GPM3	1.6
495	YDR147W	EKI1	1.6
496	YPL165C	SET6	1.6
497	YLR272C	YCS4	1.6
498	YDL048C	STP4	1.6
499	YJL157C	FAR1	1.6
500	YLR364W	GRX8	1.6
501	YDR281C	PHM6	1.6
502	YHR084W	STE12	1.6
503	YKL021C	MAK11	1.6
504	YOR340C	RPA43	1.6
505	YLR154C	RNH203	1.6
506	YML011C	RAD33	1.6
507	YCL027W	FUS1	1.6
508	YPL112C	PEX25	1.6
509	YMR020W	FMS1	1.6
510	YMR240C	CUS1	1.6
511	YIR039C	YPS6	1.6
512	YJL089W	SIP4	1.6
513	YOR341W	RPA190	1.6
514	YOR080W	DIA2	1.6
515	YGR229C	SMI1	1.6
516	YML060W	OGG1	1.6
517	YNR003C	RPC34	1.6
518	YOL102C	TPT1	1.6
519	YGR049W	SCM4	1.6
520	YMR055C	BUB2	1.6
521	YPL204W	HRR25	1.6
522	YDR414C	ERD1	1.6
523	YDL108W	KIN28	1.6
524	YLR383W	SMC6	1.6
525	YLR376C	PSY3	1.6
526	YOR143C	THI80	1.6
527	YOR272W	YTM1	1.6
528	YGR245C	SDA1	1.6
