SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PRM3

Rank	Gene	Common	Score
Q	YPL192C	PRM3	
1	YBR040W	FIG1	3.2
2	YML047C	PRM6	3.0
3	YCR089W	FIG2	2.9
4	YNL279W	PRM1	2.8
5	YMR232W	FUS2	2.8
6	YJL170C	ASG7	2.7
7	YIL037C	PRM2	2.7
8	YNR044W	AGA1	2.7
9	YMR065W	KAR5	2.5
10	YCL055W	KAR4	2.4
11	YGL032C	AGA2	2.3
12	YCL027W	FUS1	2.3
13	YMR025W	CSI1	2.3
14	YGL051W	MST27	2.2
15	YGL170C	SPO74	2.2
16	YFR023W	PES4	2.2
17	YOR242C	SSP2	2.2
18	YLR227C	ADY4	2.2
19	YOR134W	BAG7	2.2
20	YOR339C	UBC11	2.2
21	YDR461W	MFA1	2.1
22	YGR129W	SYF2	2.1
23	YLR452C	SST2	2.1
24	YKL189W	HYM1	2.1
25	YPL156C	PRM4	2.1
26	YOL091W	SPO21	2.1
27	YNL042W	BOP3	2.1
28	YJL038C	LOH1	2.1
29	YJL037W	IRC18	2.1
30	YHR124W	NDT80	2.1
31	YMR097C	MTG1	2.1
32	YMR017W	SPO20	2.0
33	YNL128W	TEP1	2.0
34	YOR298W	MUM3	2.0
35	YGR059W	SPR3	2.0
36	YPR017C	DSS4	2.0
37	YPR141C	KAR3	2.0
38	YPL130W	SPO19	2.0
39	YOR319W	HSH49	2.0
40	YOR252W	TMA16	2.0
41	YPL193W	RSA1	2.0
42	YBR280C	SAF1	2.0
43	YDR523C	SPS1	2.0
44	YJR004C	SAG1	2.0
45	YER044C-A	MEI4	2.0
46	YLR343W	GAS2	2.0
47	YHR184W	SSP1	2.0
48	YDR317W	HIM1	1.9
49	YIL117C	PRM5	1.9
50	YOL132W	GAS4	1.9
51	YOR183W	FYV12	1.9
52	YMR198W	CIK1	1.9
53	YER106W	MAM1	1.9
54	YOR190W	SPR1	1.9
55	YFL026W	STE2	1.9
56	YCL048W	SPS22	1.9
57	YKL104C	GFA1	1.9
58	YLR210W	CLB4	1.9
59	YGL192W	IME4	1.9
60	YGL053W	PRM8	1.9
61	YDR522C	SPS2	1.9
62	YNL204C	SPS18	1.9
63	YPL027W	SMA1	1.9
64	YHR015W	MIP6	1.9
65	YLR213C	CRR1	1.9
66	YNL145W	MFA2	1.9
67	YKL178C	STE3	1.9
68	YDR218C	SPR28	1.9
69	YKR005C	YKR005C	1.9
70	YFR036W	CDC26	1.9
71	YMR180C	CTL1	1.9
72	YOR255W	OSW1	1.9
73	YLR329W	REC102	1.9
74	YPL187W	MF(ALPHA)1	1.9
75	YKL221W	MCH2	1.9
76	YDR253C	MET32	1.9
77	YBL016W	FUS3	1.9
78	YGL089C	MF(ALPHA)2	1.9
79	YLL005C	SPO75	1.9
80	YDR085C	AFR1	1.9
81	YPL200W	CSM4	1.9
82	YBR180W	DTR1	1.9
83	YJR119C	JHD2	1.9
84	YJR086W	STE18	1.9
85	YPL258C	THI21	1.8
86	YGR213C	RTA1	1.8
87	YDR273W	DON1	1.8
88	YBR250W	SPO23	1.8
89	YHR084W	STE12	1.8
90	YBR148W	YSW1	1.8
91	YLR307W	CDA1	1.8
92	YGR032W	GSC2	1.8
93	YHR157W	REC104	1.8
94	YNL318C	HXT14	1.8
95	YIL015W	BAR1	1.8
96	YDR446W	ECM11	1.8
97	YDR173C	ARG82	1.8
98	YPR168W	NUT2	1.8
