SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CSM4

Rank	Gene	Common	Score
Q	YPL200W	CSM4	
1	YPL201C	YIG1	3.2
2	YML047C	PRM6	2.8
3	YHL032C	GUT1	2.6
4	YCR010C	ADY2	2.5
5	YPR001W	CIT3	2.4
6	YPL147W	PXA1	2.4
7	YJR095W	SFC1	2.3
8	YKL217W	JEN1	2.3
9	YKR009C	FOX2	2.3
10	YGL205W	POX1	2.3
11	YGR236C	SPG1	2.3
12	YNL009W	IDP3	2.3
13	YGR243W	MPC3	2.2
14	YBL013W	FMT1	2.2
15	YPR151C	SUE1	2.2
16	YBR050C	REG2	2.2
17	YMR280C	CAT8	2.2
18	YNL269W	BSC4	2.2
19	YPR006C	ICL2	2.2
20	YJL089W	SIP4	2.2
21	YKL093W	MBR1	2.2
22	YLR174W	IDP2	2.2
23	YML042W	CAT2	2.2
24	YMR303C	ADH2	2.2
25	YOR100C	CRC1	2.2
26	YGL033W	HOP2	2.2
27	YER015W	FAA2	2.1
28	YGL032C	AGA2	2.1
29	YMR107W	SPG4	2.1
30	YLR377C	FBP1	2.1
31	YDR536W	STL1	2.1
32	YNR002C	ATO2	2.1
33	YLR308W	CDA2	2.1
34	YNL202W	SPS19	2.1
35	YDL085W	NDE2	2.1
36	YDR256C	CTA1	2.1
37	YHR160C	PEX18	2.1
38	YMR081C	ISF1	2.1
39	YJL137C	GLG2	2.1
40	YAL054C	ACS1	2.1
41	YPR193C	HPA2	2.1
42	YMR101C	SRT1	2.1
43	YPR007C	REC8	2.1
44	YPL054W	LEE1	2.1
45	YNL012W	SPO1	2.0
46	YMR175W	SIP18	2.0
47	YPL130W	SPO19	2.0
48	YNL117W	MLS1	2.0
49	YKR058W	GLG1	2.0
50	YLR284C	ECI1	2.0
51	YKL026C	GPX1	2.0
52	YPL134C	ODC1	2.0
53	YOR180C	DCI1	2.0
54	YNL014W	HEF3	2.0
55	YGR230W	BNS1	2.0
56	YDL194W	SNF3	2.0
57	YDR223W	CRF1	2.0
58	YPR061C	JID1	2.0
59	YCL058C	FYV5	2.0
60	YDL214C	PRR2	2.0
61	YNL210W	MER1	2.0
62	YLR151C	PCD1	2.0
63	YPL121C	MEI5	2.0
64	YHL024W	RIM4	2.0
65	YJR019C	TES1	2.0
66	YFR023W	PES4	2.0
67	YKL188C	PXA2	2.0
68	YML054C	CYB2	2.0
69	YJL023C	PET130	2.0
70	YPR026W	ATH1	1.9
71	YOR351C	MEK1	1.9
72	YDL049C	KNH1	1.9
73	YHR096C	HXT5	1.9
74	YFL030W	AGX1	1.9
75	YDR059C	UBC5	1.9
76	YPR192W	AQY1	1.9
77	YMR133W	REC114	1.9
78	YIL136W	OM45	1.9
79	YBR230C	OM14	1.9
80	YER054C	GIP2	1.9
81	YGR059W	SPR3	1.9
82	YPL186C	UIP4	1.9
83	YOR040W	GLO4	1.9
84	YKR097W	PCK1	1.9
85	YPL156C	PRM4	1.9
86	YDR231C	COX20	1.9
87	YOR178C	GAC1	1.9
88	YIL160C	POT1	1.9
89	YDR216W	ADR1	1.9
90	YER179W	DMC1	1.9
91	YPL148C	PPT2	1.9
92	YFR049W	KGD4	1.9
93	YNL237W	YTP1	1.9
94	YAR035W	YAT1	1.9
95	YOR374W	ALD4	1.9
96	YDR313C	PIB1	1.9
97	YOR348C	PUT4	1.9
98	YDR009W	GAL3	1.9
99	YOL126C	MDH2	1.9
100	YMR017W	SPO20	1.9
101	YOL084W	PHM7	1.9
102	YBL049W	MOH1	1.9
103	YBR186W	PCH2	1.9
104	YPL222W	FMP40	1.9
105	YKL221W	MCH2	1.9
106	YPL192C	PRM3	1.9
107	YPL230W	USV1	1.9
108	YHR185C	PFS1	1.9
109	YOR183W	FYV12	1.9
110	YJL105W	SET4	1.9
111	YBR298C	MAL31	1.9
112	YER065C	ICL1	1.9
113	YIL101C	XBP1	1.9
114	YNL125C	ESBP6	1.9
115	YGL183C	MND1	1.9
116	YOL117W	RRI2	1.8
117	YMR174C	PAI3	1.8
118	YHR184W	SSP1	1.8
119	YIL073C	SPO22	1.8
120	YBL015W	ACH1	1.8
121	YEL035C	UTR5	1.8
122	YJL103C	GSM1	1.8
123	YPL119C	DBP1	1.8
124	YDL169C	UGX2	1.8
125	YOR084W	LPX1	1.8
126	YLR307W	CDA1	1.8
127	YGR043C	NQM1	1.8
128	YMR306W	FKS3	1.8
129	YPL223C	GRE1	1.8
130	YBL074C	AAR2	1.8
131	YNL093W	YPT53	1.8
132	YEL041W	YEF1	1.8
133	YMR030W	RSF1	1.8
134	YDR179C	CSN9	1.8
135	YLL019C	KNS1	1.8
136	YDL078C	MDH3	1.8
137	YKR090W	PXL1	1.8
138	YNL196C	SLZ1	1.8
139	YHL022C	SPO11	1.8
140	YGR174C	CBP4	1.8
141	YOR328W	PDR10	1.8
142	YJL214W	HXT8	1.8
143	YGL121C	GPG1	1.8
144	YDL215C	GDH2	1.8
145	YCL048W	SPS22	1.8
146	YPR200C	ARR2	1.8
147	YLR013W	GAT3	1.8
148	YDL079C	MRK1	1.8
149	YPL209C	IPL1	1.8
150	YAL062W	GDH3	1.8
151	YDR446W	ECM11	1.8
152	YPR030W	CSR2	1.8
153	YER024W	YAT2	1.8
154	YGL096W	TOS8	1.8
155	YOR142W	LSC1	1.8
156	YKR067W	GPT2	1.8
157	YDR384C	ATO3	1.8
158	YOR064C	YNG1	1.8
159	YDR070C	FMP16	1.8
160	YOR177C	MPC54	1.8
161	YOR339C	UBC11	1.8
162	YGL080W	MPC1	1.8
163	YPR023C	EAF3	1.8
164	YPL033C	SRL4	1.8
165	YFL011W	HXT10	1.8
166	YPL164C	MLH3	1.8
