SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PGC1

Rank	Gene	Common	Score
Q	YPL206C	PGC1	
1	YPL087W	YDC1	3.7
2	YDL072C	YET3	3.5
3	YOL129W	VPS68	3.4
4	YOL082W	ATG19	3.4
5	YLR270W	DCS1	3.4
6	YBR269C	SDH8	3.4
7	YPL154C	PEP4	3.4
8	YMR110C	HFD1	3.4
9	YPL123C	RNY1	3.4
10	YHR104W	GRE3	3.4
11	YBL064C	PRX1	3.3
12	YGR019W	UGA1	3.2
13	YNL156C	NSG2	3.2
14	YKL065C	YET1	3.2
15	YCL040W	GLK1	3.2
16	YLR251W	SYM1	3.2
17	YKL142W	MRP8	3.2
18	YPL203W	TPK2	3.2
19	YHR016C	YSC84	3.1
20	YMR170C	ALD2	3.1
21	YGL161C	YIP5	3.1
22	YJL066C	MPM1	3.1
23	YBR169C	SSE2	3.1
24	YLR178C	TFS1	3.1
25	YNL274C	GOR1	3.1
26	YOR173W	DCS2	3.1
27	YOR142W	LSC1	3.1
28	YGL037C	PNC1	3.1
29	YCL035C	GRX1	3.1
30	YGL156W	AMS1	3.1
31	YDR358W	GGA1	3.1
32	YBR149W	ARA1	3.1
33	YIR038C	GTT1	3.1
34	YMR297W	PRC1	3.1
35	YDL110C	TMA17	3.1
36	YOR185C	GSP2	3.1
37	YMR250W	GAD1	3.0
38	YDR284C	DPP1	3.0
39	YML004C	GLO1	3.0
40	YIL124W	AYR1	3.0
41	YDR178W	SDH4	3.0
42	YDR032C	PST2	3.0
43	YAL008W	FUN14	3.0
44	YJL164C	TPK1	3.0
45	YBR006W	UGA2	3.0
46	YBR214W	SDS24	3.0
47	YDR059C	UBC5	3.0
48	YCR036W	RBK1	3.0
49	YOR120W	GCY1	3.0
50	YPL196W	OXR1	3.0
51	YML070W	DAK1	3.0
52	YKL067W	YNK1	3.0
53	YDR001C	NTH1	3.0
54	YPR026W	ATH1	3.0
55	YMR191W	SPG5	3.0
56	YEL060C	PRB1	3.0
57	YDL021W	GPM2	3.0
58	YGL121C	GPG1	3.0
59	YKL035W	UGP1	2.9
60	YLR201C	COQ9	2.9
61	YKR049C	FMP46	2.9
62	YNR035C	ARC35	2.9
63	YFL030W	AGX1	2.9
64	YDR368W	YPR1	2.9
65	YBL078C	ATG8	2.9
66	YKL013C	ARC19	2.9
67	YPL152W	RRD2	2.9
68	YDR058C	TGL2	2.9
69	YGL104C	VPS73	2.9
70	YDR100W	TVP15	2.9
71	YPL214C	THI6	2.9
72	YBR280C	SAF1	2.9
73	YLR258W	GSY2	2.9
74	YPR176C	BET2	2.9
75	YDR171W	HSP42	2.9
76	YDL169C	UGX2	2.9
77	YAR027W	UIP3	2.9
78	YJR019C	TES1	2.9
79	YGR194C	XKS1	2.9
80	YBR230C	OM14	2.9
81	YBR126C	TPS1	2.9
82	YKR046C	PLN1	2.9
83	YJL161W	FMP33	2.9
84	YMR105C	PGM2	2.9
85	YKL007W	CAP1	2.9
86	YLL026W	HSP104	2.9
87	YMR092C	AIP1	2.9
88	YGL248W	PDE1	2.9
89	YEL012W	UBC8	2.9
90	YJR065C	ARP3	2.9
91	YPL004C	LSP1	2.9
92	YKL103C	APE1	2.9
93	YEL011W	GLC3	2.9
94	YJL155C	FBP26	2.9
95	YKL150W	MCR1	2.9
96	YML128C	MSC1	2.9
97	YGL250W	RMR1	2.9
98	YBR052C	RFS1	2.9
99	YIL136W	OM45	2.9
100	YGR248W	SOL4	2.9
101	YGR008C	STF2	2.8
102	YIR036C	IRC24	2.8
103	YDR258C	HSP78	2.8
104	YLL041C	SDH2	2.8
105	YKL034W	TUL1	2.8
106	YDR436W	PPZ2	2.8
107	YOR245C	DGA1	2.8
108	YOL071W	SDH5	2.8
109	YLR370C	ARC18	2.8
110	YDR204W	COQ4	2.8
111	YBR026C	ETR1	2.8
112	YML100W	TSL1	2.8
113	YGR232W	NAS6	2.8
114	YPL186C	UIP4	2.8
115	YKR066C	CCP1	2.8
116	YER119C	AVT6	2.8
117	YBR046C	ZTA1	2.8
118	YPR184W	GDB1	2.8
119	YKL094W	YJU3	2.8
120	YBR234C	ARC40	2.8
121	YER004W	FMP52	2.8
122	YIL007C	NAS2	2.8
123	YKL193C	SDS22	2.8
124	YDR231C	COX20	2.8
125	YOR230W	WTM1	2.8
126	YDR513W	GRX2	2.8
127	YGL227W	VID30	2.8
128	YDR516C	EMI2	2.8
129	YNL159C	ASI2	2.8
130	YIL107C	PFK26	2.8
131	YDR003W	RCR2	2.8
132	YER035W	EDC2	2.8
133	YOR227W	HER1	2.8
134	YIR037W	HYR1	2.8
135	YFR049W	KGD4	2.8
136	YGR284C	ERV29	2.8
137	YIL033C	BCY1	2.8
138	YCR011C	ADP1	2.8
139	YMR271C	URA10	2.8
140	YBR072W	HSP26	2.8
141	YDL091C	UBX3	2.8
142	YIR039C	YPS6	2.8
143	YBR001C	NTH2	2.8
144	YOR036W	PEP12	2.8
145	YFR003C	YPI1	2.8
146	YCL038C	ATG22	2.8
147	YCR079W	PTC6	2.8
148	YOR374W	ALD4	2.8
149	YKL141W	SDH3	2.8
150	YDL130W-A	STF1	2.8
151	YHR209W	CRG1	2.8
152	YML057W	CMP2	2.8
153	YCL052C	PBN1	2.8
154	YGL053W	PRM8	2.8
155	YJL151C	SNA3	2.8
156	YBL049W	MOH1	2.8
157	YDR148C	KGD2	2.8
158	YPL006W	NCR1	2.8
159	YPR149W	NCE102	2.8
160	YBR036C	CSG2	2.7
161	YNL015W	PBI2	2.7
162	YER053C	PIC2	2.7
163	YCL034W	LSB5	2.7
164	YKR076W	ECM4	2.7
165	YCR030C	SYP1	2.7
166	YDR313C	PIB1	2.7
167	YOL032W	OPI10	2.7
168	YDR070C	FMP16	2.7
169	YDL046W	NPC2	2.7
170	YIL088C	AVT7	2.7
171	YOL052C-A	DDR2	2.7
172	YJL001W	PRE3	2.7
173	YMR152W	YIM1	2.7
174	YBR024W	SCO2	2.7
175	YLL039C	UBI4	2.7
176	YML120C	NDI1	2.7
177	YLR080W	EMP46	2.7
178	YOR042W	CUE5	2.7
179	YIL111W	COX5B	2.7
180	YBR183W	YPC1	2.7
181	YHR171W	ATG7	2.7
182	YIL034C	CAP2	2.7
183	YDR099W	BMH2	2.7
184	YFR024C-A	LSB3	2.7
185	YNR001C	CIT1	2.7
186	YHR106W	TRR2	2.7
187	YNL223W	ATG4	2.7
188	YGR244C	LSC2	2.7
189	YMR139W	RIM11	2.7
190	YML042W	CAT2	2.7
191	YJR044C	VPS55	2.7
192	YDR272W	GLO2	2.7
193	YAL016W	TPD3	2.7
194	YDL078C	MDH3	2.7
195	YIL062C	ARC15	2.7
196	YOR155C	ISN1	2.7
197	YGR132C	PHB1	2.7
198	YMR041C	ARA2	2.7
199	YDL204W	RTN2	2.7
200	YBR035C	PDX3	2.7
201	YDR074W	TPS2	2.7
202	YDR479C	PEX29	2.7
203	YGR043C	NQM1	2.7
204	YCR004C	YCP4	2.7
205	YDL230W	PTP1	2.7
206	YPR081C	GRS2	2.7
207	YJR125C	ENT3	2.7
208	YHR075C	PPE1	2.7
209	YOL096C	COQ3	2.7
210	YER037W	PHM8	2.7
211	YMR020W	FMS1	2.7
212	YNR007C	ATG3	2.7
213	YNL160W	YGP1	2.7
214	YOR347C	PYK2	2.7
215	YIL017C	VID28	2.7
216	YPL222W	FMP40	2.7
217	YGR231C	PHB2	2.7
218	YKL121W	DGR2	2.7
219	YKL091C	YKL091C	2.7
220	YPL134C	ODC1	2.6
221	YPL230W	USV1	2.6
222	YMR261C	TPS3	2.6
223	YDL022W	GPD1	2.6
224	YIL097W	FYV10	2.6
225	YDR287W	INM2	2.6
226	YBR199W	KTR4	2.6
227	YLL019C	KNS1	2.6
228	YOR362C	PRE10	2.6
229	YER141W	COX15	2.6
230	YJL048C	UBX6	2.6
231	YJL057C	IKS1	2.6
232	YNL239W	LAP3	2.6
233	YML110C	COQ5	2.6
234	YBR273C	UBX7	2.6
235	YPR154W	PIN3	2.6
236	YMR173W	DDR48	2.6
237	YKL085W	MDH1	2.6
238	YPL159C	PET20	2.6
239	YGR088W	CTT1	2.6
240	YHR087W	RTC3	2.6
241	YIL101C	XBP1	2.6
242	YDR435C	PPM1	2.6
243	YCR073W-A	SOL2	2.6
244	YER101C	AST2	2.6
245	YFR050C	PRE4	2.6
246	YDL234C	GYP7	2.6
247	YCR069W	CPR4	2.6
248	YGR070W	ROM1	2.6
249	YGR080W	TWF1	2.6
250	YLR189C	ATG26	2.6
251	YAL061W	BDH2	2.6
252	YER039C	HVG1	2.6
253	YKL213C	DOA1	2.6
254	YDR533C	HSP31	2.6
255	YDL045C	FAD1	2.6
256	YAL060W	BDH1	2.6
257	YDL137W	ARF2	2.6
258	YMR184W	ADD37	2.6
259	YDL029W	ARP2	2.6
260	YMR169C	ALD3	2.6
261	YOR220W	RCN2	2.6
262	YOL084W	PHM7	2.6
263	YOL117W	RRI2	2.6
264	YPL003W	ULA1	2.6
265	YHL021C	AIM17	2.6
266	YOR117W	RPT5	2.6
267	YGR255C	COQ6	2.6
268	YGR044C	RME1	2.6
269	YPL224C	MMT2	2.6
270	YMR022W	UBC7	2.6
271	YNL305C	BXI1	2.6
272	YKR091W	SRL3	2.6
273	YNL265C	IST1	2.6
274	YAL034C	FUN19	2.6
275	YPL002C	SNF8	2.6
276	YKR067W	GPT2	2.6
277	YPR023C	EAF3	2.6
278	YNL055C	POR1	2.6
279	YDR486C	VPS60	2.6
280	YJL141C	YAK1	2.6
281	YJL036W	SNX4	2.6
282	YLR327C	TMA10	2.6
283	YML054C	CYB2	2.6
284	YPL031C	PHO85	2.6
285	YJR103W	URA8	2.6
286	YFR052W	RPN12	2.6
287	YIL010W	DOT5	2.6
288	YHR096C	HXT5	2.6
289	YFR047C	BNA6	2.6
290	YDR330W	UBX5	2.6
291	YKL039W	PTM1	2.6
292	YFL062W	COS4	2.5
293	YJL053W	PEP8	2.5
294	YOR035C	SHE4	2.5
295	YMR197C	VTI1	2.5
296	YDR202C	RAV2	2.5
297	YMR053C	STB2	2.5
298	YAL017W	PSK1	2.5
299	YBR077C	SLM4	2.5
