SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YPL216W

Rank	Gene	Common	Score
Q	YPL216W	YPL216W	
1	YLR307W	CDA1	1.9
2	YOR005C	DNL4	1.3
3	YPR049C	ATG11	1.3
4	YDR403W	DIT1	1.3
5	YPL150W	YPL150W	1.2
6	YNL128W	TEP1	1.2
7	YPL024W	RMI1	1.2
8	YDR198C	RKM2	1.2
9	YPL167C	REV3	1.2
10	YPL022W	RAD1	1.2
11	YPL217C	BMS1	1.2
12	YCR066W	RAD18	1.2
13	YDR180W	SCC2	1.2
14	YJR061W	MNN14	1.2
15	YGR089W	NNF2	1.2
16	YOR349W	CIN1	1.2
17	YPR095C	SYT1	1.2
18	YNL040W	YNL040W	1.2
19	YDL069C	CBS1	1.2
20	YOR227W	HER1	1.2
21	YPL210C	SRP72	1.2
22	YPL120W	VPS30	1.2
23	YPL125W	KAP120	1.2
24	YPR031W	NTO1	1.2
25	YDR291W	HRQ1	1.2
26	YPL148C	PPT2	1.2
27	YOR162C	YRR1	1.2
28	YER077C	MRX1	1.2
29	YPL029W	SUV3	1.2
30	YPL202C	AFT2	1.1
31	YMR086W	SEG1	1.1
32	YER007W	PAC2	1.1
33	YPL174C	NIP100	1.1
34	YER093C	TSC11	1.1
35	YDR285W	ZIP1	1.1
36	YOR067C	ALG8	1.1
37	YDR332W	IRC3	1.1
38	YDR082W	STN1	1.1
39	YGR125W	VSB1	1.1
40	YKL174C	TPO5	1.1
41	YOR154W	SLP1	1.1
42	YLR318W	EST2	1.1
43	YNL225C	CNM67	1.1
44	YDR419W	RAD30	1.1
45	YNL023C	FAP1	1.1
46	YNL233W	BNI4	1.1
47	YOR034C	AKR2	1.1
48	YNL250W	RAD50	1.1
49	YPL005W	AEP3	1.1
50	YJR140C	HIR3	1.1
51	YML081W	TDA9	1.1
52	YPL095C	EEB1	1.1
53	YPR003C	YPR003C	1.1
54	YPL008W	CHL1	1.1
55	YOR211C	MGM1	1.1
56	YLR014C	PPR1	1.1
57	YGL144C	ROG1	1.1
58	YKL050C	LPX2	1.1
59	YOL001W	PHO80	1.1
60	YPL254W	HFI1	1.1
61	YOL128C	YGK3	1.1
62	YBR148W	YSW1	1.1
63	YLR336C	SGD1	1.1
64	YNL267W	PIK1	1.1
65	YDR283C	GCN2	1.1
66	YNR004W	SWM2	1.1
67	YLR227C	ADY4	1.1
68	YMR025W	CSI1	1.1
69	YOR080W	DIA2	1.1
70	YOL042W	NGL1	1.1
71	YNL261W	ORC5	1.1
72	YPR189W	SKI3	1.1
73	YNL088W	TOP2	1.1
74	YDR131C	YDR131C	1.1
75	YGL251C	HFM1	1.1
76	YOL075C	YOL075C	1.1
77	YML002W	VRL1	1.1
78	YGR274C	TAF1	1.1
79	YDR249C	YDR249C	1.1
80	YJR119C	JHD2	1.1
81	YPL168W	MRX4	1.1
82	YLL015W	BPT1	1.1
83	YDR326C	YSP2	1.1
84	YLR368W	MDM30	1.1
85	YJR035W	RAD26	1.1
86	YOL044W	PEX15	1.1
87	YPL110C	GDE1	1.1
88	YGR090W	UTP22	1.1
89	YOL009C	MDM12	1.1
90	YPL074W	YTA6	1.1
91	YPR055W	SEC8	1.1
92	YDR317W	HIM1	1.1
93	YCR042C	TAF2	1.1
94	YIL089W	YIL089W	1.1
95	YPL060W	MFM1	1.1
96	YNL249C	MPA43	1.1
