SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SAR1

Rank	Gene	Common	Score
Q	YPL218W	SAR1	
1	YER009W	NTF2	3.1
2	YGL200C	EMP24	3.1
3	YMR292W	GOT1	3.0
4	YPL010W	RET3	3.0
5	YAR002C-A	ERP1	3.0
6	YML012W	ERV25	3.0
7	YOR103C	OST2	2.9
8	YPL234C	VMA11	2.9
9	YDR519W	FPR2	2.9
10	YLR229C	CDC42	2.9
11	YLL050C	COF1	2.9
12	YEL027W	VMA3	2.9
13	YOR122C	PFY1	2.8
14	YLR043C	TRX1	2.8
15	YIR022W	SEC11	2.8
16	YPR028W	YOP1	2.8
17	YFL045C	SEC53	2.8
18	YNL135C	FPR1	2.8
19	YDR454C	GUK1	2.8
20	YJR118C	ILM1	2.7
21	YLR066W	SPC3	2.7
22	YDL192W	ARF1	2.7
23	YJR139C	HOM6	2.7
24	YNL044W	YIP3	2.7
25	YMR149W	SWP1	2.7
26	YOL120C	RPL18A	2.7
27	YAL007C	ERP2	2.7
28	YPR052C	NHP6A	2.7
29	YMR202W	ERG2	2.7
30	YJL097W	PHS1	2.7
31	YCL001W	RER1	2.7
32	YDL212W	SHR3	2.7
33	YGR106C	VOA1	2.6
34	YGL226C-A	OST5	2.6
35	YGR037C	ACB1	2.6
36	YOR099W	KTR1	2.6
37	YPL143W	RPL33A	2.6
38	YPL037C	EGD1	2.6
39	YOR234C	RPL33B	2.6
40	YOL012C	HTZ1	2.6
41	YPR113W	PIS1	2.6
42	YOR045W	TOM6	2.6
43	YPL028W	ERG10	2.6
44	YPL094C	SEC62	2.6
45	YDL137W	ARF2	2.6
46	YCR028C-A	RIM1	2.6
47	YDR226W	ADK1	2.6
48	YOR167C	RPS28A	2.6
49	YDR086C	SSS1	2.6
50	YOR276W	CAF20	2.5
51	YDL081C	RPP1A	2.5
52	YER003C	PMI40	2.5
53	YCR031C	RPS14A	2.5
54	YLR388W	RPS29A	2.5
55	YBR106W	SND3	2.5
56	YHR181W	SVP26	2.5
57	YNL070W	TOM7	2.5
58	YBL087C	RPL23A	2.5
59	YDR225W	HTA1	2.5
60	YDR084C	TVP23	2.5
61	YDL061C	RPS29B	2.5
62	YML078W	CPR3	2.5
63	YHR021C	RPS27B	2.5
64	YOL139C	CDC33	2.5
65	YGL030W	RPL30	2.5
66	YBR252W	DUT1	2.5
67	YNL131W	TOM22	2.5
68	YER072W	VTC1	2.5
69	YOL127W	RPL25	2.5
70	YML001W	YPT7	2.5
71	YPL220W	RPL1A	2.5
72	YBR243C	ALG7	2.5
73	YLR333C	RPS25B	2.5
74	YLR367W	RPS22B	2.5
75	YDL083C	RPS16B	2.5
76	YBL040C	ERD2	2.4
77	YGR172C	YIP1	2.4
78	YKL006W	RPL14A	2.4
79	YDL125C	HNT1	2.4
80	YDL015C	TSC13	2.4
81	YBL002W	HTB2	2.4
82	YNL301C	RPL18B	2.4
83	YER023W	PRO3	2.4
84	YER087C-B	SBH1	2.4
85	YKL056C	TMA19	2.4
86	YJL173C	RFA3	2.4
87	YIL043C	CBR1	2.4
88	YPL178W	CBC2	2.4
89	YPL098C	MGR2	2.4
90	YKL080W	VMA5	2.4
91	YDR050C	TPI1	2.4
92	YMR143W	RPS16A	2.4
93	YOR016C	ERP4	2.4
94	YIL133C	RPL16A	2.4
95	YDR064W	RPS13	2.4
96	YML073C	RPL6A	2.4
97	YJL143W	TIM17	2.4
98	YER057C	HMF1	2.4
99	YHL001W	RPL14B	2.4
100	YLR372W	ELO3	2.4
101	YPR062W	FCY1	2.4
102	YGL001C	ERG26	2.4
103	YGR085C	RPL11B	2.4
104	YHR193C	EGD2	2.4
105	YOR085W	OST3	2.4
106	YPL059W	GRX5	2.4
107	YLR075W	RPL10	2.4
108	YML028W	TSA1	2.4
109	YOR369C	RPS12	2.4
110	YDR304C	CPR5	2.4
111	YDL084W	SUB2	2.4
112	YBR109C	CMD1	2.4
113	YDL130W	RPP1B	2.4
114	YJR143C	PMT4	2.4
115	YGL147C	RPL9A	2.4
116	YGR027C	RPS25A	2.4
117	YDR382W	RPP2B	2.4
118	YGL054C	ERV14	2.4
119	YPR069C	SPE3	2.4
120	YPL227C	ALG5	2.4
121	YPR043W	RPL43A	2.4
122	YOR332W	VMA4	2.4
123	YML106W	URA5	2.4
124	YNL069C	RPL16B	2.4
125	YOR293W	RPS10A	2.4
126	YJL136C	RPS21B	2.4
127	YDL052C	SLC1	2.4
128	YDR471W	RPL27B	2.4
129	YPR132W	RPS23B	2.4
130	YBR189W	RPS9B	2.4
131	YML067C	ERV41	2.4
132	YPL129W	TAF14	2.4
133	YDL232W	OST4	2.3
134	YJR094W-A	RPL43B	2.3
135	YER019C-A	SBH2	2.3
136	YGL020C	GET1	2.3
137	YPR102C	RPL11A	2.3
138	YDR378C	LSM6	2.3
