SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SSO1

Rank	Gene	Common	Score
Q	YPL232W	SSO1	
1	YOR089C	VPS21	2.9
2	YPL204W	HRR25	2.9
3	YML117W	NAB6	2.6
4	YGL248W	PDE1	2.6
5	YOR327C	SNC2	2.6
6	YMR311C	GLC8	2.5
7	YPL089C	RLM1	2.5
8	YOL043C	NTG2	2.5
9	YPR165W	RHO1	2.5
10	YPL181W	CTI6	2.5
11	YDR460W	TFB3	2.5
12	YMR238W	DFG5	2.5
13	YMR039C	SUB1	2.4
14	YJL155C	FBP26	2.4
15	YMR255W	GFD1	2.4
16	YKR091W	SRL3	2.4
17	YKL094W	YJU3	2.4
18	YPL100W	ATG21	2.4
19	YBR290W	BSD2	2.4
20	YHR006W	STP2	2.4
21	YOR036W	PEP12	2.4
22	YPR075C	OPY2	2.4
23	YKL142W	MRP8	2.3
24	YPR079W	MRL1	2.3
25	YOR123C	LEO1	2.3
26	YNL215W	IES2	2.3
27	YPR023C	EAF3	2.3
28	YPL233W	NSL1	2.3
29	YGR136W	LSB1	2.3
30	YIR004W	DJP1	2.3
31	YMR316W	DIA1	2.3
32	YCR009C	RVS161	2.3
33	YNL154C	YCK2	2.3
34	YPL049C	DIG1	2.3
35	YNL097C	PHO23	2.3
36	YHR030C	SLT2	2.3
37	YHL002W	HSE1	2.3
38	YOR042W	CUE5	2.3
39	YDR153C	ENT5	2.3
40	YPL159C	PET20	2.3
41	YER048C	CAJ1	2.3
42	YPL138C	SPP1	2.3
43	YNR010W	CSE2	2.3
44	YCR036W	RBK1	2.3
45	YPR154W	PIN3	2.3
46	YOL108C	INO4	2.3
47	YKL159C	RCN1	2.2
48	YKL065C	YET1	2.2
49	YPL110C	GDE1	2.2
50	YOR023C	AHC1	2.2
51	YNL079C	TPM1	2.2
52	YER159C	BUR6	2.2
53	YPL070W	MUK1	2.2
54	YMR200W	ROT1	2.2
55	YPL133C	RDS2	2.2
56	YGR270W	YTA7	2.2
57	YML057W	CMP2	2.2
58	YOR189W	IES4	2.2
59	YNR006W	VPS27	2.2
60	YMR197C	VTI1	2.2
61	YGL181W	GTS1	2.2
62	YNL322C	KRE1	2.2
63	YIL041W	GVP36	2.2
64	YPR129W	SCD6	2.2
65	YAL053W	FLC2	2.2
66	YLR330W	CHS5	2.2
67	YLR079W	SIC1	2.2
68	YPR173C	VPS4	2.2
69	YIR011C	STS1	2.2
70	YOL113W	SKM1	2.2
71	YNL076W	MKS1	2.2
72	YJR052W	RAD7	2.2
73	YDR482C	CWC21	2.2
74	YDL147W	RPN5	2.2
