SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: VMA11

Rank	Gene	Common	Score
Q	YPL234C	VMA11	
1	YEL027W	VMA3	3.5
2	YHR026W	VMA16	3.1
3	YPR113W	PIS1	3.0
4	YGR106C	VOA1	2.9
5	YDL212W	SHR3	2.9
6	YPL218W	SAR1	2.9
7	YJL143W	TIM17	2.9
8	YOR122C	PFY1	2.8
9	YPL037C	EGD1	2.8
10	YLR447C	VMA6	2.8
11	YPR028W	YOP1	2.8
12	YOR085W	OST3	2.7
13	YMR149W	SWP1	2.7
14	YIL043C	CBR1	2.7
15	YIR022W	SEC11	2.7
16	YJR139C	HOM6	2.7
17	YNL135C	FPR1	2.7
18	YER023W	PRO3	2.7
19	YGL200C	EMP24	2.7
20	YLR229C	CDC42	2.7
21	YLR043C	TRX1	2.6
22	YDL015C	TSC13	2.6
23	YML012W	ERV25	2.6
24	YGL225W	VRG4	2.6
25	YPL094C	SEC62	2.6
26	YJL002C	OST1	2.6
27	YOR270C	VPH1	2.6
28	YER009W	NTF2	2.6
29	YDR304C	CPR5	2.6
30	YOR253W	NAT5	2.6
31	YMR292W	GOT1	2.6
32	YDR454C	GUK1	2.6
33	YOL129W	VPS68	2.6
34	YDR084C	TVP23	2.6
35	YOL012C	HTZ1	2.6
36	YPL246C	RBD2	2.6
37	YPR062W	FCY1	2.6
38	YML022W	APT1	2.5
39	YML058W	SML1	2.5
40	YDL192W	ARF1	2.5
41	YLR351C	NIT3	2.5
42	YJL097W	PHS1	2.5
43	YPR183W	DPM1	2.5
44	YPR052C	NHP6A	2.5
45	YOR332W	VMA4	2.5
46	YOR103C	OST2	2.5
47	YML001W	YPT7	2.5
48	YBR106W	SND3	2.5
49	YOR099W	KTR1	2.5
50	YKL080W	VMA5	2.5
51	YML106W	URA5	2.5
52	YHR133C	NSG1	2.5
53	YLR372W	ELO3	2.5
54	YER120W	SCS2	2.5
55	YOL039W	RPP2A	2.5
56	YCR031C	RPS14A	2.5
57	YDR233C	RTN1	2.5
58	YDR519W	FPR2	2.5
59	YBL040C	ERD2	2.5
60	YHR181W	SVP26	2.5
61	YAR002C-A	ERP1	2.4
62	YDR100W	TVP15	2.4
63	YGR105W	VMA21	2.4
64	YOR067C	ALG8	2.4
65	YEL017C-A	PMP2	2.4
66	YPL028W	ERG10	2.4
67	YOR276W	CAF20	2.4
68	YGL226C-A	OST5	2.4
69	YPL010W	RET3	2.4
70	YGL020C	GET1	2.4
71	YPL143W	RPL33A	2.4
72	YER057C	HMF1	2.4
73	YDL081C	RPP1A	2.4
74	YNL069C	RPL16B	2.4
75	YFL045C	SEC53	2.4
76	YPL220W	RPL1A	2.4
77	YPR016C	TIF6	2.4
78	YDL061C	RPS29B	2.4
79	YPL237W	SUI3	2.4
80	YGR282C	BGL2	2.4
81	YOR247W	SRL1	2.4
82	YDL084W	SUB2	2.4
83	YER019C-A	SBH2	2.4
84	YNL044W	YIP3	2.4
85	YEL002C	WBP1	2.4
86	YLR208W	SEC13	2.4
87	YGR118W	RPS23A	2.4
88	YGL198W	YIP4	2.4
89	YDL128W	VCX1	2.4
90	YBR210W	ERV15	2.4
91	YDR404C	RPB7	2.4
92	YBR283C	SSH1	2.4
93	YLR110C	CCW12	2.4
94	YAL007C	ERP2	2.4
95	YGR284C	ERV29	2.4
96	YDR226W	ADK1	2.4
97	YMR202W	ERG2	2.4
98	YOR369C	RPS12	2.4
99	YBL087C	RPL23A	2.4
100	YJR143C	PMT4	2.4
101	YGR063C	SPT4	2.3
102	YML078W	CPR3	2.3
103	YOL120C	RPL18A	2.3
104	YBR252W	DUT1	2.3
105	YBR127C	VMA2	2.3
106	YDR086C	SSS1	2.3
107	YOL040C	RPS15	2.3
108	YGL012W	ERG4	2.3
109	YDR418W	RPL12B	2.3
110	YLR388W	RPS29A	2.3
111	YLL050C	COF1	2.3
112	YOR167C	RPS28A	2.3
113	YDL125C	HNT1	2.3
114	YLR264W	RPS28B	2.3
115	YDR284C	DPP1	2.3
116	YGL054C	ERV14	2.3
117	YIL133C	RPL16A	2.3
118	YOR045W	TOM6	2.3
119	YJR001W	AVT1	2.3
120	YPL079W	RPL21B	2.3
121	YER072W	VTC1	2.3
122	YKL056C	TMA19	2.3
123	YDR302W	GPI11	2.3
124	YDR382W	RPP2B	2.3
125	YGR172C	YIP1	2.3
126	YCR034W	ELO2	2.3
127	YPL059W	GRX5	2.3
128	YFR044C	DUG1	2.3
129	YHR123W	EPT1	2.3
130	YMR123W	PKR1	2.3
131	YJL121C	RPE1	2.3
132	YOR311C	DGK1	2.3
133	YPR043W	RPL43A	2.3
134	YGR214W	RPS0A	2.3
135	YGR020C	VMA7	2.3
136	YKL006W	RPL14A	2.3
137	YDL137W	ARF2	2.3
138	YCR044C	PER1	2.3
139	YMR083W	ADH3	2.3
140	YCL001W	RER1	2.3
141	YEL054C	RPL12A	2.3
142	YGL030W	RPL30	2.3
143	YBR187W	GDT1	2.3
144	YKR088C	TVP38	2.3
145	YJL134W	LCB3	2.3
146	YBL102W	SFT2	2.3
147	YBR011C	IPP1	2.3
148	YMR116C	ASC1	2.3
149	YNL302C	RPS19B	2.3
150	YJR118C	ILM1	2.3
151	YGR279C	SCW4	2.3
152	YBR221C	PDB1	2.3
153	YJR105W	ADO1	2.3
154	YPR165W	RHO1	2.3
155	YBR078W	ECM33	2.2
156	YDL130W	RPP1B	2.2
157	YDR500C	RPL37B	2.2
158	YNL067W	RPL9B	2.2
159	YPL098C	MGR2	2.2
160	YDL083C	RPS16B	2.2
161	YLR048W	RPS0B	2.2
162	YOL127W	RPL25	2.2
163	YGR027C	RPS25A	2.2
164	YML019W	OST6	2.2
165	YNL307C	MCK1	2.2
166	YPL145C	KES1	2.2
167	YKR057W	RPS21A	2.2
168	YHR193C	EGD2	2.2
169	YHR041C	SRB2	2.2
170	YHL001W	RPL14B	2.2
171	YBR162C	TOS1	2.2
172	YEL051W	VMA8	2.2
173	YLR333C	RPS25B	2.2
174	YDR225W	HTA1	2.2
175	YOL143C	RIB4	2.2
176	YPR033C	HTS1	2.2
177	YER178W	PDA1	2.2
178	YLR354C	TAL1	2.2
179	YML073C	RPL6A	2.2
180	YJL190C	RPS22A	2.2
181	YDR487C	RIB3	2.2
182	YBR234C	ARC40	2.2
183	YER026C	CHO1	2.2
184	YBR191W	RPL21A	2.2
185	YJL136C	RPS21B	2.2
186	YDR378C	LSM6	2.2
187	YMR142C	RPL13B	2.2
188	YJL192C	SOP4	2.2
189	YPL178W	CBC2	2.2
190	YHR068W	DYS1	2.2
191	YBR189W	RPS9B	2.2
192	YNL130C	CPT1	2.2
193	YML085C	TUB1	2.2
194	YKL081W	TEF4	2.2
195	YPR132W	RPS23B	2.2
196	YDR064W	RPS13	2.2
197	YNL131W	TOM22	2.2
198	YHR021C	RPS27B	2.2
199	YDR276C	PMP3	2.2
200	YIL016W	SNL1	2.2
201	YCR028C-A	RIM1	2.2
202	YKL192C	ACP1	2.2
203	YKL180W	RPL17A	2.2
204	YDR158W	HOM2	2.2
205	YFL039C	ACT1	2.2
206	YLR344W	RPL26A	2.2
207	YHL003C	LAG1	2.2
208	YDR002W	YRB1	2.2
209	YGL103W	RPL28	2.2
210	YLR185W	RPL37A	2.2
211	YLR367W	RPS22B	2.2
212	YOL139C	CDC33	2.2
213	YJL004C	SYS1	2.2
214	YGL220W	BOL2	2.2
215	YLR061W	RPL22A	2.2
216	YGL106W	MLC1	2.2
217	YLR066W	SPC3	2.2
218	YHR025W	THR1	2.2
219	YML055W	SPC2	2.2
220	YGL147C	RPL9A	2.2
221	YLR448W	RPL6B	2.2
222	YNL255C	GIS2	2.2
223	YOR224C	RPB8	2.2
224	YEL038W	UTR4	2.2
225	YBR036C	CSG2	2.2
226	YGL123W	RPS2	2.2
227	YDR410C	STE14	2.2
228	YNL263C	YIF1	2.2
229	YDL029W	ARP2	2.2
230	YDL236W	PHO13	2.2
231	YGR038W	ORM1	2.2
232	YNL280C	ERG24	2.2
233	YIL018W	RPL2B	2.2
234	YPR176C	BET2	2.2
235	YJL196C	ELO1	2.2
236	YJR069C	HAM1	2.2
237	YEL034W	HYP2	2.2
238	YNL301C	RPL18B	2.2
239	YMR241W	YHM2	2.2
240	YLR459W	GAB1	2.2
241	YML024W	RPS17A	2.2
242	YLR340W	RPP0	2.1
243	YOR096W	RPS7A	2.1
244	YBR243C	ALG7	2.1
245	YBL092W	RPL32	2.1
246	YLR378C	SEC61	2.1
247	YLR029C	RPL15A	2.1
248	YJL177W	RPL17B	2.1
249	YLR083C	EMP70	2.1
250	YKL058W	TOA2	2.1
251	YKL013C	ARC19	2.1
252	YBR109C	CMD1	2.1
253	YGL002W	ERP6	2.1
254	YBL091C	MAP2	2.1
255	YFL005W	SEC4	2.1
256	YFR031C-A	RPL2A	2.1
257	YIL148W	RPL40A	2.1
258	YKL096W-A	CWP2	2.1
259	YDR155C	CPR1	2.1
260	YER117W	RPL23B	2.1
261	YPR051W	MAK3	2.1
262	YLR390W-A	CCW14	2.1
263	YBR205W	KTR3	2.1
264	YLL045C	RPL8B	2.1
265	YMR242C	RPL20A	2.1
266	YOL005C	RPB11	2.1
267	YGR148C	RPL24B	2.1
268	YJL138C	TIF2	2.1
269	YBR031W	RPL4A	2.1
