SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ICL2

Rank	Gene	Common	Score
Q	YPR006C	ICL2	
1	YPR001W	CIT3	3.7
2	YML042W	CAT2	3.4
3	YAL054C	ACS1	3.4
4	YKR009C	FOX2	3.2
5	YPR002W	PDH1	3.2
6	YNL202W	SPS19	3.2
7	YNR002C	ATO2	3.2
8	YGL205W	POX1	3.1
9	YPL134C	ODC1	3.1
10	YOR100C	CRC1	3.1
11	YML054C	CYB2	3.0
12	YER015W	FAA2	3.0
13	YPL147W	PXA1	3.0
14	YLR284C	ECI1	3.0
15	YBR230C	OM14	3.0
16	YKR049C	FMP46	3.0
17	YGR244C	LSC2	3.0
18	YKL217W	JEN1	3.0
19	YNL009W	IDP3	3.0
20	YLR174W	IDP2	3.0
21	YCR010C	ADY2	3.0
22	YKR076W	ECM4	2.9
23	YMR107W	SPG4	2.9
24	YIL136W	OM45	2.9
25	YPR151C	SUE1	2.9
26	YMR191W	SPG5	2.9
27	YGL156W	AMS1	2.9
28	YNL015W	PBI2	2.9
29	YDR059C	UBC5	2.9
30	YDL085W	NDE2	2.9
31	YFL030W	AGX1	2.9
32	YPR026W	ATH1	2.8
33	YGR043C	NQM1	2.8
34	YPL201C	YIG1	2.8
35	YJR019C	TES1	2.8
36	YPL222W	FMP40	2.8
37	YNL012W	SPO1	2.8
38	YGL121C	GPG1	2.8
39	YER024W	YAT2	2.8
40	YPL262W	FUM1	2.8
41	YDL110C	TMA17	2.8
42	YBR046C	ZTA1	2.8
43	YPL186C	UIP4	2.8
44	YBL064C	PRX1	2.8
45	YIR038C	GTT1	2.8
46	YGR243W	MPC3	2.8
47	YLR080W	EMP46	2.8
48	YPL196W	OXR1	2.8
49	YBR269C	SDH8	2.8
50	YNL117W	MLS1	2.8
51	YBR026C	ETR1	2.8
52	YDL078C	MDH3	2.8
53	YFR049W	KGD4	2.8
54	YLR070C	XYL2	2.8
55	YMR110C	HFD1	2.7
56	YOL126C	MDH2	2.7
57	YGR174C	CBP4	2.7
58	YBL015W	ACH1	2.7
59	YHR096C	HXT5	2.7
60	YLR377C	FBP1	2.7
61	YKL093W	MBR1	2.7
62	YDR256C	CTA1	2.7
63	YEL059C-A	SOM1	2.7
64	YPL223C	GRE1	2.7
65	YNL274C	GOR1	2.7
66	YDR178W	SDH4	2.7
67	YKL067W	YNK1	2.7
68	YOR374W	ALD4	2.7
69	YOR120W	GCY1	2.7
70	YER065C	ICL1	2.7
71	YHR209W	CRG1	2.7
72	YMR271C	URA10	2.7
73	YGR256W	GND2	2.7
74	YPR030W	CSR2	2.7
75	YLR327C	TMA10	2.7
76	YOL071W	SDH5	2.7
77	YDR231C	COX20	2.7
78	YBR050C	REG2	2.6
79	YGR008C	STF2	2.6
80	YDL215C	GDH2	2.6
81	YGL208W	SIP2	2.6
82	YBR149W	ARA1	2.6
83	YHR137W	ARO9	2.6
84	YKL188C	PXA2	2.6
85	YMR303C	ADH2	2.6
86	YIL107C	PFK26	2.6
87	YGR230W	BNS1	2.6
88	YDL021W	GPM2	2.6
89	YDR070C	FMP16	2.6
90	YOR003W	YSP3	2.6
91	YKL026C	GPX1	2.6
92	YDL130W-A	STF1	2.6
93	YPL054W	LEE1	2.6
94	YOR040W	GLO4	2.6
95	YHL032C	GUT1	2.6
96	YKR097W	PCK1	2.6
97	YOR142W	LSC1	2.6
98	YIR039C	YPS6	2.6
99	YJL137C	GLG2	2.6
100	YJL066C	MPM1	2.6
101	YMR174C	PAI3	2.6
102	YGR236C	SPG1	2.6
103	YDL169C	UGX2	2.6
104	YOR173W	DCS2	2.6
105	YKL141W	SDH3	2.6
106	YPL156C	PRM4	2.6
107	YMR170C	ALD2	2.6
108	YAL062W	GDH3	2.6
109	YIL124W	AYR1	2.6
110	YGR248W	SOL4	2.6
111	YJR095W	SFC1	2.6
112	YOL082W	ATG19	2.6
113	YIR037W	HYR1	2.5
114	YOR328W	PDR10	2.5
115	YMR020W	FMS1	2.5
116	YDR148C	KGD2	2.5
117	YNL093W	YPT53	2.5
118	YIL155C	GUT2	2.5
119	YBR072W	HSP26	2.5
120	YEL060C	PRB1	2.5
121	YBL078C	ATG8	2.5
122	YKR067W	GPT2	2.5
123	YCL035C	GRX1	2.5
124	YIL160C	POT1	2.5
125	YIL101C	XBP1	2.5
126	YPL123C	RNY1	2.5
127	YPR005C	HAL1	2.5
128	YOL084W	PHM7	2.5
129	YDL200C	MGT1	2.5
130	YOR185C	GSP2	2.5
131	YCR083W	TRX3	2.5
132	YJL089W	SIP4	2.5
133	YMR175W	SIP18	2.5
134	YBR183W	YPC1	2.5
135	YOL147C	PEX11	2.5
136	YAR035W	YAT1	2.5
137	YDR009W	GAL3	2.5
138	YKL065C	YET1	2.5
139	YDL181W	INH1	2.5
140	YEL066W	HPA3	2.5
141	YPR134W	MSS18	2.5
142	YHL024W	RIM4	2.5
143	YMR041C	ARA2	2.5
144	YMR280C	CAT8	2.5
145	YKL142W	MRP8	2.5
146	YKR046C	PLN1	2.5
147	YDR287W	INM2	2.5
148	YMR256C	COX7	2.5
149	YNR001C	CIT1	2.5
150	YLR178C	TFS1	2.5
151	YJL221C	IMA4	2.5
152	YDL024C	DIA3	2.5
153	YAL008W	FUN14	2.5
154	YLL041C	SDH2	2.5
155	YDR085C	AFR1	2.5
156	YML128C	MSC1	2.5
157	YPL087W	YDC1	2.5
158	YEL012W	UBC8	2.5
159	YJR099W	YUH1	2.5
160	YPR184W	GDB1	2.5
161	YJL161W	FMP33	2.5
162	YJL155C	FBP26	2.5
163	YLR267W	BOP2	2.5
164	YLR142W	PUT1	2.5
165	YDR032C	PST2	2.5
166	YBR169C	SSE2	2.5
167	YNL237W	YTP1	2.5
168	YHR106W	TRR2	2.5
169	YMR040W	YET2	2.4
170	YPR193C	HPA2	2.4
171	YLR307W	CDA1	2.4
172	YPR155C	NCA2	2.4
173	YJL153C	INO1	2.4
174	YDR436W	PPZ2	2.4
175	YMR105C	PGM2	2.4
176	YBR280C	SAF1	2.4
177	YDR511W	SDH7	2.4
178	YDL204W	RTN2	2.4
179	YBR001C	NTH2	2.4
180	YJL103C	GSM1	2.4
181	YBR006W	UGA2	2.4
182	YBR222C	PCS60	2.4
183	YGR019W	UGA1	2.4
184	YNL239W	LAP3	2.4
185	YBR117C	TKL2	2.4
186	YBR033W	EDS1	2.4
187	YDR272W	GLO2	2.4
188	YDR453C	TSA2	2.4
189	YPR061C	JID1	2.4
190	YCR004C	YCP4	2.4
191	YLR151C	PCD1	2.4
192	YBL049W	MOH1	2.4
193	YLR205C	HMX1	2.4
194	YFL014W	HSP12	2.4
195	YBL043W	ECM13	2.4
196	YJL217W	REE1	2.4
197	YGL080W	MPC1	2.4
198	YMR250W	GAD1	2.4
199	YER054C	GIP2	2.4
