SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TIF6

Rank	Gene	Common	Score
Q	YPR016C	TIF6	
1	YPR110C	RPC40	3.7
2	YDR091C	RLI1	3.6
3	YOL061W	PRS5	3.6
4	YML022W	APT1	3.5
5	YPL211W	NIP7	3.5
6	YNL248C	RPA49	3.5
7	YHL011C	PRS3	3.5
8	YOR310C	NOP58	3.4
9	YER126C	NSA2	3.4
10	YLR186W	EMG1	3.4
11	YEL026W	SNU13	3.4
12	YNR053C	NOG2	3.3
13	YHR089C	GAR1	3.3
14	YDL014W	NOP1	3.3
15	YGR123C	PPT1	3.3
16	YOR272W	YTM1	3.3
17	YPR010C	RPA135	3.3
18	YPL226W	NEW1	3.3
19	YKL181W	PRS1	3.3
20	YBL039C	URA7	3.3
21	YKL009W	MRT4	3.3
22	YDR101C	ARX1	3.3
23	YER025W	GCD11	3.2
24	YPL093W	NOG1	3.2
25	YGR159C	NSR1	3.2
26	YOR361C	PRT1	3.2
27	YJR063W	RPA12	3.2
28	YLR175W	CBF5	3.2
29	YNL075W	IMP4	3.2
30	YMR217W	GUA1	3.2
31	YPL237W	SUI3	3.2
32	YPL012W	RRP12	3.2
33	YLR009W	RLP24	3.2
34	YHR052W	CIC1	3.2
35	YMR309C	NIP1	3.2
36	YPR144C	NOC4	3.2
37	YOR145C	PNO1	3.2
38	YOR206W	NOC2	3.2
39	YHR170W	NMD3	3.2
40	YLR196W	PWP1	3.2
41	YOR224C	RPB8	3.2
42	YLR409C	UTP21	3.2
43	YHR128W	FUR1	3.2
44	YKR081C	RPF2	3.1
45	YOL077C	BRX1	3.1
46	YMR093W	UTP15	3.1
47	YJR070C	LIA1	3.1
48	YMR290C	HAS1	3.1
49	YIR026C	YVH1	3.1
50	YGL078C	DBP3	3.1
51	YAL059W	ECM1	3.1
52	YAL036C	RBG1	3.1
53	YOR095C	RKI1	3.1
54	YGR162W	TIF4631	3.1
55	YOL097C	WRS1	3.1
56	YOR294W	RRS1	3.1
57	YML106W	URA5	3.1
58	YOR340C	RPA43	3.1
59	YMR049C	ERB1	3.1
60	YNL175C	NOP13	3.1
61	YER006W	NUG1	3.1
62	YLR276C	DBP9	3.1
63	YMR079W	SEC14	3.1
64	YLR372W	ELO3	3.1
65	YDL208W	NHP2	3.1
66	YNL112W	DBP2	3.1
67	YNL002C	RLP7	3.1
68	YDR083W	RRP8	3.1
69	YGR128C	UTP8	3.1
70	YLR083C	EMP70	3.1
71	YJR007W	SUI2	3.1
72	YJL122W	ALB1	3.1
73	YPR163C	TIF3	3.1
74	YDR120C	TRM1	3.1
75	YGR264C	MES1	3.0
76	YLR291C	GCD7	3.0
77	YKR092C	SRP40	3.0
78	YDR321W	ASP1	3.0
79	YPL043W	NOP4	3.0
80	YLL011W	SOF1	3.0
