SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SEC8

Rank	Gene	Common	Score
Q	YPR055W	SEC8	
1	YOR076C	SKI7	2.7
2	YPL045W	VPS16	2.5
3	YPR189W	SKI3	2.5
4	YPR105C	COG4	2.5
5	YGL151W	NUT1	2.4
6	YNL118C	DCP2	2.4
7	YPL228W	CET1	2.4
8	YER008C	SEC3	2.4
9	YLR371W	ROM2	2.4
10	YOR275C	RIM20	2.4
11	YNL257C	SIP3	2.4
12	YLR166C	SEC10	2.4
13	YBR081C	SPT7	2.4
14	YPR179C	HDA3	2.4
15	YDR484W	VPS52	2.4
16	YDR200C	VPS64	2.4
17	YNL297C	MON2	2.4
18	YJR090C	GRR1	2.4
19	YDL056W	MBP1	2.3
20	YOR304W	ISW2	2.3
21	YKR029C	SET3	2.3
22	YPR025C	CCL1	2.3
23	YOR124C	UBP2	2.3
24	YPL020C	ULP1	2.3
25	YPR029C	APL4	2.3
26	YLR039C	RIC1	2.3
27	YNL041C	COG6	2.3
28	YOR069W	VPS5	2.3
29	YNL258C	DSL1	2.3
30	YPL007C	TFC8	2.3
31	YPL242C	IQG1	2.3
32	YLR309C	IMH1	2.3
33	YKL025C	PAN3	2.3
34	YLR148W	PEP3	2.3
35	YDR407C	TRS120	2.3
36	YLR425W	TUS1	2.3
37	YDR027C	VPS54	2.3
38	YNL267W	PIK1	2.3
39	YDR166C	SEC5	2.3
40	YPL120W	VPS30	2.2
41	YGL110C	CUE3	2.2
42	YPR072W	NOT5	2.2
43	YDR379W	RGA2	2.2
44	YGL233W	SEC15	2.2
45	YGL093W	SPC105	2.2
46	YPL195W	APL5	2.2
47	YGL095C	VPS45	2.2
48	YNL325C	FIG4	2.2
49	YPL008W	CHL1	2.2
50	YDR495C	VPS3	2.2
51	YMR231W	PEP5	2.2
52	YPR057W	BRR1	2.2
53	YKL092C	BUD2	2.2
54	YJL204C	RCY1	2.2
55	YGR116W	SPT6	2.2
56	YPL174C	NIP100	2.2
57	YKL012W	PRP40	2.2
58	YNR023W	SNF12	2.2
59	YJR089W	BIR1	2.2
60	YOR330C	MIP1	2.2
61	YLR240W	VPS34	2.2
62	YLR396C	VPS33	2.2
63	YPL116W	HOS3	2.2
64	YLR369W	SSQ1	2.2
65	YGR270W	YTA7	2.2
66	YOR211C	MGM1	2.2
67	YOL090W	MSH2	2.2
68	YDR351W	SBE2	2.2
69	YBR272C	HSM3	2.2
70	YDR159W	SAC3	2.2
71	YER013W	PRP22	2.2
72	YOR244W	ESA1	2.2
73	YIL068C	SEC6	2.2
74	YPR095C	SYT1	2.2
75	YMR284W	YKU70	2.2
76	YKR082W	NUP133	2.2
77	YKL010C	UFD4	2.2
78	YPR141C	KAR3	2.2
79	YOL100W	PKH2	2.2
80	YDL132W	CDC53	2.2
81	YNL059C	ARP5	2.2
82	YBR237W	PRP5	2.2
83	YPR180W	AOS1	2.2
84	YPL084W	BRO1	2.2
85	YMR004W	MVP1	2.2
86	YGR274C	TAF1	2.1
87	YNL051W	COG5	2.1
88	YGR196C	FYV8	2.1
89	YDL225W	SHS1	2.1
90	YPL161C	BEM4	2.1
91	YDR458C	HEH2	2.1
92	YML069W	POB3	2.1
93	YPL249C	GYP5	2.1
94	YGR170W	PSD2	2.1
95	YOL089C	HAL9	2.1
96	YPL074W	YTA6	2.1
97	YDL190C	UFD2	2.1
98	YDR289C	RTT103	2.1
99	YER157W	COG3	2.1
100	YOR070C	GYP1	2.1
101	YDR335W	MSN5	2.1
102	YKL022C	CDC16	2.1
103	YOR249C	APC5	2.1
104	YPL022W	RAD1	2.1
105	YDR425W	SNX41	2.1
106	YKR031C	SPO14	2.1
107	YMR029C	FAR8	2.1
108	YLR436C	ECM30	2.1
109	YJL154C	VPS35	2.1
110	YIR002C	MPH1	2.1
111	YMR075W	RCO1	2.1
112	YOR075W	UFE1	2.1
113	YDL113C	ATG20	2.1
114	YDL028C	MPS1	2.1
115	YMR097C	MTG1	2.1
116	YKL179C	COY1	2.1
117	YOL004W	SIN3	2.1
118	YMR028W	TAP42	2.1
119	YJR138W	IML1	2.1
120	YLR424W	SPP382	2.1
121	YGR009C	SEC9	2.1
122	YGL227W	VID30	2.1
123	YJR110W	YMR1	2.1
124	YBR236C	ABD1	2.1
125	YOL018C	TLG2	2.1
126	YDR325W	YCG1	2.1
127	YNL250W	RAD50	2.1
128	YML103C	NUP188	2.1
129	YPR107C	YTH1	2.1
130	YMR064W	AEP1	2.1
131	YHR158C	KEL1	2.1
132	YDR176W	NGG1	2.1
133	YNL082W	PMS1	2.1
134	YPL176C	TRE1	2.1
135	YNL212W	VID27	2.1
136	YPR056W	TFB4	2.1
137	YNL027W	CRZ1	2.1
138	YNL076W	MKS1	2.1
139	YDL074C	BRE1	2.1
140	YNL039W	BDP1	2.1
141	YGR047C	TFC4	2.1
142	YOR256C	TRE2	2.1
143	YDR080W	VPS41	2.1
144	YNL091W	NST1	2.1
145	YGL086W	MAD1	2.1
146	YLR117C	CLF1	2.1
147	YDR219C	MFB1	2.1
148	YLR238W	FAR10	2.1
149	YGL252C	RTG2	2.1
150	YBR199W	KTR4	2.1
151	YLR189C	ATG26	2.1
152	YOL023W	IFM1	2.1
153	YKL020C	SPT23	2.0
154	YLR182W	SWI6	2.0
155	YPL100W	ATG21	2.0
156	YER151C	UBP3	2.0
157	YPR081C	GRS2	2.0
158	YNL287W	SEC21	2.0
159	YMR061W	RNA14	2.0
160	YML034W	SRC1	2.0
161	YOR354C	MSC6	2.0
162	YGL094C	PAN2	2.0
163	YPL259C	APM1	2.0
164	YDR189W	SLY1	2.0
165	YNL272C	SEC2	2.0
166	YLR247C	IRC20	2.0
167	YOR144C	ELG1	2.0
168	YDR141C	DOP1	2.0
169	YPR049C	ATG11	2.0
170	YJR035W	RAD26	2.0
171	YGR089W	NNF2	2.0
172	YML065W	ORC1	2.0
173	YNL084C	END3	2.0
174	YMR092C	AIP1	2.0
175	YPR185W	ATG13	2.0
176	YLR373C	VID22	2.0
177	YDR208W	MSS4	2.0
178	YJL036W	SNX4	2.0
179	YER022W	SRB4	2.0
180	YIL144W	NDC80	2.0
181	YEL061C	CIN8	2.0
182	YNL054W	VAC7	2.0
183	YGR100W	MDR1	2.0
184	YMR125W	STO1	2.0
185	YNL088W	TOP2	2.0
