SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SPE3

Rank	Gene	Common	Score
Q	YPR069C	SPE3	
1	YDR023W	SES1	3.5
2	YOL097C	WRS1	3.5
3	YOL139C	CDC33	3.5
4	YDR454C	GUK1	3.4
5	YBR121C	GRS1	3.4
6	YKL081W	TEF4	3.4
7	YHR064C	SSZ1	3.4
8	YBR189W	RPS9B	3.4
9	YPR033C	HTS1	3.3
10	YHR128W	FUR1	3.3
11	YLR448W	RPL6B	3.3
12	YOR096W	RPS7A	3.3
13	YDL084W	SUB2	3.3
14	YML073C	RPL6A	3.2
15	YDL082W	RPL13A	3.2
16	YER009W	NTF2	3.2
17	YPL160W	CDC60	3.2
18	YMR142C	RPL13B	3.2
19	YHR193C	EGD2	3.2
20	YLR060W	FRS1	3.2
21	YHR068W	DYS1	3.2
22	YBR025C	OLA1	3.2
23	YPR163C	TIF3	3.2
24	YGL147C	RPL9A	3.2
25	YJL177W	RPL17B	3.2
26	YGR214W	RPS0A	3.2
27	YHR019C	DED81	3.2
28	YGL105W	ARC1	3.2
29	YOR095C	RKI1	3.2
30	YLR293C	GSP1	3.2
31	YNL067W	RPL9B	3.2
32	YPL079W	RPL21B	3.2
33	YNL069C	RPL16B	3.2
34	YDL083C	RPS16B	3.2
35	YML063W	RPS1B	3.2
36	YHR013C	ARD1	3.2
37	YOL127W	RPL25	3.1
38	YPR041W	TIF5	3.1
39	YMR146C	TIF34	3.1
40	YPL037C	EGD1	3.1
41	YPR110C	RPC40	3.1
42	YER102W	RPS8B	3.1
43	YLR441C	RPS1A	3.1
44	YGR148C	RPL24B	3.1
45	YML026C	RPS18B	3.1
46	YGL031C	RPL24A	3.1
47	YPL143W	RPL33A	3.1
48	YGR285C	ZUO1	3.1
49	YLR061W	RPL22A	3.1
50	YBL087C	RPL23A	3.1
51	YDR418W	RPL12B	3.1
52	YFL045C	SEC53	3.1
53	YNL096C	RPS7B	3.1
54	YDL051W	LHP1	3.1
55	YOR168W	GLN4	3.1
56	YBR048W	RPS11B	3.1
57	YLR432W	IMD3	3.1
58	YMR260C	TIF11	3.1
59	YEL054C	RPL12A	3.1
60	YLR333C	RPS25B	3.1
61	YPR102C	RPL11A	3.1
62	YMR242C	RPL20A	3.1
63	YLR150W	STM1	3.1
64	YNL255C	GIS2	3.1
65	YPR118W	MRI1	3.1
66	YBL072C	RPS8A	3.0
67	YML106W	URA5	3.0
68	YLR344W	RPL26A	3.0
69	YLL045C	RPL8B	3.0
70	YLR264W	RPS28B	3.0
71	YML024W	RPS17A	3.0
72	YOR063W	RPL3	3.0
73	YOL120C	RPL18A	3.0
74	YER131W	RPS26B	3.0
75	YBR191W	RPL21A	3.0
76	YGL076C	RPL7A	3.0
77	YHL033C	RPL8A	3.0
78	YOR224C	RPB8	3.0
79	YOR293W	RPS10A	3.0
80	YKL056C	TMA19	3.0
81	YLR172C	DPH5	3.0
82	YOR234C	RPL33B	3.0
83	YOR167C	RPS28A	3.0
84	YLR048W	RPS0B	3.0
85	YDR450W	RPS18A	3.0
86	YNL178W	RPS3	3.0
87	YNL301C	RPL18B	3.0
88	YHL015W	RPS20	3.0
89	YOR276W	CAF20	3.0
90	YML022W	APT1	3.0
91	YJL190C	RPS22A	3.0
92	YMR116C	ASC1	3.0
93	YMR217W	GUA1	3.0
94	YML056C	IMD4	3.0
95	YIL078W	THS1	3.0
96	YOR046C	DBP5	3.0
97	YGR185C	TYS1	3.0
98	YNL302C	RPS19B	3.0
99	YDR226W	ADK1	3.0
100	YIL133C	RPL16A	3.0
101	YOR312C	RPL20B	3.0
102	YOR361C	PRT1	3.0
103	YJR123W	RPS5	3.0
