SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPS23B

Rank	Gene	Common	Score
Q	YPR132W	RPS23B	
1	YGR118W	RPS23A	6.4
2	YPR102C	RPL11A	5.5
3	YPL079W	RPL21B	5.4
4	YML024W	RPS17A	5.4
5	YOR096W	RPS7A	5.3
6	YMR142C	RPL13B	5.3
7	YOR293W	RPS10A	5.2
8	YGL031C	RPL24A	5.2
9	YNL302C	RPS19B	5.2
10	YNL069C	RPL16B	5.2
11	YGR148C	RPL24B	5.2
12	YBL087C	RPL23A	5.2
13	YKL006W	RPL14A	5.1
14	YPL143W	RPL33A	5.1
15	YML073C	RPL6A	5.1
16	YBR191W	RPL21A	5.1
17	YML026C	RPS18B	5.1
18	YHR010W	RPL27A	5.1
19	YOL127W	RPL25	5.1
20	YBR189W	RPS9B	5.1
21	YFR031C-A	RPL2A	5.1
22	YER117W	RPL23B	5.1
23	YOR369C	RPS12	5.1
24	YNL178W	RPS3	5.1
25	YPR043W	RPL43A	5.0
26	YBL072C	RPS8A	5.0
27	YDR447C	RPS17B	5.0
28	YMR242C	RPL20A	5.0
29	YJL190C	RPS22A	5.0
30	YGR085C	RPL11B	5.0
31	YJL177W	RPL17B	5.0
32	YGR027C	RPS25A	5.0
33	YER102W	RPS8B	5.0
34	YLR441C	RPS1A	5.0
35	YNL162W	RPL42A	4.9
36	YLR344W	RPL26A	4.9
37	YER074W	RPS24A	4.9
38	YBL027W	RPL19B	4.9
39	YDR450W	RPS18A	4.9
40	YOL040C	RPS15	4.9
41	YPL090C	RPS6A	4.9
42	YDR418W	RPL12B	4.9
43	YML063W	RPS1B	4.9
44	YIL052C	RPL34B	4.9
45	YOR312C	RPL20B	4.9
46	YOR234C	RPL33B	4.9
47	YER131W	RPS26B	4.9
48	YLR061W	RPL22A	4.9
49	YLR185W	RPL37A	4.9
50	YLR048W	RPS0B	4.9
51	YGL123W	RPS2	4.9
52	YLR333C	RPS25B	4.9
53	YDL075W	RPL31A	4.9
54	YEL054C	RPL12A	4.8
55	YDL083C	RPS16B	4.8
56	YGL103W	RPL28	4.8
57	YOL120C	RPL18A	4.8
58	YDR471W	RPL27B	4.8
59	YLR325C	RPL38	4.8
60	YGR034W	RPL26B	4.8
61	YMR143W	RPS16A	4.7
62	YIL133C	RPL16A	4.7
63	YKR057W	RPS21A	4.7
64	YHR021C	RPS27B	4.7
65	YPL131W	RPL5	4.7
66	YKL180W	RPL17A	4.7
67	YLR167W	RPS31	4.7
68	YER056C-A	RPL34A	4.7
69	YGR214W	RPS0A	4.7
70	YJL136C	RPS21B	4.7
71	YLR388W	RPS29A	4.7
72	YDL130W	RPP1B	4.7
73	YDL082W	RPL13A	4.7
74	YLR448W	RPL6B	4.7
75	YGL189C	RPS26A	4.7
76	YIL069C	RPS24B	4.7
77	YJR123W	RPS5	4.6
