SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RRP15

Rank	Gene	Common	Score
Q	YPR143W	RRP15	
1	YGL029W	CGR1	5.1
2	YNL110C	NOP15	5.0
3	YPL146C	NOP53	4.7
4	YKL082C	RRP14	4.7
5	YOR078W	BUD21	4.7
6	YFR001W	LOC1	4.7
7	YLR068W	FYV7	4.6
8	YMR269W	TMA23	4.6
9	YKL172W	EBP2	4.6
10	YPL043W	NOP4	4.6
11	YKL099C	UTP11	4.6
12	YOR004W	UTP23	4.6
13	YDR412W	RRP17	4.5
14	YMR014W	BUD22	4.5
15	YGR271C-A	EFG1	4.4
16	YLR051C	FCF2	4.4
17	YOR252W	TMA16	4.4
18	YGR280C	PXR1	4.4
19	YHR066W	SSF1	4.4
20	YNL308C	KRI1	4.4
21	YER002W	NOP16	4.4
22	YHR052W	CIC1	4.3
23	YKL009W	MRT4	4.3
24	YDL213C	NOP6	4.3
25	YLR221C	RSA3	4.3
26	YML093W	UTP14	4.3
27	YLR009W	RLP24	4.3
28	YGR145W	ENP2	4.2
29	YCL054W	SPB1	4.2
30	YDR496C	PUF6	4.2
31	YNL002C	RLP7	4.2
32	YLL011W	SOF1	4.2
33	YOR145C	PNO1	4.2
34	YHR088W	RPF1	4.2
35	YDL153C	SAS10	4.2
36	YER127W	LCP5	4.2
37	YJL148W	RPA34	4.2
38	YJL122W	ALB1	4.2
39	YNL075W	IMP4	4.2
40	YHR081W	LRP1	4.1
41	YOR294W	RRS1	4.1
42	YLR435W	TSR2	4.1
43	YAL025C	MAK16	4.1
44	YNR024W	MPP6	4.1
45	YLR003C	CMS1	4.1
46	YKR081C	RPF2	4.1
47	YDR087C	RRP1	4.1
48	YNL113W	RPC19	4.1
49	YIL019W	FAF1	4.1
50	YMR239C	RNT1	4.1
51	YOR206W	NOC2	4.1
52	YER126C	NSA2	4.1
53	YCL059C	KRR1	4.1
54	YAL059W	ECM1	4.1
55	YHR196W	UTP9	4.0
56	YKL143W	LTV1	4.0
57	YOL080C	REX4	4.0
58	YPR112C	MRD1	4.0
59	YHR148W	IMP3	4.0
60	YGR103W	NOP7	4.0
61	YGR081C	SLX9	4.0
62	YPR137W	RRP9	4.0
63	YNL151C	RPC31	4.0
64	YBR155W	CNS1	4.0
65	YNL175C	NOP13	4.0
66	YOL041C	NOP12	4.0
67	YLR276C	DBP9	4.0
68	YBR142W	MAK5	4.0
69	YDR083W	RRP8	4.0
70	YDL208W	NHP2	4.0
71	YDR449C	UTP6	4.0
72	YPL211W	NIP7	3.9
73	YNR054C	ESF2	3.9
74	YLR196W	PWP1	3.9
75	YDR312W	SSF2	3.9
76	YNL182C	IPI3	3.9
77	YJL033W	HCA4	3.9
78	YPL012W	RRP12	3.9
79	YLR175W	CBF5	3.9
80	YDR299W	BFR2	3.9
81	YKR024C	DBP7	3.8
82	YHR085W	IPI1	3.8
83	YDR021W	FAL1	3.8
84	YOR340C	RPA43	3.8
85	YBR154C	RPB5	3.8
86	YOR056C	NOB1	3.8
87	YDL031W	DBP10	3.8
88	YDR152W	GIR2	3.8
89	YOR272W	YTM1	3.8
90	YHR170W	NMD3	3.8
91	YOL144W	NOP8	3.8
92	YDL201W	TRM8	3.8
93	YDR060W	MAK21	3.8
94	YLR074C	BUD20	3.8
95	YBR267W	REI1	3.8
96	YBR247C	ENP1	3.8
97	YOL124C	TRM11	3.7
98	YNL061W	NOP2	3.7
99	YKL021C	MAK11	3.7
100	YHL013C	OTU2	3.7
101	YDL148C	NOP14	3.7
102	YKR060W	UTP30	3.7
103	YJR002W	MPP10	3.7
104	YDR184C	ATC1	3.7
105	YDR361C	BCP1	3.7
106	YGR128C	UTP8	3.7
107	YPL266W	DIM1	3.7
108	YNR053C	NOG2	3.7
109	YGR187C	HGH1	3.7
110	YOL077C	BRX1	3.7
111	YER082C	UTP7	3.7
112	YLR222C	UTP13	3.7
113	YGL099W	LSG1	3.6
114	YER006W	NUG1	3.6
115	YPR110C	RPC40	3.6
116	YPL126W	NAN1	3.6
117	YDR365C	ESF1	3.6
118	YGL078C	DBP3	3.6
119	YNL227C	JJJ1	3.6
120	YLL008W	DRS1	3.6
121	YGL111W	NSA1	3.6
122	YOR310C	NOP58	3.6
123	YPL217C	BMS1	3.6
124	YML080W	DUS1	3.6
125	YGR245C	SDA1	3.6
126	YDR339C	FCF1	3.6
127	YDR324C	UTP4	3.6
128	YLR197W	NOP56	3.6
129	YDL060W	TSR1	3.6
130	YJL125C	GCD14	3.6
131	YNL119W	NCS2	3.6
132	YLR409C	UTP21	3.6
133	YHR197W	RIX1	3.6
134	YLR129W	DIP2	3.6
135	YHR065C	RRP3	3.6
136	YPL086C	ELP3	3.6
137	YPR144C	NOC4	3.6
138	YMR131C	RRB1	3.6
139	YJL050W	MTR4	3.6
140	YGL171W	ROK1	3.6
141	YDL051W	LHP1	3.6
142	YNL248C	RPA49	3.5
143	YLR449W	FPR4	3.5
144	YJR063W	RPA12	3.5
145	YDR398W	UTP5	3.5
146	YGR159C	NSR1	3.5
147	YDL150W	RPC53	3.5
148	YLL034C	RIX7	3.5
149	YMR049C	ERB1	3.5
150	YPL093W	NOG1	3.5
151	YCR057C	PWP2	3.5
152	YKL078W	DHR2	3.5
153	YLR002C	NOC3	3.5
154	YPR187W	RPO26	3.5
155	YDR165W	TRM82	3.5
156	YMR093W	UTP15	3.5
157	YPR190C	RPC82	3.5
158	YMR128W	ECM16	3.5
159	YJL069C	UTP18	3.5
160	YOL010W	RCL1	3.5
161	YDR465C	RMT2	3.5
162	YLR336C	SGD1	3.5
163	YAL036C	RBG1	3.4
164	YBL024W	NCL1	3.4
165	YDR101C	ARX1	3.4
166	YFL023W	BUD27	3.4
167	YHR169W	DBP8	3.4
168	YPR169W	JIP5	3.4
169	YGL120C	PRP43	3.4
170	YKR025W	RPC37	3.4
171	YPR163C	TIF3	3.4
172	YFL002C	SPB4	3.4
173	YMR290C	HAS1	3.4
174	YIL079C	AIR1	3.4
175	YPL239W	YAR1	3.4
176	YOR091W	TMA46	3.4
177	YGR158C	MTR3	3.4
178	YGR173W	RBG2	3.4
179	YBL039C	URA7	3.4
180	YOR119C	RIO1	3.4
181	YCR072C	RSA4	3.3
182	YOL093W	TRM10	3.3
183	YPL237W	SUI3	3.3
184	YOR243C	PUS7	3.3
185	YIL103W	DPH1	3.3
186	YDR120C	TRM1	3.3
187	YNL207W	RIO2	3.3
188	YDL166C	FAP7	3.3
189	YNL132W	KRE33	3.3
190	YDL167C	NRP1	3.3
191	YJL010C	NOP9	3.3
192	YJL098W	SAP185	3.3
193	YNL299W	TRF5	3.3
194	YGR072W	UPF3	3.3
195	YJL011C	RPC17	3.3
196	YIL127C	RRT14	3.3
197	YMR229C	RRP5	3.3
198	YBR034C	HMT1	3.3
199	YNL141W	AAH1	3.3
200	YLR186W	EMG1	3.3
201	YJR097W	JJJ3	3.3
202	YIR026C	YVH1	3.3
203	YGR200C	ELP2	3.2
204	YOR210W	RPB10	3.2
205	YDR280W	RRP45	3.2
206	YIR012W	SQT1	3.2
207	YHR069C	RRP4	3.2
208	YCL031C	RRP7	3.2
209	YPL183C	RTT10	3.2
210	YLR022C	SDO1	3.2
211	YDR429C	TIF35	3.2
212	YNL062C	GCD10	3.2
213	YNR038W	DBP6	3.2
214	YKL122C	SRP21	3.2
215	YBR061C	TRM7	3.2
216	YIL008W	URM1	3.2
217	YDR190C	RVB1	3.2
218	YKR092C	SRP40	3.2
219	YNL255C	GIS2	3.2
220	YHR040W	BCD1	3.1
221	YIL110W	HPM1	3.1
222	YCR047C	BUD23	3.1
223	YIL104C	SHQ1	3.1
224	YOR095C	RKI1	3.1
225	YGR083C	GCD2	3.1
226	YNR012W	URK1	3.1
227	YPL212C	PUS1	3.1
228	YHR089C	GAR1	3.1
229	YKR056W	TRM2	3.1
230	YNR003C	RPC34	3.1
231	YLR401C	DUS3	3.1
232	YBL054W	TOD6	3.1
233	YJL208C	NUC1	3.1
234	YNL186W	UBP10	3.1
235	YHL011C	PRS3	3.1
236	YHR143W-A	RPC10	3.1
237	YPR048W	TAH18	3.1
238	YNL232W	CSL4	3.0
239	YGR123C	PPT1	3.0
240	YPR060C	ARO7	3.0
241	YPR041W	TIF5	3.0
242	YKR079C	TRZ1	3.0
243	YGL246C	RAI1	3.0
244	YER049W	TPA1	3.0
245	YPL263C	KEL3	3.0
246	YOL142W	RRP40	3.0
247	YJR070C	LIA1	3.0
248	YNL112W	DBP2	3.0
249	YOR001W	RRP6	3.0
250	YMR260C	TIF11	3.0
251	YDR527W	RBA50	3.0
252	YJR072C	NPA3	3.0
253	YGL169W	SUA5	3.0
254	YBR257W	POP4	3.0
255	YFL001W	DEG1	3.0
256	YPL193W	RSA1	3.0
257	YGR162W	TIF4631	3.0
258	YEL026W	SNU13	3.0
259	YKL014C	URB1	3.0
260	YPL226W	NEW1	3.0
261	YPR010C	RPA135	3.0
262	YNL153C	GIM3	3.0
263	YOR287C	RRP36	3.0
264	YML043C	RRN11	3.0
265	YKL156W	RPS27A	3.0
266	YOR234C	RPL33B	3.0
267	YLR223C	IFH1	3.0
268	YML014W	TRM9	2.9
269	YOL125W	TRM13	2.9
270	YNL292W	PUS4	2.9
271	YJR041C	URB2	2.9
272	YOL139C	CDC33	2.9
273	YGR229C	SMI1	2.9
274	YBL068W	PRS4	2.9
275	YKR063C	LAS1	2.9
276	YKR099W	BAS1	2.9
277	YHR062C	RPP1	2.9
278	YLR200W	YKE2	2.9
279	YOR101W	RAS1	2.9
280	YKL110C	KTI12	2.9
281	YGR095C	RRP46	2.9
282	YDR075W	PPH3	2.9
283	YDL014W	NOP1	2.9
284	YCR035C	RRP43	2.9
285	YAL019W	FUN30	2.9
286	YNL001W	DOM34	2.9
287	YDR091C	RLI1	2.9
288	YKL144C	RPC25	2.9
289	YNR046W	TRM112	2.9
290	YMR309C	NIP1	2.9
291	YLR017W	MEU1	2.9
292	YJR014W	TMA22	2.9
293	YML113W	DAT1	2.9
294	YLR405W	DUS4	2.9
295	YOR207C	RET1	2.8
296	YNL164C	IBD2	2.8
297	YNL256W	FOL1	2.8
298	YKL166C	TPK3	2.8
299	YPL210C	SRP72	2.8
300	YPL207W	TYW1	2.8
301	YOR281C	PLP2	2.8
302	YOR046C	DBP5	2.8
303	YER029C	SMB1	2.8
304	YMR194W	RPL36A	2.8
305	YDL074C	BRE1	2.8
306	YMR217W	GUA1	2.8
307	YNL124W	NAF1	2.8
308	YOR361C	PRT1	2.8
309	YOL097C	WRS1	2.8
310	YNL188W	KAR1	2.8
311	YKL191W	DPH2	2.8
312	YPL050C	MNN9	2.8
313	YDR045C	RPC11	2.8
314	YOR224C	RPB8	2.8
315	YDR121W	DPB4	2.8
316	YEL003W	GIM4	2.8
317	YCR016W	RBP95	2.8
318	YGR030C	POP6	2.8
319	YBL004W	UTP20	2.8
320	YOR168W	GLN4	2.8
321	YDL112W	TRM3	2.8
322	YPL030W	TRM44	2.8
323	YOR341W	RPA190	2.8
324	YPL243W	SRP68	2.8
325	YNL123W	NMA111	2.8
326	YGR152C	RSR1	2.8
327	YMR146C	TIF34	2.8
328	YJL179W	PFD1	2.8
329	YML060W	OGG1	2.7
330	YER131W	RPS26B	2.7
331	YGR195W	SKI6	2.7
332	YNL149C	PGA2	2.7
333	YML074C	FPR3	2.7
334	YLR215C	CDC123	2.7
335	YBR002C	RER2	2.7
336	YBL028C	YBL028C	2.7
337	YOR276W	CAF20	2.7
338	YPR016C	TIF6	2.7
339	YPL081W	RPS9A	2.7
340	YDR399W	HPT1	2.7
341	YLR015W	BRE2	2.7
342	YJR007W	SUI2	2.7
343	YDR346C	SVF1	2.7
344	YLR448W	RPL6B	2.7
345	YBR104W	YMC2	2.7
346	YDR478W	SNM1	2.7
347	YDR471W	RPL27B	2.7
348	YLR146C	SPE4	2.7
349	YNL096C	RPS7B	2.7
350	YDL111C	RRP42	2.7
351	YKR026C	GCN3	2.7
352	YLL035W	GRC3	2.7
353	YEL055C	POL5	2.7
354	YML094W	GIM5	2.7
355	YOR051C	ETT1	2.7
356	YML125C	PGA3	2.7
357	YNL163C	RIA1	2.7
358	YDR110W	FOB1	2.7
359	YLR406C	RPL31B	2.7
360	YPR186C	PZF1	2.7
361	YML022W	APT1	2.7
362	YJL109C	UTP10	2.7
363	YJR055W	HIT1	2.7
364	YKL181W	PRS1	2.7
365	YLR145W	RMP1	2.7
366	YLR397C	AFG2	2.7
367	YPL157W	TGS1	2.7
368	YML105C	SEC65	2.7
369	YLR388W	RPS29A	2.7
370	YJL198W	PHO90	2.7
371	YDR211W	GCD6	2.7
372	YML056C	IMD4	2.7
373	YHR144C	DCD1	2.7
374	YOL115W	PAP2	2.6
375	YOR293W	RPS10A	2.6
376	YER036C	ARB1	2.6
377	YGR129W	SYF2	2.6
378	YDR395W	SXM1	2.6
379	YNL244C	SUI1	2.6
380	YOR271C	FSF1	2.6
381	YIL020C	HIS6	2.6
382	YGR148C	RPL24B	2.6
383	YBR143C	SUP45	2.6
384	YDL082W	RPL13A	2.6
385	YAL035W	FUN12	2.6
386	YBR079C	RPG1	2.6
387	YLR384C	IKI3	2.6
388	YDR156W	RPA14	2.6
389	YBR030W	RKM3	2.6
390	YNR015W	SMM1	2.6
391	YLR172C	DPH5	2.6
392	YLR275W	SMD2	2.6
393	YER007C-A	TMA20	2.6
394	YFL034C-A	RPL22B	2.6
395	YEL054C	RPL12A	2.6
396	YPR133C	SPN1	2.6
397	YCL036W	GFD2	2.6
398	YPL079W	RPL21B	2.6
399	YOR116C	RPO31	2.6
400	YHR010W	RPL27A	2.6
401	YLR185W	RPL37A	2.6
402	YOL061W	PRS5	2.6
403	YMR127C	SAS2	2.6
404	YLR333C	RPS25B	2.6
405	YDR245W	MNN10	2.6
406	YML026C	RPS18B	2.6
407	YLR061W	RPL22A	2.6
408	YKL113C	RAD27	2.6
409	YMR123W	PKR1	2.6
410	YOR123C	LEO1	2.6
411	YBL027W	RPL19B	2.6
412	YDR500C	RPL37B	2.6
413	YPR051W	MAK3	2.6
414	YIL052C	RPL34B	2.6
415	YER148W	SPT15	2.6
416	YEL018W	EAF5	2.6
417	YGL097W	SRM1	2.6
418	YOR194C	TOA1	2.6
419	YML097C	VPS9	2.6
420	YGR085C	RPL11B	2.6
421	YMR233W	TRI1	2.6
422	YHR128W	FUR1	2.6
423	YGR078C	PAC10	2.6
424	YOL021C	DIS3	2.5
425	YGR208W	SER2	2.5
426	YNL023C	FAP1	2.5
427	YBR189W	RPS9B	2.5
428	YER025W	GCD11	2.5
429	YGR264C	MES1	2.5
430	YMR268C	PRP24	2.5
431	YPL038W	MET31	2.5
432	YOR295W	UAF30	2.5
433	YIL021W	RPB3	2.5
434	YER112W	LSM4	2.5
435	YOR195W	SLK19	2.5
436	YLR325C	RPL38	2.5
437	YKR057W	RPS21A	2.5
438	YGR285C	ZUO1	2.5
439	YBR084W	MIS1	2.5
440	YLR344W	RPL26A	2.5
441	YDR397C	NCB2	2.5
442	YJR067C	YAE1	2.5
443	YHL001W	RPL14B	2.5
444	YJR032W	CPR7	2.5
445	YPL235W	RVB2	2.5
446	YJL104W	PAM16	2.5
447	YMR142C	RPL13B	2.5
448	YOR236W	DFR1	2.5
449	YDR002W	YRB1	2.5
450	YHR070W	TRM5	2.5
451	YIL096C	BMT5	2.5
452	YPL143W	RPL33A	2.5
453	YMR230W	RPS10B	2.5
454	YDL036C	PUS9	2.5
455	YDL209C	CWC2	2.5
456	YCL037C	SRO9	2.5
457	YGL070C	RPB9	2.5
458	YOR335C	ALA1	2.5
459	YDR300C	PRO1	2.5
460	YBL042C	FUI1	2.5
461	YKR082W	NUP133	2.5
462	YML065W	ORC1	2.5
463	YOR260W	GCD1	2.5
464	YPL090C	RPS6A	2.5
465	YBR172C	SMY2	2.5
466	YDR198C	RKM2	2.5
467	YKL205W	LOS1	2.5
468	YGR090W	UTP22	2.5
469	YPR043W	RPL43A	2.5
470	YOR143C	THI80	2.5
471	YNR051C	BRE5	2.5
472	YOR312C	RPL20B	2.5
473	YPR102C	RPL11A	2.5
474	YPR062W	FCY1	2.5
475	YLR147C	SMD3	2.5
476	YGR118W	RPS23A	2.5
477	YOL127W	RPL25	2.5
478	YNL166C	BNI5	2.5
479	YOR106W	VAM3	2.5
480	YLR249W	YEF3	2.5
481	YIR004W	DJP1	2.5
482	YOL022C	TSR4	2.5
483	YOR048C	RAT1	2.5
484	YBR162W-A	YSY6	2.5
485	YOR094W	ARF3	2.4
486	YOR167C	RPS28A	2.4
487	YML073C	RPL6A	2.4
488	YER110C	KAP123	2.4
489	YOR006C	TSR3	2.4
490	YPL101W	ELP4	2.4
491	YHR060W	VMA22	2.4
492	YHR064C	SSZ1	2.4
493	YLR298C	YHC1	2.4
494	YPL117C	IDI1	2.4
495	YJL136C	RPS21B	2.4
496	YNL282W	POP3	2.4
497	YPR118W	MRI1	2.4
498	YOR359W	VTS1	2.4
499	YDL122W	UBP1	2.4
500	YGR275W	RTT102	2.4
501	YER056C-A	RPL34A	2.4
502	YPL227C	ALG5	2.4
503	YLR432W	IMD3	2.4
504	YDR172W	SUP35	2.4
505	YPL051W	ARL3	2.4
506	YDR023W	SES1	2.4
507	YLR264W	RPS28B	2.4
508	YOR182C	RPS30B	2.4
509	YML024W	RPS17A	2.4
510	YDR161W	ACL4	2.4
511	YLR372W	ELO3	2.4
512	YMR242C	RPL20A	2.4
513	YGL232W	TAN1	2.4
514	YDL191W	RPL35A	2.4
515	YDL075W	RPL31A	2.4
516	YHR068W	DYS1	2.4
517	YJL189W	RPL39	2.4
518	YMR132C	JLP2	2.4
519	YMR177W	MMT1	2.4
520	YMR308C	PSE1	2.4
521	YML062C	MFT1	2.4
522	YNL067W	RPL9B	2.4
523	YIL091C	UTP25	2.4
524	YML063W	RPS1B	2.4
525	YHL007C	STE20	2.4
526	YOR216C	RUD3	2.4
527	YKL125W	RRN3	2.4
528	YLR441C	RPS1A	2.4
529	YOL006C	TOP1	2.4
530	YPR018W	RLF2	2.4
531	YJR094W-A	RPL43B	2.4
532	YGR119C	NUP57	2.4
533	YKL029C	MAE1	2.4
534	YNL301C	RPL18B	2.4
535	YGL031C	RPL24A	2.4
536	YBL014C	RRN6	2.4
537	YBL087C	RPL23A	2.4
538	YKL074C	MUD2	2.4
539	YOR233W	KIN4	2.4
540	YER074W	RPS24A	2.4
541	YNL206C	RTT106	2.4
542	YBL018C	POP8	2.4
543	YLR029C	RPL15A	2.4
544	YKR083C	DAD2	2.4
545	YBR084C-A	RPL19A	2.4
546	YML106W	URA5	2.4
547	YJL200C	ACO2	2.4
548	YMR312W	ELP6	2.4
549	YOR159C	SME1	2.4
550	YBR191W	RPL21A	2.4
551	YHR021C	RPS27B	2.4
552	YDL092W	SRP14	2.4
553	YKL154W	SRP102	2.4
554	YIL133C	RPL16A	2.4
555	YJL190C	RPS22A	2.4
556	YMR243C	ZRC1	2.4
557	YLR316C	TAD3	2.4
558	YOL149W	DCP1	2.4
559	YBR106W	SND3	2.4
560	YFR037C	RSC8	2.4
561	YOR154W	SLP1	2.4
562	YNL162W	RPL42A	2.4
563	YDR492W	IZH1	2.4
564	YER102W	RPS8B	2.4
565	YDL083C	RPS16B	2.4
566	YLR052W	IES3	2.4
567	YNR022C	MRPL50	2.4
568	YJR132W	NMD5	2.4
569	YKL006W	RPL14A	2.4
570	YKR094C	RPL40B	2.4
571	YJR043C	POL32	2.4
572	YLR014C	PPR1	2.4
573	YIL069C	RPS24B	2.3
574	YJL087C	TRL1	2.3
575	YER056C	FCY2	2.3
576	YDR418W	RPL12B	2.3
577	YAL033W	POP5	2.3
578	YHR149C	SKG6	2.3
579	YHR072W-A	NOP10	2.3
580	YMR005W	TAF4	2.3
581	YKL081W	TEF4	2.3
582	YMR235C	RNA1	2.3
583	YGR034W	RPL26B	2.3
584	YPL160W	CDC60	2.3
585	YIL016W	SNL1	2.3
586	YGL050W	TYW3	2.3
587	YOR166C	SWT1	2.3
588	YLR106C	REA1	2.3
589	YPL273W	SAM4	2.3
590	YNL302C	RPS19B	2.3
591	YNL221C	POP1	2.3
592	YKR022C	NTR2	2.3
593	YLR060W	FRS1	2.3
594	YIL038C	NOT3	2.3
595	YBR187W	GDT1	2.3
596	YBL092W	RPL32	2.3
597	YLR412W	BER1	2.3
598	YNL111C	CYB5	2.3
599	YML015C	TAF11	2.3
600	YBR252W	DUT1	2.3
601	YGL043W	DST1	2.3
602	YMR039C	SUB1	2.3
603	YLR018C	POM34	2.3
604	YDL061C	RPS29B	2.3
605	YDR037W	KRS1	2.3
606	YMR263W	SAP30	2.3
607	YOR096W	RPS7A	2.3
608	YOR108W	LEU9	2.3
609	YJL177W	RPL17B	2.3
610	YHR167W	THP2	2.3
611	YLL045C	RPL8B	2.3
612	YPR132W	RPS23B	2.3
613	YLR243W	GPN3	2.3
614	YOL054W	PSH1	2.3
615	YOR274W	MOD5	2.3
616	YPL178W	CBC2	2.3
617	YOR047C	STD1	2.3
618	YMR212C	EFR3	2.3
619	YBR069C	TAT1	2.3
620	YGL061C	DUO1	2.3
621	YLR083C	EMP70	2.3
622	YGR027C	RPS25A	2.3
623	YAR008W	SEN34	2.3
624	YLR323C	CWC24	2.3
625	YGL147C	RPL9A	2.3
626	YJL145W	SFH5	2.3
627	YGR251W	NOP19	2.3
628	YLR008C	PAM18	2.3
629	YKL186C	MTR2	2.3
630	YGR214W	RPS0A	2.3
631	YDR025W	RPS11A	2.3
632	YDR447C	RPS17B	2.3
633	YLR335W	NUP2	2.3
634	YOL120C	RPL18A	2.3
635	YNL065W	AQR1	2.3
636	YAR002W	NUP60	2.3
637	YJL025W	RRN7	2.3
638	YMR153W	NUP53	2.3
639	YGL189C	RPS26A	2.3
640	YKL068W	NUP100	2.3
641	YJL183W	MNN11	2.3
642	YJL191W	RPS14B	2.3
643	YBL052C	SAS3	2.3
644	YJL162C	JJJ2	2.3
645	YOR232W	MGE1	2.3
646	YJR112W	NNF1	2.3
647	YGL103W	RPL28	2.3
648	YNL022C	RCM1	2.3
649	YER171W	RAD3	2.3
650	YER030W	CHZ1	2.3
651	YKL216W	URA1	2.3
652	YER118C	SHO1	2.3
653	YDR450W	RPS18A	2.3
654	YGL244W	RTF1	2.3
655	YGR276C	RNH70	2.3
656	YPL254W	HFI1	2.3
657	YDR390C	UBA2	2.3
658	YOR253W	NAT5	2.3
659	YBR279W	PAF1	2.2
660	YNL178W	RPS3	2.2
661	YOL121C	RPS19A	2.2
662	YER117W	RPL23B	2.2
663	YBR271W	EFM2	2.2
664	YDL043C	PRP11	2.2
665	YHR193C	EGD2	2.2
666	YJL124C	LSM1	2.2
667	YPL198W	RPL7B	2.2
668	YHR187W	IKI1	2.2
669	YLR048W	RPS0B	2.2
670	YIL027C	EMC5	2.2
671	YAL003W	EFB1	2.2
672	YMR143W	RPS16A	2.2
673	YPR033C	HTS1	2.2
674	YHR154W	RTT107	2.2
675	YMR227C	TAF7	2.2
676	YIL035C	CKA1	2.2
