SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: NOC4

Rank	Gene	Common	Score
Q	YPR144C	NOC4	
1	YOR272W	YTM1	5.4
2	YDR101C	ARX1	5.1
3	YBR247C	ENP1	5.1
4	YGR128C	UTP8	5.1
5	YMR049C	ERB1	5.1
6	YCR057C	PWP2	5.1
7	YLR409C	UTP21	5.0
8	YDR398W	UTP5	5.0
9	YMR093W	UTP15	5.0
10	YPL012W	RRP12	4.9
11	YNL061W	NOP2	4.9
12	YOR206W	NOC2	4.9
13	YPL126W	NAN1	4.9
14	YHR170W	NMD3	4.9
15	YGR159C	NSR1	4.9
16	YLR196W	PWP1	4.9
17	YNL182C	IPI3	4.9
18	YLR276C	DBP9	4.8
19	YDL060W	TSR1	4.8
20	YNL248C	RPA49	4.8
21	YMR290C	HAS1	4.8
22	YCR072C	RSA4	4.8
23	YDR496C	PUF6	4.8
24	YHR197W	RIX1	4.8
25	YPR112C	MRD1	4.8
26	YJL069C	UTP18	4.8
27	YPL093W	NOG1	4.8
28	YMR131C	RRB1	4.7
29	YHR066W	SSF1	4.7
30	YJL033W	HCA4	4.7
31	YNL132W	KRE33	4.7
32	YHR148W	IMP3	4.7
33	YPR110C	RPC40	4.7
34	YLR009W	RLP24	4.7
35	YPL211W	NIP7	4.7
36	YER006W	NUG1	4.6
37	YKL009W	MRT4	4.6
38	YPL043W	NOP4	4.6
39	YGR145W	ENP2	4.6
40	YLR222C	UTP13	4.6
41	YOR340C	RPA43	4.6
42	YGL120C	PRP43	4.6
43	YHR052W	CIC1	4.6
44	YKL078W	DHR2	4.6
45	YGL078C	DBP3	4.6
46	YKR081C	RPF2	4.6
47	YER126C	NSA2	4.6
48	YDR165W	TRM82	4.6
49	YBL039C	URA7	4.6
50	YKR056W	TRM2	4.6
51	YNL141W	AAH1	4.6
52	YLR129W	DIP2	4.6
53	YNL062C	GCD10	4.6
54	YNL075W	IMP4	4.6
55	YPR010C	RPA135	4.6
56	YJL050W	MTR4	4.5
57	YNR053C	NOG2	4.5
58	YBR142W	MAK5	4.5
59	YGL099W	LSG1	4.5
60	YOL077C	BRX1	4.5
61	YLR002C	NOC3	4.5
62	YOR004W	UTP23	4.5
63	YDR449C	UTP6	4.5
64	YNL175C	NOP13	4.5
65	YDL167C	NRP1	4.5
66	YOR294W	RRS1	4.5
67	YAL036C	RBG1	4.4
68	YDR465C	RMT2	4.4
69	YMR239C	RNT1	4.4
70	YML093W	UTP14	4.4
71	YDR324C	UTP4	4.4
72	YJL122W	ALB1	4.4
73	YHR169W	DBP8	4.4
74	YPL183C	RTT10	4.4
75	YIR026C	YVH1	4.4
76	YER127W	LCP5	4.4
77	YPR137W	RRP9	4.4
78	YOL124C	TRM11	4.4
79	YLL011W	SOF1	4.4
80	YOL010W	RCL1	4.4
81	YOR145C	PNO1	4.4
82	YGR200C	ELP2	4.4
83	YNL110C	NOP15	4.4
84	YDL148C	NOP14	4.4
85	YNR038W	DBP6	4.4
86	YDR087C	RRP1	4.4
87	YKL143W	LTV1	4.3
88	YGL171W	ROK1	4.3
89	YPL086C	ELP3	4.3
90	YNR012W	URK1	4.3
91	YGR103W	NOP7	4.3
92	YOR310C	NOP58	4.3
93	YBR267W	REI1	4.3
94	YMR128W	ECM16	4.3
95	YGR123C	PPT1	4.3
96	YLL008W	DRS1	4.3
97	YER082C	UTP7	4.3
98	YDR184C	ATC1	4.3
99	YGL111W	NSA1	4.3
100	YPR190C	RPC82	4.3
101	YIR012W	SQT1	4.3
102	YOL144W	NOP8	4.3
103	YDR021W	FAL1	4.2
104	YAL025C	MAK16	4.2
105	YKR024C	DBP7	4.2
106	YNL002C	RLP7	4.2
107	YHR196W	UTP9	4.2
108	YAL059W	ECM1	4.2
109	YDR299W	BFR2	4.2
110	YOR056C	NOB1	4.2
111	YLL034C	RIX7	4.2
112	YGR187C	HGH1	4.2
113	YJR070C	LIA1	4.2
114	YHL011C	PRS3	4.2
115	YDR083W	RRP8	4.2
116	YOL080C	REX4	4.2
117	YKL191W	DPH2	4.2
118	YGR245C	SDA1	4.2
119	YHR088W	RPF1	4.2
120	YDL201W	TRM8	4.1
121	YDR120C	TRM1	4.1
122	YPL226W	NEW1	4.1
123	YNL207W	RIO2	4.1
124	YJL148W	RPA34	4.1
125	YGR280C	PXR1	4.1
126	YJL125C	GCD14	4.1
127	YML080W	DUS1	4.1
128	YKL172W	EBP2	4.1
129	YJL109C	UTP10	4.1
130	YHR065C	RRP3	4.1
131	YGL169W	SUA5	4.1
132	YLR186W	EMG1	4.1
133	YLR401C	DUS3	4.1
134	YBR034C	HMT1	4.1
135	YNL112W	DBP2	4.1
136	YDL014W	NOP1	4.1
137	YKR092C	SRP40	4.1
138	YBL068W	PRS4	4.1
139	YJR002W	MPP10	4.1
140	YCL054W	SPB1	4.1
141	YOR091W	TMA46	4.1
142	YJR063W	RPA12	4.1
143	YNL113W	RPC19	4.0
144	YLR175W	CBF5	4.0
145	YBR061C	TRM7	4.0
146	YDR361C	BCP1	4.0
147	YDR091C	RLI1	4.0
148	YOR361C	PRT1	4.0
149	YPL266W	DIM1	4.0
150	YBL054W	TOD6	4.0
151	YKL099C	UTP11	4.0
152	YNL119W	NCS2	4.0
153	YOL041C	NOP12	4.0
154	YNL308C	KRI1	4.0
155	YLR435W	TSR2	4.0
156	YLR197W	NOP56	4.0
157	YDL153C	SAS10	4.0
158	YHR085W	IPI1	4.0
159	YOR243C	PUS7	4.0
160	YBR155W	CNS1	4.0
161	YJL198W	PHO90	3.9
162	YOR095C	RKI1	3.9
163	YKL021C	MAK11	3.9
164	YIL079C	AIR1	3.9
165	YLR074C	BUD20	3.9
166	YPL217C	BMS1	3.9
167	YCL059C	KRR1	3.9
168	YBL024W	NCL1	3.9
169	YDL051W	LHP1	3.9
170	YMR229C	RRP5	3.9
171	YHR062C	RPP1	3.9
172	YJR041C	URB2	3.9
173	YIL019W	FAF1	3.9
174	YJL010C	NOP9	3.9
175	YLR449W	FPR4	3.9
176	YDR060W	MAK21	3.9
177	YLR397C	AFG2	3.9
178	YLR003C	CMS1	3.9
179	YDL031W	DBP10	3.8
180	YMR217W	GUA1	3.8
181	YGL029W	CGR1	3.8
182	YLL035W	GRC3	3.8
183	YOR341W	RPA190	3.8
184	YOR001W	RRP6	3.8
185	YEL026W	SNU13	3.8
186	YOR359W	VTS1	3.8
187	YHR070W	TRM5	3.8
188	YOR078W	BUD21	3.8
189	YHR069C	RRP4	3.8
190	YML056C	IMD4	3.8
191	YNR054C	ESF2	3.8
192	YIL103W	DPH1	3.8
193	YHR089C	GAR1	3.7
194	YMR014W	BUD22	3.7
195	YKL181W	PRS1	3.7
