SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ARR1

Rank	Gene	Common	Score
Q	YPR199C	ARR1	
1	YPL224C	MMT2	2.5
2	YPL002C	SNF8	2.5
3	YPL196W	OXR1	2.5
4	YGL002W	ERP6	2.4
5	YPR134W	MSS18	2.4
6	YGL098W	USE1	2.3
7	YPR107C	YTH1	2.3
8	YPL214C	THI6	2.3
9	YJL004C	SYS1	2.3
10	YKL094W	YJU3	2.3
11	YDR435C	PPM1	2.3
12	YCL052C	PBN1	2.3
13	YPL096W	PNG1	2.3
14	YLR251W	SYM1	2.3
15	YPL159C	PET20	2.3
16	YHR002W	LEU5	2.2
17	YDR005C	MAF1	2.2
18	YLR097C	HRT3	2.2
19	YLR246W	ERF2	2.2
20	YBR290W	BSD2	2.2
21	YOL001W	PHO80	2.2
22	YOL133W	HRT1	2.2
23	YBR119W	MUD1	2.2
24	YAR027W	UIP3	2.2
25	YPR067W	ISA2	2.2
26	YMR022W	UBC7	2.2
27	YGL053W	PRM8	2.2
28	YPL047W	SGF11	2.2
29	YOR003W	YSP3	2.2
30	YNR007C	ATG3	2.2
31	YOR089C	VPS21	2.2
32	YPL031C	PHO85	2.2
33	YGR163W	GTR2	2.2
34	YPL219W	PCL8	2.2
35	YLR363C	NMD4	2.2
36	YPL203W	TPK2	2.2
37	YBR077C	SLM4	2.2
38	YBR183W	YPC1	2.2
39	YNL159C	ASI2	2.2
40	YPL064C	CWC27	2.2
41	YPR106W	ISR1	2.2
42	YDL076C	RXT3	2.2
43	YDR003W	RCR2	2.2
44	YDR368W	YPR1	2.2
45	YKL189W	HYM1	2.2
46	YPL100W	ATG21	2.1
47	YFR008W	FAR7	2.1
48	YLR201C	COQ9	2.1
49	YMR041C	ARA2	2.1
50	YDL142C	CRD1	2.1
51	YIL007C	NAS2	2.1
52	YOR036W	PEP12	2.1
53	YHR195W	NVJ1	2.1
54	YPL206C	PGC1	2.1
55	YPL258C	THI21	2.1
56	YGL005C	COG7	2.1
57	YLR250W	SSP120	2.1
58	YGL136C	MRM2	2.1
59	YDL002C	NHP10	2.1
60	YPR176C	BET2	2.1
61	YPR057W	BRR1	2.1
62	YPL123C	RNY1	2.1
63	YPR198W	SGE1	2.1
64	YOL071W	SDH5	2.1
65	YBL041W	PRE7	2.1
66	YGR143W	SKN1	2.1
67	YCR019W	MAK32	2.1
68	YOL108C	INO4	2.1
69	YLR093C	NYV1	2.1
70	YNL025C	SSN8	2.1
71	YDR202C	RAV2	2.1
72	YGL237C	HAP2	2.1
73	YDR058C	TGL2	2.1
74	YNR035C	ARC35	2.1
75	YLR165C	PUS5	2.1
76	YCR036W	RBK1	2.1
77	YMR020W	FMS1	2.1
78	YBR217W	ATG12	2.1
79	YPR103W	PRE2	2.1
80	YMR271C	URA10	2.1
81	YDR204W	COQ4	2.1
82	YDR272W	GLO2	2.1
83	YOR028C	CIN5	2.1
84	YPR008W	HAA1	2.1
85	YPR200C	ARR2	2.1
86	YDR231C	COX20	2.1
87	YPR025C	CCL1	2.1
88	YPR131C	NAT3	2.1
89	YJL023C	PET130	2.1
90	YNL156C	NSG2	2.1
91	YAL008W	FUN14	2.1
92	YPL087W	YDC1	2.1
93	YOL129W	VPS68	2.1
94	YNL006W	LST8	2.1
95	YKR052C	MRS4	2.1
96	YDL115C	IWR1	2.1
97	YLR270W	DCS1	2.1
98	YPR101W	SNT309	2.1
99	YOR125C	CAT5	2.1
100	YER101C	AST2	2.1
101	YLR370C	ARC18	2.1
102	YGL248W	PDE1	2.1
103	YBR151W	APD1	2.1
104	YIL009C-A	EST3	2.1
105	YDR404C	RPB7	2.1
106	YOR257W	CDC31	2.1
107	YER037W	PHM8	2.0
108	YIL050W	PCL7	2.0
109	YOR288C	MPD1	2.0
110	YFR050C	PRE4	2.0
111	YDR530C	APA2	2.0
112	YPL095C	EEB1	2.0
113	YIL120W	QDR1	2.0
114	YBR024W	SCO2	2.0
115	YML121W	GTR1	2.0
116	YAL034C	FUN19	2.0
117	YLR102C	APC9	2.0
118	YIL097W	FYV10	2.0
119	YPR023C	EAF3	2.0
120	YGL058W	RAD6	2.0
121	YJL155C	FBP26	2.0
122	YOR037W	CYC2	2.0
123	YNL253W	TEX1	2.0
124	YDL021W	GPM2	2.0
125	YNL330C	RPD3	2.0
126	YDR082W	STN1	2.0
127	YFR047C	BNA6	2.0
128	YLR231C	BNA5	2.0
129	YML011C	RAD33	2.0
130	YNL331C	AAD14	2.0
131	YNR010W	CSE2	2.0
132	YDR142C	PEX7	2.0
133	YPL074W	YTA6	2.0
134	YMR110C	HFD1	2.0
135	YMR197C	VTI1	2.0
136	YFR049W	KGD4	2.0
137	YDL045C	FAD1	2.0
138	YPL188W	POS5	2.0
139	YOL032W	OPI10	2.0
140	YHR075C	PPE1	2.0
141	YGR019W	UGA1	2.0
142	YJL053W	PEP8	2.0
143	YML004C	GLO1	2.0
144	YOR258W	HNT3	2.0
145	YGR136W	LSB1	2.0
146	YPL003W	ULA1	2.0
147	YBR001C	NTH2	2.0
148	YGR028W	MSP1	2.0
149	YLR220W	CCC1	2.0
150	YOR179C	SYC1	2.0
151	YBL078C	ATG8	2.0
152	YNL003C	PET8	2.0
153	YDL091C	UBX3	2.0
154	YGR223C	HSV2	2.0
155	YAL055W	PEX22	2.0
156	YBR269C	SDH8	2.0
157	YJL057C	IKS1	2.0
158	YJL003W	COX16	2.0
159	YOL009C	MDM12	2.0
160	YMR180C	CTL1	2.0
161	YBR057C	MUM2	2.0
162	YLR107W	REX3	2.0
163	YOR245C	DGA1	2.0
164	YKL013C	ARC19	2.0
165	YKR088C	TVP38	2.0
166	YPL140C	MKK2	2.0
167	YPL026C	SKS1	2.0
168	YGL091C	NBP35	2.0
169	YPR165W	RHO1	2.0
170	YLR376C	PSY3	2.0
171	YDR313C	PIB1	2.0
172	YER035W	EDC2	2.0
173	YGR262C	BUD32	2.0
174	YGL154C	LYS5	2.0
175	YGL166W	CUP2	2.0
176	YJR050W	ISY1	2.0
177	YJL048C	UBX6	2.0
178	YKR009C	FOX2	2.0
179	YMR161W	HLJ1	2.0
180	YMR195W	ICY1	2.0
181	YMR200W	ROT1	2.0
182	YPL186C	UIP4	2.0
183	YAL027W	SAW1	2.0
184	YMR139W	RIM11	2.0
185	YKL168C	KKQ8	2.0
186	YOR280C	FSH3	2.0
187	YAL061W	BDH2	2.0
188	YJR099W	YUH1	2.0
189	YHR001W	OSH7	2.0
190	YPR158W	CUR1	2.0
191	YDR350C	ATP22	2.0
192	YKL219W	COS9	2.0
193	YGL250W	RMR1	2.0
194	YKL062W	MSN4	2.0
195	YEL005C	VAB2	2.0
196	YPL091W	GLR1	2.0
197	YPR139C	LOA1	2.0
198	YCL034W	LSB5	2.0
199	YLR193C	UPS1	2.0
200	YKL208W	CBT1	2.0
201	YOR161C	PNS1	2.0
202	YKL019W	RAM2	2.0
203	YPR061C	JID1	2.0
204	YAL014C	SYN8	2.0
205	YDL020C	RPN4	2.0
206	YBR006W	UGA2	2.0
207	YOR311C	DGK1	2.0
208	YOL100W	PKH2	2.0
209	YHL002W	HSE1	2.0
210	YKL064W	MNR2	2.0
211	YKL065C	YET1	2.0
212	YER139C	RTR1	2.0
213	YOL116W	MSN1	2.0
214	YMR021C	MAC1	2.0
215	YCL038C	ATG22	2.0
216	YDR358W	GGA1	2.0
217	YDR151C	CTH1	2.0
218	YKL007W	CAP1	2.0
219	YNL314W	DAL82	2.0
220	YJL146W	IDS2	2.0
221	YGR033C	TIM21	2.0
222	YDR246W	TRS23	2.0
223	YNL133C	FYV6	2.0
224	YOR163W	DDP1	2.0
225	YMR201C	RAD14	2.0
226	YOL065C	INP54	2.0
227	YBR177C	EHT1	2.0
228	YHR004C	NEM1	2.0
229	YGL115W	SNF4	2.0
230	YPR178W	PRP4	2.0
231	YOR278W	HEM4	2.0
232	YOL025W	LAG2	2.0
233	YPL132W	COX11	1.9
234	YPR028W	YOP1	1.9
235	YBR256C	RIB5	1.9
236	YKR014C	YPT52	1.9
237	YHR012W	VPS29	1.9
238	YOR213C	SAS5	1.9
239	YDL078C	MDH3	1.9
240	YOR386W	PHR1	1.9
241	YPL004C	LSP1	1.9
242	YPR079W	MRL1	1.9
243	YDR329C	PEX3	1.9
