YBR088C	YOL094C
YHR079C	YIL135C
YDL229W	YNL287W
YGL099W	YGL123W
YKL053C-A	YLR168C
YDR439W	YMR001C
YDR227W	YNL031C
YER177W	YPR030W
YBR189W	YDL014W
YBR109C	YHR179W
YBL032W	YJR041C
YJL148W	YNL113W
YGL122C	YKL160W
YOL133W	YPR019W
YDL028C	YNL116W
YBR146W	YKL155C
YER171W	YOR261C
YJL098W	YNL025C
YOL139C	YOR276W
YER044C	YLR056W
YDR510W	YPL235W
YBR118W	YLR438C-A
YBR106W	YDR307W
YDL229W	YDR172W
YGL175C	YLR291C
YKL018W	YPL008W
YDR235W	YKL012W
YAL038W	YDR510W
YFR004W	YOR362C
YAL027W	YLL018C
YNL255C	YPL190C
YGL122C	YIL101C
YJR092W	YOR231W
YBR109C	YDR195W
YDL156W	YNL312W
YCR030C	YGR241C
YBR089C-A	YNL030W
YJL100W	YPL100W
YDR501W	YNL283C
YDR159W	YDR381W
YHR081W	YNL112W
YBL084C	YOR249C
YDR418W	YJL177W
YDL134C	YMR273C
YBL041W	YGR253C
YNL252C	YNL255C
YDL055C	YPL235W
YHR179W	YJR045C
YGL122C	YKL151C
YKL152C	YOR117W
YFR014C	YLR276C
YMR190C	YPL141C
YER110C	YOR098C
YDR068W	YNL255C
YBR085W	YGL167C
YHL010C	YLL039C
YIL018W	YMR086W
YBR142W	YPL220W
YGR047C	YGR246C
YDR153C	YNR006W
YDL232W	YJL002C
YAL032C	YJR050W
YLR248W	YOR018W
YDR365C	YML010W
YCR057C	YJR123W
YAL053W	YLR330W
YJR094W-A	YOR117W
YCR099C	YJL165C
YLR287C-A	YMR242C
YJR059W	YJR112W
YKR060W	YPR144C
YDL188C	YML109W
YGL123W	YOR117W
YDR482C	YFL017W-A
YGL122C	YKL002W
YDL055C	YIL094C
YNR023W	YPL129W
YNL197C	YNL278W
YKR008W	YML127W
YBR114W	YPL046C
YHL029C	YLL039C
YGL059W	YGR257C
YER142C	YPL127C
YBR289W	YGL120C
YBR109C	YLR196W
YCL032W	YLR229C
YMR149W	YOR016C
YML024W	YML063W
YJL203W	YPL213W
YLL039C	YMR304W
YFL039C	YOR141C
YER036C	YNL178W
YLR298C	YOR159C
YGL122C	YKL096W-A
YCR030C	YKL049C
YBR181C	YER151C
YLR310C	YPL240C
YGL051W	YPL076W
YBR105C	YMR135C
YDR328C	YLR224W
YGL111W	YMR290C
YMR240C	YPR101W
YAL005C	YOR197W
YDL082W	YHR141C
YGL083W	YPL281C
YAL012W	YKL130C
YKL028W	YLR167W
YKL011C	YMR201C
YHR200W	YPR036W
YAL041W	YNL007C
YDR472W	YNL118C
YER133W	YOL039W
YLR258W	YMR139W
YIR005W	YOR319W
YGL004C	YHR200W
YDL042C	YKL023W
YBL027W	YJL020C
YIL133C	YOR063W
YBR159W	YBR283C
YBL032W	YLR363W-A
YBR089C-A	YOR116C
YNL110C	YPR169W
YNL107W	YNL209W
YER006W	YER133W
YGR166W	YNL197C
YBL032W	YLL067C
YGR159C	YOL016C
YGL223C	YML071C
YDL126C	YOR117W
YJR101W	YNL306W
YNR051C	YPL106C
YER148W	YML065W
YDL212W	YDR508C
YGL122C	YGL211W
YGR002C	YPL235W
YGL019W	YOL004W
YHR200W	YLR372W
YDR280W	YGR090W
YJL053W	YOR132W
YDR441C	YML022W
YLL049W	YNR069C
YAL043C	YMR039C
YLL045C	YPR189W
YPL153C	YPR013C
YGL122C	YOL139C
YFL046W	YNL255C
YML073C	YOL127W
YKL148C	YOL071W
YER125W	YFR004W
YBR247C	YOR080W
YGL030W	YGL031C
YGL122C	YMR094W
YFR004W	YKL182W
YIL105C	YMR068W
YGL246C	YML010W
YJL025W	YMR111C
YHR091C	YOL088C
YJL030W	YOR026W
YDL077C	YLR262C
YFR034C	YMR109W
YLR029C	YNL255C
YDR328C	YMR056C
YMR146C	YNR051C
YIL126W	YOR123C
YBR055C	YDR353W
YER125W	YHR131C
YHR084W	YMR308C
YBR154C	YJR063W
YHR105W	YLL040C
YIL106W	YKL126W
YBR160W	YDR001C
YMR028W	YNL255C
YDR510W	YOR063W
YKL103C	YLR291C
YDL035C	YNL229C
YNL255C	YPR163C
YER008C	YLR229C
YDR167W	YGL066W
YKL211C	YML124C
YDR466W	YHL024W
YDR214W	YKL211C
YKL049C	YMR207C
YAL030W	YPL232W
YCR057C	YMR290C
YBR042C	YGL122C
YDR408C	YOR174W
YIL084C	YNL097C
YDR510W	YPR010C
YKL049C	YLR305C
YDR363W-A	YMR173W
YMR048W	YPR019W
YFL023W	YMR190C
YDR073W	YMR033W
YNL044W	YNL315C
YBL003C	YPL093W
YHL007C	YML080W
YBL038W	YKR085C
YGL047W	YGL122C
YDR172W	YPL237W
YKL205W	YOR112W
YAL026C	YDR238C
YFR024C-A	YGL104C
YDR348C	YMR295C
YDR427W	YLR421C
YJL092W	YPR181C
YBL030C	YJL104W
YBR274W	YLR152C
YDL055C	YPR010C
YGL048C	YMR191W
YCR052W	YML127W
YCR042C	YMR236W
YIL021W	YOL135C
YBR233W	YKL074C
YBL032W	YLR064W
YBL002W	YER030W
YLL018C	YOR117W
YJL143W	YPL063W
YHL004W	YKR085C
YJR059W	YPR107C
YER110C	YPL235W
YOR178C	YPL204W
YIL035C	YML074C
YMR173W	YMR216C
YNR051C	YPL211W
YGR274C	YPL129W
YMR019W	YPL082C
YHR082C	YOR210W
YGR268C	YLR206W
YGL045W	YPL065W
YBR207W	YFL041W
YDR121W	YGL122C
YKL212W	YPR183W
YJL111W	YNL154C
YDR482C	YNL255C
YAL027W	YOR294W
YDL229W	YER151C
