YBR088C	YOL094C
YLL024C	YOL072W
YHR079C	YIL135C
YKL053C-A	YLR168C
YGR200C	YJR125C
YER177W	YPR030W
YCL018W	YIL066C
YBR109C	YHR179W
YGL145W	YOR232W
YAL005C	YER030W
YLR447C	YOR036W
YGL100W	YOR014W
YDL166C	YER048C
YHL030W	YPR043W
YOL133W	YPR019W
YGR255C	YLR259C
YMR138W	YOR349W
YDL087C	YMR022W
YBL067C	YLL024C
YHR142W	YOR326W
YIL033C	YPR086W
YLL024C	YNR014W
YHR121W	YOR090C
YAL005C	YFL014W
YFL044C	YNL069C
YDR235W	YKL012W
YAL027W	YLL018C
YDR169C	YIL142W
YML091C	YOL042W
YBR109C	YDR195W
YCR030C	YGR241C
YDR171W	YML102W
YJL100W	YPL100W
YDR501W	YNL283C
YDR159W	YDR381W
YMR190C	YPL141C
YBL103C	YPL204W
YBL041W	YGR253C
YKR027W	YPL106C
YEL030W	YOR035C
YER110C	YOR098C
YGL053W	YPL120W
YCL061C	YMR236W
YFR014C	YLR276C
YKL152C	YOR117W
YFR024C-A	YLL026W
YGR081C	YGR218W
YJR051W	YOL133W
YBR142W	YPL220W
YDR153C	YNR006W
YGR047C	YGR246C
YDL232W	YJL002C
YBR080C	YNL209W
YDR365C	YML010W
YAL053W	YLR330W
YGR024C	YLL008W
YMR052W	YPL174C
YCR099C	YJL165C
YAL005C	YGR278W
YDR064W	YGR218W
YGR130C	YKL016C
YIL103W	YJR045C
YGL133W	YNL107W
YGL119W	YGL255W
YKR060W	YPR144C
YDL188C	YML109W
YER155C	YNL322C
YIL031W	YPR110C
YDL095W	YKL212W
YGL123W	YOR117W
YDL077C	YGR090W
YDR482C	YFL017W-A
YCL050C	YJR091C
YBR057C	YPR135W
YBR122C	YJR045C
YBL004W	YDL077C
YDR295C	YOR344C
YMR022W	YPL252C
YLL026W	YMR152W
YDL229W	YIR023W
YDR505C	YGR274C
YGR209C	YJL127C
YDL077C	YFR041C
YFL039C	YPL204W
YJR045C	YLR283W
YDR533C	YER093C
YBR109C	YLR196W
YHR069C	YJL014W
YMR149W	YOR016C
YJR090C	YKL048C
YDR477W	YLR342W
YFL039C	YOR141C
YDR228C	YJR093C
YKR095W	YML103C
YAL005C	YOR256C
YEL030W	YOR142W
YGL051W	YPL076W
YLR310C	YPL240C
YML013W	YMR048W
YDL145C	YFL039C
YGL111W	YMR290C
YBR198C	YLR314C
YMR240C	YPR101W
YAL005C	YOR197W
YBR208C	YDR069C
YDR347W	YPL106C
YKL011C	YMR201C
YAL041W	YNL007C
YDL229W	YLL048C
YHL004W	YNL007C
YBR295W	YDL147W
YGL004C	YHR200W
YGL009C	YLR247C
YBL078C	YHR181W
YJR045C	YPR004C
YHR057C	YHR064C
YJR073C	YLR039C
YIL133C	YOR063W
YEL012W	YER125W
YNL107W	YNL209W
YNL110C	YPR169W
YER006W	YER133W
YDL229W	YJL090C
YIL051C	YNL007C
YGR159C	YOL016C
YDL156W	YER014W
YGL223C	YML071C
YKL113C	YPL194W
YDL126C	YOR117W
YNR051C	YPL106C
YBL075C	YML061C
YBR009C	YDR213W
YDR409W	YFR037C
YDR258C	YJL157C
YAL012W	YMR235C
YGR002C	YPL235W
YMR048W	YNL153C
YGL019W	YOL004W
YGR218W	YNL050C
YGR218W	YNL248C
YJL053W	YOR132W
YDR441C	YML022W
YLL045C	YPR189W
YJL179W	YPR105C
YPL153C	YPR013C
YAL043C	YMR039C
YJR034W	YNL209W
YOR142W-A	YPL031C
YBR202W	YNL209W
YFL037W	YPR110C
YJR083C	YNL124W
YBR247C	YOR080W
YDL049C	YDR244W
YDR026C	YPL106C
YAL005C	YIL144W
YDL077C	YGL171W
YLL024C	YOR179C
YGL246C	YML010W
YJL025W	YMR111C
YGR079W	YNL081C
YBR078W	YGL119W
YEL003W	YIL107C
YIL105C	YMR068W
YGR270W	YGR274C
YDR432W	YMR229C
YDR393W	YNL107W
YKL114C	YNL007C
YBR055C	YDR353W
YHR084W	YMR308C
